anio,tipo_premio,jugador,seleccion
2022,Balón de Oro,Lionel Messi,Argentina
2022,Balón de Plata,Kylian Mbappé,Francia
2022,Balón de Bronce,Luka Modric,Croacia
2022,Botín de Oro,Kylian Mbappé,Francia
2022,Botín de Plata,Lionel Messi,Argentina
2022,Botín de Bronce,Olivier Giroud,Francia
2022,Guante de Oro,Emiliano Martinez,Argentina
2022,Mejor Jugador Joven,Enzo Fernandez,Argentina
2022,FIFA Fair Play,Inglaterra,Inglaterra
