anio,jugador,seleccion,amarillas,rojas
2022,Vincent Aboubakar,Camerún,0,1
2022,Walid Cheddira,Marruecos,0,1
2022,Denzel Dumfries,Paises Bajos,0,1
2022,Wayne Heennesey,Gales,0,1
2022,Marcos Acuña,Argentina,3,0
2022,Gonzalo Montiel,Argentina,3,0
2022,Abdulelah Al-Amri,Arabia Saudita,2,0
2022,Abdulelah Al-Malki,Arabia Saudita,2,0
2022,Francisco Calvo,Costa Rica,2,0
2022,Matty Cash,Polonia,2,0
2022,Milos Degenek,Australia,2,0
2022,Collins Faï,Camerún,2,0
2022,Nemanja Gudelj,Serbia,2,0
2022,Idrissa Gana Gueye,Senegal,2,0
2022,Jackson Irvine,Australia,2,0
2022,Ko Itakura,Japón,2,0
2022,Alireza Jahanbakhsh,Irán,2,0
2022,Woo-young Jung,Corea del Sur,2,0
2022,Mateo Kovacic,Croacia,2,0
2022,Sasa Lukic,Serbia,2,0
2022,Jhegson Méndez,Ecuador,2,0
2022,Nikola Milenković,Serbia,2,0
2022,Amadou Onana,Bélgica,2,0
2022,Nicolas Otamendi,Argentina,2,0
2022,Leandro Paredes,Argentina,2,0
2022,Strahinja Pavlovic,Serbia,2,0
2022,Cristian Romero,Argentina,2,0
2022,Fabian Schär,Suiza,2,0
2022,Alidu Seidu,Ghana,2,0
2022,Ali Abdi,Túnez,1,0
2022,Saud Abdulhamid,Arabia Saudita,1,0
2022,Kellyn Acosta,Estados Unidos,1,0
2022,Tyler Adams,Estados Unidos,1,0
2022,Sam Adekugbe,Canadá,1,0
2022,Akram Afif,Catar,1,0
2022,Homam Ahmed,Catar,1,0
2022,Manuel Akanji,Suiza,1,0
2022,Nathan Aké,Paises Bajos,1,0
2022,Saad Al Sheeb,Catar,1,0
2022,Nawaf Al-Abed,Arabia Saudita,1,0
2022,Ali Al-Bulaihi,Arabia Saudita,1,0
2022,Salem Al-Dawsari,Arabia Saudita,1,0
2022,Ali Al-Hassan,Arabia Saudita,1,0
2022,Mohammed Al-Owais,Arabia Saudita,1,0
2022,Saleh Al-Shehri,Arabia Saudita,1,0
2022,Almoez Ali,Catar,1,0
2022,Roberto Alvarado,México,1,0
2022,Edson Álvarez,México,1,0
2022,Selim Amallah,Marruecos,1,0
2022,Daniel Amartey,Ghana,1,0
2022,Sofyan Amrabat,Marruecos,1,0
2022,Néstor Araujo,México,1,0
2022,Andre Ayew,Ghana,1,0
2022,Hattan Bahebri,Arabia Saudita,1,0
2022,Gareth Bale,Gales,1,0
2022,Borna Barisic,Croacia,1,0
2022,Christian Bassogog,Camerún,1,0
2022,Aziz Behich,Australia,1,0
2022,Rodrigo Bentancur,Uruguay,1,0
2022,Bartosz Bereszyński,Polonia,1,0
2022,Steven Berghuis,Paises Bajos,1,0
2022,Steven Bergwijn,Paises Bajos,1,0
2022,Celso Borges,Costa Rica,1,0
2022,Karim Boudiaf,Catar,1,0
2022,Sofiane Boufal,Marruecos,1,0
2022,Marcelo Brozovic,Croacia,1,0
2022,Tajon Buchanan,Canadá,1,0
2022,Sergio Busquets,España,1,0
2022,Martin Caceres,Uruguay,1,0
2022,Moisés Caicedo,Ecuador,1,0
