anio,seleccion,dorsal,jugador,posicion
2022,Alemania,,,
2022,Arabia Saudita,,,
2022,Argentina,,,
2022,Australia,,,
2022,Bélgica,,,
2022,Brasil,,,
2022,Camerún,,,
2022,Canadá,,,
2022,Catar,,,
2022,Corea del Sur,,,
2022,Costa Rica,,,
2022,Croacia,,,
2022,Dinamarca,,,
2022,Ecuador,,,
2022,España,,,
2022,Estados Unidos,,,
2022,Francia,,,
2022,Gales,,,
2022,Ghana,,,
2022,Inglaterra,,,
2022,Irán,,,
2022,Japón,,,
2022,Marruecos,,,
2022,México,,,
2022,Paises Bajos,,,
2022,Polonia,,,
2022,Portugal,,,
2022,Senegal,,,
2022,Serbia,,,
2022,Suiza,,,
2022,Túnez,,,
2022,Uruguay,,,
