id_jugador,nombre,anio,camiseta,posicion,jugo,jugo_titular,capitan,no_jugo,goles,prom_goles,tarjeta_amarilla,tarjeta_roja,pg,pe,pp,pos_final
4505,John Obi Mikel,2014,10,Mediocampista,4,4,0,0,0,0.0,1,0,1,1,2,16
4505,John Obi Mikel,2018,10,Mediocampista,3,3,3,0,0,0.0,1,0,1,0,2,21
4506,Victor Obinna,2010,18,Delantero,2,1,0,1,0,0.0,0,0,0,1,1,27
4507,James Obiorah,2002,20,Mediocampista,1,1,0,2,0,0.0,0,0,0,1,0,27
4508,Godfrey Oboabona,2014,14,Defensor,1,1,0,3,0,0.0,0,0,0,1,0,16
4509,Peter Odemwingie,2010,11,Delantero,2,1,0,1,0,0.0,0,0,0,0,2,27
4509,Peter Odemwingie,2014,8,Delantero,4,3,0,0,1,0.25,0,0,1,1,2,16
4510,Chidi Odiah,2010,17,Defensor,3,3,0,0,0,0.0,0,0,0,1,2,27
4511,Kunle Odunlami,2014,12,Defensor,0,0,0,4,0,0.0,0,0,0,0,0,16
4512,Bartholomew Ogbeche,2002,9,Delantero,2,2,0,1,0,0.0,0,0,0,0,2,27
4513,Chinedu Ogbuke Obasi,2010,19,Delantero,3,2,0,0,0,0.0,2,0,0,1,2,27
4514,John Ogu,2018,19,Mediocampista,0,0,0,3,0,0.0,0,0,0,0,0,21
4515,Uche Okafor,1994,20,Defensor,0,0,0,4,0,0.0,0,0,0,0,0,9
4515,Uche Okafor,1998,16,Defensor,1,1,0,3,0,0.0,0,0,0,0,1,12
4516,Uche Okechukwu,1994,5,Defensor,4,4,0,0,0,0.0,0,0,2,0,2,9
4516,Uche Okechukwu,1998,5,Defensor,3,3,3,1,0,0.0,2,0,2,0,1,12
4517,Jay Jay Okocha,1994,10,Mediocampista,3,1,0,1,0,0.0,0,0,1,0,2,9
4517,Jay Jay Okocha,1998,10,Mediocampista,3,3,0,1,0,0.0,2,0,2,0,1,12
4517,Jay Jay Okocha,2002,10,Mediocampista,3,3,3,0,0,0.0,0,0,0,1,2,27
4518,Isaac Okoronkwo,2002,5,Defensor,3,3,0,0,0,0.0,0,0,0,1,2,27
4519,Godwin Okpara,1998,21,Mediocampista,2,0,0,2,0,0.0,0,0,1,0,1,12
4520,Willy Okpara,1998,12,Arquero,0,0,0,4,0,0.0,0,0,0,0,0,12
4521,Thompson Oliha,1994,8,Mediocampista,1,0,0,3,0,0.0,0,0,0,0,1,9
4522,Sunday Oliseh,1994,15,Mediocampista,4,4,0,0,0,0.0,2,0,2,0,2,9
4522,Sunday Oliseh,1998,15,Mediocampista,4,4,0,0,1,0.25,0,0,2,0,2,12
4523,Kenneth Omeruo,2014,22,Defensor,4,4,0,0,0,0.0,1,0,1,1,2,16
4523,Kenneth Omeruo,2018,22,Defensor,2,2,0,1,0,0.0,0,0,1,0,1,21
4524,Ogenyi Onazi,2014,17,Mediocampista,4,4,0,0,0,0.0,0,0,1,1,2,16
4524,Ogenyi Onazi,2018,17,Mediocampista,0,0,0,3,0,0.0,0,0,0,0,0,21
4525,Femi Opabunmi,2002,23,Delantero,1,1,0,2,0,0.0,0,0,0,1,0,27
4526,Mobi Oparaku,1998,2,Defensor,1,1,0,3,0,0.0,0,0,1,0,0,12
4527,Wilson Oruma,1998,18,Mediocampista,1,1,0,3,1,1.0,0,0,0,0,1,12
4528,Juwon Oshaniwa,2014,13,Defensor,4,4,0,0,0,0.0,1,0,1,1,2,16
4529,Peter Rufai,1994,1,Arquero,4,4,3,0,0,0.0,0,0,2,0,2,9
4529,Peter Rufai,1998,1,Arquero,4,4,0,0,0,0.0,0,0,2,0,2,12
4530,Danny Shittu,2010,6,Defensor,3,3,0,0,0,0.0,0,0,0,1,2,27
4531,Ike Shorunmu,2002,1,Arquero,2,2,0,1,0,0.0,0,0,0,0,2,27
4532,Samson Siasia,1994,12,Delantero,3,3,0,1,1,0.33,0,0,2,0,1,9
4533,Efetobore Sodje,2002,16,Defensor,2,2,0,1,0,0.0,1,0,0,1,1,27
4534,Taye Taiwo,2010,3,Defensor,2,2,0,1,0,0.0,0,0,0,0,2,27
4535,William Troost-Ekong,2018,5,Defensor,3,3,0,0,0,0.0,1,0,1,0,2,21
4536,Kalu Uche,2010,12,Mediocampista,3,2,0,0,2,0.67,0,0,0,1,2,27
4537,Michael Uchebo,2014,20,Delantero,1,0,0,3,0,0.0,0,0,0,0,1,16
4538,Ifeanyi Udeze,2002,14,Defensor,2,2,0,1,0,0.0,0,0,0,1,1,27
4539,John Utaka,2002,21,Delantero,1,1,0,2,0,0.0,0,0,0,0,1,27
4539,John Utaka,2010,7,Delantero,0,0,0,3,0,0.0,0,0,0,0,0,27
4540,Ejike Uzoenyi,2014,3,Mediocampista,1,0,0,3,0,0.0,0,0,1,0,0,16
4541,Francis Uzoho,2018,23,Arquero,3,3,0,0,0,0.0,0,0,1,0,2,21
4542,Taribo West,1998,6,Defensor,4,4,0,0,0,0.0,0,0,2,0,2,12
4542,Taribo West,2002,6,Defensor,2,2,0,1,0,0.0,1,0,0,0,2,27
4543,Rasheed Yekini,1994,9,Delantero,4,4,0,0,1,0.25,0,0,2,0,2,9
4543,Rasheed Yekini,1998,9,Delantero,4,1,0,0,0,0.0,0,0,2,0,2,12
4544,Joseph Yobo,2002,2,Mediocampista,3,3,0,0,0,0.0,0,0,0,1,2,27
4544,Joseph Yobo,2010,2,Defensor,3,3,2,0,0,0.0,0,0,0,1,2,27
4544,Joseph Yobo,2014,2,Defensor,4,3,3,0,0,0.0,0,0,1,1,2,16
4545,Ernst Aigner,1990,2,Defensor,3,3,0,0,0,0.0,0,0,1,0,2,18
4546,Martin Amerhauser,1998,11,Mediocampista,0,0,0,3,0,0.0,0,0,0,0,0,23
4547,Peter Artner,1990,8,Defensor,2,2,0,1,0,0.0,0,1,1,0,1,18
4548,Leopold Barschandt,1954,4,Defensor,4,4,0,1,0,0.0,0,0,4,0,0,3
4548,Leopold Barschandt,1958,18,Defensor,0,0,0,3,0,0.0,0,0,0,0,0,15
4549,Ernst Baumeister,1978,20,Mediocampista,0,0,0,6,0,0.0,0,0,0,0,0,7
4549,Ernst Baumeister,1982,14,Mediocampista,4,2,0,1,0,0.0,0,0,2,1,1,8
