id_jugador,nombre,id_seleccion,altura,fecha_nacimiento,nacionalidad
5230,Rodrigo De Paul,6,1.80 m,24 de mayo de 1994,Argentina
5231,Alfredo De Vincenzi,6,,24 de enero de 1911,Argentina
5232,Marcelo Delgado,6,,24 de marzo de 1973,Argentina
5233,Jose Della Torre,6,,23 de marzo de 1906,Argentina
5234,Pedro Dellacha,6,,9 de julio de 1926,Argentina
5236,Martin Demichelis,6,1.84 m,20 de diciembre de 1980,Argentina
5237,Gustavo Dezotti,6,,14 de febrero de 1964,Argentina
5238,Angel Di Maria,11,1.78 m,14 de febrero de 1988,Brasil
5239,Hernan Diaz,61,,26 de febrero de 1965,Panamá
5240,Ramon Diaz,6,,29 de agosto de 1959,Argentina
5241,Rogelio Dominguez,6,,9 de marzo de 1931,Argentina
5242,Paulo Dybala,6,1.77 m,15 de noviembre de 1993,Argentina
5243,Federico Edwards,6,,27 de enero de 1931,Argentina
5244,Hector Enrique,6,,26 de abril de 1962,Argentina
5245,Juan Evaristo,6,,20 de junio de 1902,Argentina
5246,Mario Evaristo,6,,10 de diciembre de 1908,Argentina
5247,Nestor Fabbri,6,,29 de abril de 1968,Argentina
5248,Hector Facundo,6,,2 de noviembre de 1937,Argentina
5249,Federico Fazio,6,1.95 m,17 de marzo de 1987,Argentina
5250,Augusto Fernández,6,1.77 m,10 de abril de 1986,Argentina
5251,Enzo Fernandez,56,1.78 m,17 de enero de 2001,México
5252,Federico Fernández,6,1.90 m,21 de febrero de 1989,Argentina
5253,Manuel Ferreira,6,,22 de octubre de 1905,Argentina
5254,Oscar Ferreiro,6,,25 de abril de 1935,Argentina
5255,Ubaldo Fillol,6,,21 de julio de 1950,Argentina
5256,Juan Foyth,6,1.88 m,12 de enero de 1998,Argentina
5257,Leonardo Franco,56,1.88 m,20 de mayo de 1977,México
5258,Hector Freschi,6,,22 de mayo de 1911,Argentina
5259,Fernando Gago,6,1.78 m,10 de abril de 1986,Argentina
5260,Alberto Galateo,6,,1 de enero de 1913,Argentina
5261,Marcelo Gallardo,56,1.69 m,18 de enero de 1976,México
5262,Americo Gallego,6,,25 de abril de 1955,Argentina
5263,Luis Galvan,6,,24 de febrero de 1948,Argentina
5264,Ruben Galvan,6,,7 de abril de 1952,Argentina
5265,Ezequiel Garay,6,1.89 m,10 de octubre de 1986,Argentina
5266,Ariel Garce,6,1.75 m,14 de julio de 1979,Argentina
5267,Oscar Garre,6,,9 de diciembre de 1956,Argentina
5268,Hugo Gatti,6,,19 de agosto de 1944,Argentina
5269,Ricardo Giusti,6,,11 de diciembre de 1956,Argentina
5270,Ruben Glaria,6,,10 de marzo de 1948,Argentina
5271,Alejandro Gomez,61,1.67 m,15 de febrero de 1988,Panamá
5272,Alberto Gonzalez,6,,21 de agosto de 1941,Argentina
5273,Cristian Gonzalez,56,1.75 m,4 de agosto de 1974,México
5274,Luis Gonzalez,56,1.85 m,19 de enero de 1981,México
5275,Sergio Goycochea,6,,17 de octubre de 1963,Argentina
5276,Angel Grippa,6,,,Argentina
5277,Jonas Gutierrez,56,1.82 m,5 de julio de 1983,México
5278,Nahuel Guzmán,6,1.92 m,10 de febrero de 1986,Argentina
5279,Gabriel Heinze,6,1.78 m,19 de abril de 1978,Argentina
5280,Ramon Heredia,6,,26 de febrero de 1951,Argentina
5281,Patricio Hernandez,6,,16 de agosto de 1956,Argentina
5282,Gonzalo Higuain,6,1.84 m,10 de diciembre de 1987,Argentina
5283,Rene Houseman,6,,19 de julio de 1953,Argentina
5284,Claudio Husain,6,1.77 m,20 de noviembre de 1974,Argentina
5285,Ricardo Infante,6,,21 de junio de 1924,Argentina
5286,Roberto Iraneta,6,,21 de marzo de 1915,Argentina
5287,Rolando Irusta,6,,27 de marzo de 1938,Argentina
5288,Luis Islas,6,,22 de diciembre de 1965,Argentina
5289,Luca Izzeta,6,,,Argentina
5290,Mario Kempes,6,,15 de julio de 1954,Argentina
5291,Daniel Killer,6,,21 de diciembre de 1949,Argentina
5292,Ricardo La Volpe,6,,6 de febrero de 1952,Argentina
5293,Angel Labruna,6,,28 de septiembre de 1918,Argentina
5294,Omar Larrosa,6,,18 de noviembre de 1947,Argentina
5295,Ezequiel Lavezzi,6,1.73 m,3 de mayo de 1985,Argentina
5296,Giovani Lo Celso,6,1.77 m,9 de abril de 1996,Argentina
5297,Francisco Lombardo,6,,11 de junio de 1925,Argentina
5298,Arcadio Lopez,6,,15 de septiembre de 1910,Argentina
5299,Claudio Lopez,6,1.76 m,17 de julio de 1974,Argentina
5300,Gustavo Lopez,6,1.74 m,13 de abril de 1973,Argentina
5301,Nelson Lopez,6,,24 de junio de 1941,Argentina
5302,Alfonso Lorenzo,6,,,Argentina
5303,Nestor Lorenzo,6,,28 de febrero de 1966,Argentina
5304,Leopoldo Luque,6,,3 de mayo de 1949,Argentina
5305,Alexis Mac Allister,6,1.76 m,24 de diciembre de 1998,Argentina
5306,Alejandro Mancuso,6,,4 de septiembre de 1968,Argentina
5307,Diego Maradona,6,1.65 m,30 de octubre de 1960,Argentina
5308,Alberto Mariotti,6,,28 de marzo de 1935,Argentina
5309,Emiliano Martinez,56,1.95 m,1 de septiembre de 1992,México
5310,Lautaro Martinez,56,1.74 m,22 de agosto de 1997,México
5311,Lisandro Martinez,56,1.75 m,18 de enero de 1998,México
5312,Silvio Marzolini,6,,4 de octubre de 1940,Argentina
5313,Oscar Mas,6,,29 de octubre de 1946,Argentina
5314,Javier Mascherano,6,1.71 m,8 de junio de 1984,Argentina
5315,Ramon Medina Bello,6,,29 de abril de 1966,Argentina
5316,Norberto Menendez,6,,14 de diciembre de 1936,Argentina
5317,Gabriel Mercado,56,1.80 m,17 de marzo de 1987,México
5318,Lionel Messi,6,1.70 m,24 de junio de 1987,Argentina
5319,Maximiliano Meza,6,1.80 m,15 de enero de 1992,Argentina
5320,Diego Milito,6,1.77 m,12 de junio de 1979,Argentina
5321,Gabriel Milito,6,1.77 m,7 de septiembre de 1980,Argentina
5322,Nahuel Molina,6,1.78 m,6 de abril de 1998,Argentina
5324,Gonzalo Montiel,6,1.75 m,1 de enero de 1997,Argentina
5325,Pedro Monzon,6,,23 de febrero de 1962,Argentina
5326,Eliseo Mourino,6,,2 de junio de 1927,Argentina
5327,Julio Mussimesi,6,,9 de julio de 1923,Argentina
5328,Ramon Muttis,6,,12 de marzo de 1899,Argentina
5329,Ruben Navarro,56,,30 de marzo de 1933,México
5330,Jose Nehin,6,,1 de enero de 1911,Argentina
5331,Julio Olarticoechea,6,,18 de octubre de 1958,Argentina
5332,Juan Oleniak,6,,6 de marzo de 1942,Argentina
5333,Jorge Olguin,6,,17 de mayo de 1952,Argentina
5334,Ermindo Onega,6,,4 de abril de 1939,Argentina
5335,Agustin Orion,6,1.87 m,26 de junio de 1981,Argentina
5336,Rodolfo Orlandini,6,,1 de enero de 1905,Argentina
5337,Ariel Ortega,6,1.70 m,4 de marzo de 1974,Argentina
5338,Oscar Ortiz,6,,8 de abril de 1953,Argentina
5339,Nicolas Otamendi,6,1.83 m,12 de febrero de 1988,Argentina
5340,Miguel Oviedo,6,,12 de octubre de 1950,Argentina
5341,Raul Paez,6,,26 de mayo de 1937,Argentina
5342,Marcelo Pagani,6,,19 de agosto de 1941,Argentina
5343,Ruben Pagnanini,6,,31 de enero de 1949,Argentina
5344,Rodrigo Palacio,6,1.76 m,5 de febrero de 1982,Argentina
5345,Exequiel Palacios,6,1.77 m,5 de octubre de 1998,Argentina
5346,Martin Palermo,6,1.88 m,7 de noviembre de 1973,Argentina
5347,Martin Pando,6,,26 de diciembre de 1934,Argentina
5348,Leandro Paredes,6,1.82 m,29 de junio de 1994,Argentina
5349,Pedro Pasculli,6,,17 de mayo de 1960,Argentina
5350,Daniel Passarella,6,,25 de mayo de 1953,Argentina
5351,Javier Pastore,6,1.73 m,20 de junio de 1989,Argentina
5352,Jose Pastoriza,6,,23 de mayo de 1942,Argentina
5353,Fernando Paternoster,6,,24 de mayo de 1903,Argentina
5354,Cristian Pavón,6,1.67 m,21 de enero de 1996,Argentina
5355,Pablo Paz,6,,27 de enero de 1973,Argentina
5356,Juan Pedevilla,6,,6 de junio de 1909,Argentina
5357,Alfredo Perez,61,,10 de abril de 1929,Panamá
5358,Enzo Pérez,6,1.77 m,21 de febrero de 1986,Argentina
5360,Vincente Perez,6,,,Argentina
5361,Roberto Perfumo,6,,3 de octubre de 1942,Argentina
5362,Natalio Perinetti,6,,28 de diciembre de 1900,Argentina
5363,Carlos Peucelle,6,,13 de septiembre de 1908,Argentina
5364,German Pezzella,6,1.90 m,27 de junio de 1991,Argentina
5365,Edmundo Piaggio,6,,3 de octubre de 1910,Argentina
5366,Mauricio Pineda,56,,13 de julio de 1975,México
