anio,id_grupo,selecciones
2018,B,"España, Irán, Marruecos, Portugal"
2018,C,"Australia, Dinamarca, Francia, Perú"
2018,D,"Argentina, Croacia, Islandia, Nigeria"
2018,E,"Brasil, Costa Rica, Serbia, Suiza"
2018,F,"Alemania, Corea del Sur, México, Suecia"
2018,G,"Bélgica, Inglaterra, Panamá, Túnez"
2018,H,"Colombia, Japón, Polonia, Senegal"
2022,A,"Catar, Ecuador, Paises Bajos, Senegal"
2022,B,"Estados Unidos, Gales, Inglaterra, Irán"
2022,C,"Arabia Saudita, Argentina, México, Polonia"
2022,D,"Australia, Dinamarca, Francia, Túnez"
2022,E,"Alemania, Costa Rica, España, Japón"
2022,F,"Bélgica, Canadá, Croacia, Marruecos"
2022,G,"Brasil, Camerún, Serbia, Suiza"
2022,H,"Corea del Sur, Ghana, Portugal, Uruguay"
