jugador,seleccion_nacionalidad,mundial,camiseta,posicion,jugo,jugo_titular,capitan,no_jugo,goles,prom_goles,tarjeta_amarilla,tarjeta_roja,pg,pe,pp,pos_final
Etienne Mattler,Francia,1930,-,Defensor,3,3,0,0,0,0.00,0,0,1,0,2,7
Etienne Mattler,Francia,1934,-,Defensor,1,1,0,0,0,0.00,0,0,0,0,1,9
Etienne Mattler,Francia,1938,-,Defensor,2,2,2,0,0,0.00,0,0,1,0,1,8
Eufemio Cabral,Paraguay,1986,15,Defensor,0,0,0,4,0,0.00,0,0,0,0,0,13
Eugen Meier,Suiza,1954,20,Delantero,2,2,0,2,0,0.00,0,0,1,0,1,5
Eugen Meier,Suiza,1962,11,Mediocampista,1,1,0,2,0,0.00,0,0,0,0,1,16
Eugen Rupf,Suiza,1938,-,Delantero,0,0,0,3,0,0.00,0,0,0,0,0,6
Eugen Walachek,Suiza,1938,-,Delantero,3,3,0,0,1,0.33,0,0,1,1,1,6
Eugene Ekeke,Camerún,1990,11,Delantero,1,0,0,4,1,1.00,0,0,0,0,1,7
Eugene Galekovic,Australia,2014,18,Arquero,0,0,0,3,0,0.00,0,0,0,0,0,30
Eugene Parlier,Suiza,1954,2,Arquero,4,4,0,0,0,0.00,0,0,2,0,2,5
Eugenio Corrodi,Suiza,1950,-,Arquero,0,0,0,3,0,0.00,0,0,0,0,0,6
Eugenio Leal,España,1978,14,Mediocampista,3,2,0,0,0,0.00,1,0,1,1,1,10
Eugenio Mena,Chile,2014,2,Defensor,4,4,0,0,0,0.00,2,0,2,1,1,9
Eul Yong Lee,Corea del Sur,2002,13,Mediocampista,4,3,0,3,1,0.25,1,0,1,2,1,4
Eul Yong Lee,Corea del Sur,2006,13,Mediocampista,2,2,0,1,0,0.00,0,0,1,1,0,17
Eulogio Martinez,España,1962,15,Delantero,1,1,0,2,0,0.00,0,0,0,0,1,12
Eun Sung Choi,Corea del Sur,2002,23,Arquero,0,0,0,7,0,0.00,0,0,0,0,0,4
Eusebio,Portugal,1966,13,Delantero,6,6,0,0,9,1.50,1,0,5,0,1,3
Eusebio Acasuzo,Perú,1982,1,Arquero,0,0,0,3,0,0.00,0,0,0,0,0,20
Eusebio Diaz,Paraguay,1930,-,Mediocampista,2,2,0,0,0,0.00,0,0,1,0,1,9
Eusebio Escobar,Colombia,1962,18,Delantero,0,0,0,3,0,0.00,0,0,0,0,0,14
Eusebio Tejera,Uruguay,1950,-,Defensor,4,4,0,0,0,0.00,0,0,3,1,0,1
Eusebio Tejera,Uruguay,1954,14,Defensor,0,0,0,5,0,0.00,0,0,0,0,0,4
Eustaquio Chamorro,Paraguay,1930,-,Defensor,0,0,0,2,0,0.00,0,0,0,0,0,9
Evans Wise,Trinidad y Tobago,2006,16,Delantero,2,0,0,1,0,0.00,0,0,0,0,2,27
Evaristo Isasi,Paraguay,1986,18,Delantero,0,0,0,4,0,0.00,0,0,0,0,0,13
Ever Banega,Argentina,2018,7,Mediocampista,3,2,0,1,0,0.00,2,0,1,1,1,16
Ever Palacios,Colombia,1998,3,Defensor,3,3,0,0,0,0.00,0,0,1,0,2,21
Everaldo,Brasil,1970,16,Defensor,5,5,0,1,0,0.00,0,0,5,0,0,1
Everton Ribeiro,Brasil,2022,22,Mediocampista,1,0,0,4,0,0.00,0,0,0,0,1,7
Evgeni Lovchev,URSS,1970,6,Defensor,2,1,0,2,0,0.00,1,0,1,1,0,5
Evgeni Yanchovski,Bulgaria,1966,18,Mediocampista,0,0,0,3,0,0.00,0,0,0,0,0,15
Ewald Cebula,Polonia,1938,-,Delantero,0,0,0,1,0,0.00,0,0,0,0,0,11
Ewald Dytko,Polonia,1938,-,Mediocampista,1,1,0,0,0,0.00,0,0,0,0,1,11
Exequiel Palacios,Argentina,2022,14,Mediocampista,3,0,0,4,0,0.00,0,0,3,0,0,1
Eyong Enoh,Camerún,2010,18,Mediocampista,2,2,0,1,0,0.00,0,0,0,0,2,31
Eyong Enoh,Camerún,2014,18,Mediocampista,3,3,0,0,0,0.00,1,0,0,0,3,32
Ezequiel Garay,Argentina,2014,2,Defensor,7,7,0,0,0,0.00,1,0,5,1,1,2
Ezequiel Lavezzi,Argentina,2014,22,Delantero,6,4,0,1,0,0.00,0,0,4,1,1,2
Ezio Pascutti,Italia,1962,17,Delantero,1,1,0,2,0,0.00,0,0,1,0,0,9
Ezio Pascutti,Italia,1966,16,Delantero,1,1,0,2,0,0.00,0,0,0,0,1,9
Fabian Cancelarich,Argentina,1990,22,Arquero,0,0,0,7,0,0.00,0,0,0,0,0,2
Fabian Carini,Uruguay,2002,1,Arquero,3,3,0,0,0,0.00,1,0,0,2,1,26
Fabian Delph,Inglaterra,2018,17,Defensor,4,2,0,3,0,0.00,0,0,2,0,2,4
Fabian Estay,Chile,1998,20,Mediocampista,4,2,0,0,0,0.00,1,0,0,3,1,16
Fabian Frei,Suiza,2022,20,Mediocampista,2,0,0,2,0,0.00,0,0,1,0,1,12
Fabian Johnson,Estados Unidos,2014,23,Defensor,4,4,0,0,0,0.00,0,0,1,1,2,15
Fabian O'Neill,Uruguay,2002,10,Delantero,0,0,0,3,0,0.00,0,0,0,0,0,26
Fabian Orellana,Chile,2010,16,Delantero,1,0,0,3,0,0.00,0,0,0,0,1,10
Fabian Orellana,Chile,2014,14,Delantero,0,0,0,4,0,0.00,0,0,0,0,0,9
Fabian Rieder,Suiza,2022,25,Mediocampista,2,1,0,2,0,0.00,1,0,1,0,1,12
Fabian Schär,Suiza,2014,22,Defensor,2,2,0,2,0,0.00,0,0,1,0,1,11
Fabian Schär,Suiza,2018,22,Defensor,3,3,0,1,0,0.00,2,0,1,2,0,14
Fabian Schär,Suiza,2022,22,Defensor,2,2,0,2,0,0.00,2,0,1,0,1,12
Fabien Barthez,Francia,1998,16,Arquero,7,7,0,0,0,0.00,0,0,6,1,0,1
Fabien Barthez,Francia,2002,16,Arquero,3,3,0,0,0,0.00,0,0,0,1,2,28
Fabien Barthez,Francia,2006,16,Arquero,7,7,0,0,0,0.00,0,0,4,3,0,2
Fabinho,Brasil,2022,15,Mediocampista,1,1,0,4,0,0.00,0,0,0,0,1,7
Fabio Cannavaro,Italia,1998,4,Defensor,5,5,0,0,0,0.00,1,0,3,2,0,5
Fabio Cannavaro,Italia,2002,5,Defensor,3,3,0,1,0,0.00,2,0,1,1,1,15
Fabio Cannavaro,Italia,2006,5,Defensor,7,7,7,0,0,0.00,0,0,5,2,0,1
Fabio Cannavaro,Italia,2010,5,Defensor,3,3,3,0,0,0.00,1,0,0,2,1,26
Fabio Capello,Italia,1974,8,Mediocampista,3,3,0,0,1,0.33,0,0,1,1,1,10
Fabio Coentrao,Portugal,2010,23,Defensor,4,4,0,0,0,0.00,1,0,1,2,1,11
Fabio Coentrao,Portugal,2014,5,Defensor,1,1,0,2,0,0.00,0,0,0,0,1,18
Fabio Coltorti,Suiza,2006,21,Arquero,0,0,0,4,0,0.00,0,0,0,0,0,10
Fabio Grosso,Italia,2006,3,Defensor,6,6,0,1,1,0.17,1,0,5,1,0,1
Fabio Quagliarella,Italia,2010,18,Delantero,1,0,0,2,1,1.00,1,0,0,0,1,26
Fabrice Olinga,Camerún,2014,19,Delantero,0,0,0,3,0,0.00,0,0,0,0,0,32
Fabricio Coloccini,Argentina,2006,4,Defensor,2,1,0,3,0,0.00,0,0,0,2,0,6
Fabrizio Poletti,Italia,1970,4,Defensor,1,0,0,5,0,0.00,0,0,1,0,0,2
Facundo Pellistri,Uruguay,2022,8,Delantero,3,2,0,0,0,0.00,0,0,1,1,1,20
Facundo Torres,Uruguay,2022,20,Delantero,0,0,0,3,0,0.00,0,0,0,0,0,20
Fadel Jilal,Marruecos,1986,19,Defensor,0,0,0,4,0,0.00,0,0,0,0,0,11
Fadil Megharia,Argelia,1986,20,Defensor,2,2,0,1,0,0.00,0,0,0,0,2,22
Fagner,Brasil,2018,22,Defensor,4,4,0,1,0,0.00,1,0,3,0,1,6
Fahad Abdulrahman,Emiratos Arabes,1990,18,Mediocampista,0,0,0,3,0,0.00,0,0,0,0,0,24
Fahad Al Bishi,Arabia Saudita,1994,8,Mediocampista,4,4,0,0,0,0.00,0,0,2,0,2,12
Fahad Al Ghesheyan,Arabia Saudita,1994,7,Delantero,2,0,0,2,1,0.50,0,0,1,0,1,12
Fahad Al Mehalel,Arabia Saudita,1994,11,Delantero,0,0,0,4,0,0.00,0,0,0,0,0,12
Fahad Al Mehalel,Arabia Saudita,1998,11,Delantero,1,1,0,2,0,0.00,0,0,0,1,0,28
Fahad Al-Muwallad,Arabia Saudita,2018,19,Delantero,3,2,0,0,0,0.00,0,0,1,0,2,26
Fahad Khamees,Emiratos Arabes,1990,7,Delantero,2,1,1,1,0,0.00,0,0,0,0,2,24
Fahrudin Jusufi,Yugoslavia,1962,3,Defensor,5,5,0,1,0,0.00,0,0,3,0,2,4
Fahrudin Omerovic,Yugoslavia,1990,12,Arquero,0,0,0,5,0,0.00,0,0,0,0,0,5
Faisal Al Dakhil,Kuwait,1982,16,Delantero,3,3,0,0,1,0.33,0,0,0,1,2,21
Fakhreddine Ben Youssef,Túnez,2018,8,Delantero,3,3,0,0,1,0.33,0,0,1,0,2,24
Falcao,Brasil,1982,15,Mediocampista,5,5,0,0,3,0.60,1,0,4,0,1,5
Falcao,Brasil,1986,5,Mediocampista,2,0,0,3,0,0.00,0,0,2,0,0,5
Famara Diéhiou,Senegal,2022,19,Delantero,2,1,0,2,1,0.50,0,0,1,0,1,10
Faouzi Chaouchi,Argelia,2010,16,Arquero,1,1,0,2,0,0.00,0,0,0,0,1,28
Faouzi Ghoulam,Argelia,2014,3,Defensor,2,2,0,2,0,0.00,0,0,0,0,2,14
Faouzi Mansouri,Argelia,1982,16,Defensor,3,3,0,0,0,0.00,1,0,2,0,1,13
Faouzi Mansouri,Argelia,1986,16,Defensor,3,3,0,0,0,0.00,1,0,0,1,2,22
Farid Díaz,Colombia,2018,18,Defensor,0,0,0,4,0,0.00,0,0,0,0,0,9
Farid Mondragon,Colombia,1994,12,Arquero,0,0,0,3,0,0.00,0,0,0,0,0,19
Farid Mondragon,Colombia,1998,22,Arquero,3,3,0,0,0,0.00,0,0,1,0,2,21
Farid Mondragon,Colombia,2014,22,Arquero,1,0,0,4,0,0.00,0,0,1,0,0,5
Farouk Ben Mustapha,Túnez,2018,1,Arquero,2,1,0,1,0,0.00,0,0,0,0,2,24
Faruk Hadzibegic,Yugoslavia,1990,5,Defensor,5,5,0,0,0,0.00,0,0,3,1,1,5
Fatau Dauda,Ghana,2014,16,Arquero,2,2,0,1,0,0.00,0,0,0,1,1,25
Fathi Chebel,Argelia,1986,3,Mediocampista,0,0,0,3,0,0.00,0,0,0,0,0,22
Fathi Matar,Kuwait,1982,7,Mediocampista,3,1,0,0,0,0.00,1,0,0,1,2,21
Fatih Akyel,Turquía,2002,4,Defensor,7,7,0,0,0,0.00,1,0,4,1,2,3
Faustino Alonso,Paraguay,1986,21,Delantero,0,0,0,4,0,0.00,0,0,0,0,0,13
Faustino Asprilla,Colombia,1994,21,Delantero,3,3,0,0,0,0.00,0,0,1,0,2,19
Faustino Asprilla,Colombia,1998,11,Delantero,1,1,0,2,0,0.00,0,0,0,0,1,21
Fausto,Brasil,1930,-,Mediocampista,2,2,0,0,0,0.00,0,0,1,0,1,6
Fawzi Benkhalidi,Argelia,1986,17,Mediocampista,0,0,0,3,0,0.00,0,0,0,0,0,22
Fay Coyle,Irlanda del Norte,1958,17,Delantero,1,1,0,4,0,0.00,0,0,0,0,1,7
Faycal Ben Ahmed,Túnez,1998,19,Mediocampista,1,0,0,2,0,0.00,0,0,0,0,1,26
Fayçal Fajr,Marruecos,2018,11,Mediocampista,2,0,0,1,0,0.00,0,0,0,1,1,27
Fede,España,1934,-,Delantero,1,1,0,2,0,0.00,0,0,0,1,0,5
Federico Edwards,Argentina,1958,14,Defensor,0,0,0,3,0,0.00,0,0,0,0,0,13
Federico Elduayen,Uruguay,2002,23,Arquero,0,0,0,3,0,0.00,0,0,0,0,0,26
Federico Fazio,Argentina,2018,6,Defensor,1,0,0,3,0,0.00,0,0,0,0,1,16
Federico Fernández,Argentina,2014,17,Defensor,4,4,0,3,0,0.00,0,0,4,0,0,2
Federico Magallanes,Uruguay,2002,11,Delantero,2,0,0,1,0,0.00,0,0,0,1,1,26
Federico Marchetti,Italia,2010,12,Arquero,3,2,0,0,0,0.00,0,0,0,2,1,26
Federico Sacchi,Argentina,1962,5,Mediocampista,3,3,0,0,0,0.00,0,0,1,1,1,10
Federico Vairo,Argentina,1958,3,Defensor,3,3,0,0,0,0.00,0,0,1,0,2,13
Federico Valverde,Uruguay,2022,15,Mediocampista,3,3,0,0,0,0.00,0,0,1,1,1,20
Federico Wilde,Argentina,1934,-,Delantero,1,1,0,0,0,0.00,0,0,0,0,1,9
Felice Borel,Italia,1934,-,Delantero,1,1,0,4,0,0.00,0,0,1,0,0,1
Felice Soldini,Suiza,1950,-,Defensor,0,0,0,3,0,0.00,0,0,0,0,0,6
Feliciano Rivilla,España,1962,11,Defensor,1,1,0,2,0,0.00,0,0,0,0,1,12
Feliciano Rivilla,España,1966,14,Defensor,0,0,0,3,0,0.00,0,0,0,0,0,10
Felipe Baloy,Panamá,2018,23,Defensor,1,0,0,2,1,1.00,0,0,0,0,1,32
Felipe Caicedo,Ecuador,2014,11,Delantero,3,2,0,0,0,0.00,0,0,1,1,1,17
Felipe Gutierrez,Chile,2014,16,Mediocampista,4,1,0,0,0,0.00,0,0,2,1,1,9
Felipe Melo,Brasil,2010,5,Mediocampista,4,4,0,1,0,0.00,1,0,2,1,1,6
Felipe Minambres,España,1994,16,Mediocampista,2,1,0,3,0,0.00,0,0,1,1,0,8
Felipe Olivares,México,1930,-,Delantero,1,1,0,2,0,0.00,0,0,0,0,1,13
Felipe Revelez,Uruguay,1990,13,Defensor,0,0,0,4,0,0.00,0,0,0,0,0,16
Felipe Rosas,México,1930,-,Mediocampista,3,3,0,0,0,0.00,0,0,0,0,3,13
Felipe Ruvalcaba,México,1962,17,Mediocampista,0,0,0,3,0,0.00,0,0,0,0,0,11
Felipe Ruvalcaba,México,1966,7,Delantero,0,0,0,3,0,0.00,0,0,0,0,0,12
Felipe Zetter,México,1950,-,Defensor,1,1,0,2,0,0.00,0,0,0,0,1,12
Felix,Brasil,1970,1,Arquero,6,6,0,0,0,0.00,0,0,6,0,0,1
Felix Borja,Ecuador,2006,9,Delantero,1,1,0,3,0,0.00,0,0,0,0,1,12
Felix Cruz,México,1986,14,Defensor,5,5,0,0,0,0.00,0,0,3,2,0,6
Felix Fernandez,México,1994,12,Arquero,0,0,0,4,0,0.00,0,0,0,0,0,13
Felix Healey,Irlanda del Norte,1982,19,Delantero,1,0,0,4,0,0.00,0,0,0,1,0,9
Felix Magath,Alemania Occidental,1982,14,Mediocampista,4,4,0,3,0,0.00,0,0,2,1,1,2
Felix Magath,Alemania Occidental,1986,10,Mediocampista,6,6,0,1,0,0.00,1,0,3,2,1,2
Felix Salinas,Perú,1970,16,Defensor,0,0,0,4,0,0.00,0,0,0,0,0,7
Félix Torres,Ecuador,2022,2,Defensor,3,3,0,0,0,0.00,0,0,1,1,1,18
Felix Welkenhuysen,Bélgica,1934,-,Mediocampista,1,1,1,0,0,0.00,0,0,0,0,1,15
Femi Opabunmi,Nigeria,2002,23,Delantero,1,1,0,2,0,0.00,0,0,0,1,0,27
Ferdinand Coly,Senegal,2002,17,Defensor,5,5,0,0,0,0.00,2,0,2,2,1,7
Ferdinand Daucik,Checoslovaquia,1938,-,Defensor,3,3,0,0,0,0.00,0,0,1,1,1,5
Ferdinando Riva,Suiza,1954,21,Delantero,0,0,0,4,0,0.00,0,0,0,0,0,5
Ferenc Bene,Hungría,1966,7,Delantero,4,4,0,0,4,1.00,0,0,2,0,2,6
Ferenc Csongradi,Hungría,1982,16,Mediocampista,1,0,0,2,0,0.00,0,0,0,1,0,14
Ferenc Fulop,Hungría,1978,20,Mediocampista,0,0,0,3,0,0.00,0,0,0,0,0,15
Ferenc Machos,Hungría,1954,17,Delantero,0,0,0,5,0,0.00,0,0,0,0,0,2
Ferenc Meszaros,Hungría,1978,21,Arquero,1,1,0,2,0,0.00,0,0,0,0,1,15
Ferenc Meszaros,Hungría,1982,1,Arquero,3,3,0,0,0,0.00,0,0,1,1,1,14
Ferenc Puskas,Hungría,1954,10,Delantero,3,3,3,2,4,1.33,0,0,2,0,1,2
Ferenc Puskas,Hungría,1962,14,Delantero,3,3,0,0,0,0.00,0,0,1,0,2,12
Ferenc Sas,Hungría,1938,-,Delantero,4,4,0,0,1,0.25,0,0,3,0,1,2
Ferenc Sipos,Hungría,1958,3,Defensor,4,4,0,0,0,0.00,0,0,1,1,2,10
Ferenc Sipos,Hungría,1962,6,Defensor,4,4,0,0,0,0.00,0,0,2,1,1,5
Ferenc Sipos,Hungría,1966,6,Mediocampista,4,4,4,0,0,0.00,0,0,2,0,2,6
Ferenc Szojka,Hungría,1954,15,Mediocampista,1,1,0,4,0,0.00,0,0,1,0,0,2
Ferenc Szojka,Hungría,1958,14,Defensor,2,2,0,2,0,0.00,0,0,1,0,1,10
Ferid Chouchane,Túnez,1998,6,Defensor,2,2,0,1,0,0.00,0,0,0,1,1,26
Ferjani Sassi,Túnez,2018,13,Mediocampista,3,3,0,0,1,0.33,2,0,1,0,2,24
Ferjani Sassi,Túnez,2022,13,Mediocampista,2,0,0,1,0,0.00,1,0,0,1,1,21
Fernand Adams,Bélgica,1930,-,Delantero,2,2,0,0,0,0.00,0,0,0,0,2,11
Fernand Buyle,Bélgica,1938,-,Delantero,1,1,0,0,0,0.00,0,0,0,0,1,13
Fernand Jaccard,Suiza,1934,-,Mediocampista,2,2,0,0,0,0.00,0,0,1,0,1,7
Fernandinho,Brasil,2014,5,Mediocampista,5,3,0,2,1,0.20,1,0,2,1,2,4
Fernandinho,Brasil,2018,17,Mediocampista,5,1,0,0,0,0.00,1,0,3,1,1,6
Fernando,España,1990,10,Mediocampista,1,0,0,3,0,0.00,0,0,1,0,0,10
Fernando Alvez,Uruguay,1986,12,Arquero,4,4,0,0,0,0.00,1,0,0,2,2,16
Fernando Alvez,Uruguay,1990,1,Arquero,4,4,0,0,0,0.00,1,0,1,1,2,16
Fernando Caceres,Argentina,1994,13,Defensor,4,4,0,0,0,0.00,2,0,2,0,2,10
Fernando Campos,Chile,1950,-,Mediocampista,0,0,0,3,0,0.00,0,0,0,0,0,9
Fernando Clavijo,Estados Unidos,1994,21,Defensor,3,3,0,1,0,0.00,1,1,1,0,2,14
Fernando Cornejo,Chile,1998,19,Mediocampista,3,1,0,1,0,0.00,0,0,0,2,1,16
Fernando De Napoli,Italia,1986,13,Mediocampista,4,4,0,0,0,0.00,1,0,1,2,1,12
Fernando De Napoli,Italia,1990,11,Mediocampista,6,6,0,1,0,0.00,0,0,5,1,0,3
Fernando Fernando Couto,Portugal,2002,5,Defensor,3,3,3,0,0,0.00,0,0,1,0,2,21
Fernando Gago,Argentina,2014,5,Mediocampista,6,3,0,1,0,0.00,0,0,5,0,1,2
Fernando Giudicelli,Brasil,1930,-,Mediocampista,2,2,0,0,0,0.00,0,0,1,0,1,6
Fernando Hierro,España,1990,17,Defensor,0,0,0,4,0,0.00,0,0,0,0,0,10
Fernando Hierro,España,1994,6,Defensor,5,3,0,0,1,0.20,1,0,2,2,1,8
Fernando Hierro,España,1998,6,Defensor,3,3,0,0,2,0.67,0,0,1,1,1,17
Fernando Hierro,España,2002,6,Defensor,4,4,4,1,2,0.50,1,0,2,2,0,5
Fernando Llorente,España,2010,19,Delantero,1,0,0,6,0,0.00,0,0,1,0,0,1
Fernando Meira,Portugal,2006,5,Defensor,7,7,0,0,0,0.00,0,0,4,1,2,4
Fernando Morena,Uruguay,1974,9,Delantero,3,3,0,0,0,0.00,0,0,0,1,2,13
Fernando Morientes,España,1998,7,Delantero,2,1,0,1,2,1.00,0,0,1,1,0,17
Fernando Morientes,España,2002,9,Delantero,5,3,0,0,3,0.60,1,0,3,2,0,5
Fernando Muslera,Uruguay,2010,1,Arquero,7,7,0,0,0,0.00,0,0,3,2,2,4
Fernando Muslera,Uruguay,2014,1,Arquero,4,4,0,0,0,0.00,1,0,2,0,2,12
Fernando Muslera,Uruguay,2018,1,Arquero,5,5,0,0,0,0.00,0,0,4,0,1,5
Fernando Muslera,Uruguay,2022,1,Arquero,0,0,0,3,0,0.00,0,0,0,0,0,20
Fernando Olivella,España,1966,16,Defensor,0,0,0,3,0,0.00,0,0,0,0,0,10
Fernando Paternoster,Argentina,1930,-,Defensor,4,4,0,1,0,0.00,0,0,3,0,1,2
Fernando Quirarte,México,1986,3,Defensor,5,5,0,0,2,0.40,1,0,3,2,0,6
Fernando Redondo,Argentina,1994,5,Mediocampista,4,4,0,0,0,0.00,1,0,2,0,2,10
Fernando Riera,Chile,1950,-,Delantero,1,1,0,2,1,1.00,0,0,1,0,0,9
Fernando Roldan,Chile,1950,-,Defensor,2,2,0,1,0,0.00,0,0,0,0,2,9
Fernando Torres,España,2006,9,Delantero,4,3,0,0,3,0.75,0,0,3,0,1,9
Fernando Torres,España,2010,9,Delantero,7,4,0,0,0,0.00,0,0,6,0,1,1
Fernando Torres,España,2014,9,Delantero,3,1,0,0,1,0.33,0,0,1,0,2,23
Ferran Torres,España,2022,11,Delantero,4,3,0,0,2,0.50,0,0,1,2,1,13
Ferydoon Zandi,Irán,2006,7,Mediocampista,2,1,0,1,0,0.00,1,0,0,1,1,26
Festa,Portugal,1966,22,Defensor,3,3,0,3,0,0.00,0,0,2,0,1,3
Fidel Escobar,Panamá,2018,4,Defensor,3,3,0,0,0,0.00,1,0,0,0,3,32
Fidel Martínez,Ecuador,2014,20,Mediocampista,0,0,0,3,0,0.00,0,0,0,0,0,17
Fidelis,Brasil,1966,3,Defensor,1,1,0,2,0,0.00,0,0,0,0,1,11
Figueiredo,Angola,2006,7,Mediocampista,3,3,0,0,0,0.00,0,0,0,2,1,23
Filip Bradarić,Croacia,2018,14,Mediocampista,1,0,0,6,0,0.00,0,0,1,0,0,2
Filip De Wilde,Bélgica,1990,20,Arquero,0,0,0,4,0,0.00,0,0,0,0,0,11
Filip De Wilde,Bélgica,1994,12,Arquero,0,0,0,4,0,0.00,0,0,0,0,0,11
Filip De Wilde,Bélgica,1998,1,Arquero,2,2,0,1,0,0.00,0,0,0,2,0,19
Filip Djuricic,Serbia,2022,21,Delantero,2,0,0,1,0,0.00,0,0,0,1,1,29
Filip Helander,Suecia,2018,14,Defensor,0,0,0,5,0,0.00,0,0,0,0,0,7
Filip Holosko,Eslovaquia,2010,13,Delantero,2,0,0,2,0,0.00,0,0,0,1,1,16
Filip Kostić,Serbia,2018,17,Mediocampista,3,2,0,0,0,0.00,0,0,1,0,2,23
Filip Kostić,Serbia,2022,17,Mediocampista,2,2,0,1,0,0.00,0,0,0,1,1,29
Filip Mladenovic,Serbia,2022,25,Defensor,1,1,0,2,0,0.00,0,0,0,0,1,29
Filipe Luís,Brasil,2018,6,Defensor,2,1,0,3,0,0.00,1,0,2,0,0,6
Filippo Inzaghi,Italia,1998,19,Delantero,2,0,0,3,0,0.00,0,0,1,1,0,5
Filippo Inzaghi,Italia,2002,9,Delantero,2,1,0,2,0,0.00,0,0,0,1,1,15
Filippo Inzaghi,Italia,2006,18,Delantero,1,0,0,6,1,1.00,0,0,1,0,0,1
Finidi George,Nigeria,1994,7,Delantero,4,4,0,0,1,0.25,0,0,2,0,2,9
Finidi George,Nigeria,1998,7,Mediocampista,4,3,0,0,0,0.00,0,0,2,0,2,12
Firas Al-Buraikan,Arabia Saudita,2022,9,Delantero,3,3,0,0,0,0.00,0,0,1,0,2,25
Fitzroy Simpson,Jamaica,1998,6,Mediocampista,3,3,0,0,0,0.00,0,0,1,0,2,22
Flavio,Angola,2006,16,Delantero,1,0,0,2,1,1.00,0,0,0,1,0,23
Flavius Domide,Rumania,1970,19,Delantero,0,0,0,3,0,0.00,0,0,0,0,0,10
Flemming Christensen,Dinamarca,1986,18,Delantero,0,0,0,4,0,0.00,0,0,0,0,0,9
Florea Dumitrache,Rumania,1970,9,Delantero,3,3,0,0,2,0.67,0,0,1,0,2,10
Florencio Amarilla,Paraguay,1958,11,Delantero,3,3,0,0,2,0.67,0,0,1,1,1,12
Florent Malouda,Francia,2006,7,Mediocampista,6,6,0,1,0,0.00,1,0,4,2,0,2
Florent Malouda,Francia,2010,15,Mediocampista,3,1,0,0,1,0.33,0,0,0,1,2,29
Florian Albert,Hungría,1962,9,Delantero,3,3,0,1,4,1.33,0,0,2,0,1,5
Florian Albert,Hungría,1966,9,Delantero,4,4,0,0,0,0.00,0,0,2,0,2,6
Florian Thauvin,Francia,2018,20,Delantero,1,0,0,6,0,0.00,0,0,1,0,0,1
Florin Prunea,Rumania,1994,1,Arquero,3,3,0,2,0,0.00,0,0,2,1,0,6
Florin Prunea,Rumania,1998,22,Arquero,0,0,0,4,0,0.00,0,0,0,0,0,11
Florin Raducioiu,Rumania,1990,14,Delantero,3,3,0,1,0,0.00,0,0,1,1,1,12
Florin Raducioiu,Rumania,1994,9,Delantero,4,4,0,1,4,1.00,2,0,2,1,1,6
Fodé Ballo-Toure,Senegal,2022,12,Defensor,1,0,0,3,0,0.00,0,0,0,0,1,10
Fontana,Brasil,1970,15,Defensor,1,1,0,5,0,0.00,0,0,1,0,0,1
Formose Mendy,Senegal,2022,2,Defensor,0,0,0,4,0,0.00,0,0,0,0,0,10
Fortes,Brasil,1930,-,Mediocampista,0,0,0,2,0,0.00,0,0,0,0,0,6
Foued Kadir,Argelia,2010,21,Mediocampista,3,3,0,0,0,0.00,0,0,0,1,2,28
Fouzi Al Shehri,Arabia Saudita,2002,6,Defensor,2,2,0,1,0,0.00,0,0,0,0,2,32
Fran Karacic,Australia,2022,5,Defensor,2,1,0,2,0,0.00,0,0,1,0,1,11
Francesco Coco,Italia,2002,4,Defensor,2,1,0,2,0,0.00,1,0,0,1,1,15
Francesco Graziani,Italia,1978,19,Delantero,3,0,0,4,0,0.00,0,0,2,0,1,4
Francesco Graziani,Italia,1982,19,Delantero,7,7,0,0,1,0.14,0,0,4,3,0,1
Francesco Janich,Italia,1962,19,Defensor,1,1,0,2,0,0.00,0,0,0,0,1,9
Francesco Janich,Italia,1966,9,Defensor,1,1,0,2,0,0.00,0,0,0,0,1,9
Francesco Moriero,Italia,1998,17,Mediocampista,3,3,0,2,0,0.00,1,0,2,1,0,5
Francesco Morini,Italia,1974,5,Defensor,3,3,0,0,0,0.00,0,0,1,1,1,10
Francesco Rizzo,Italia,1966,20,Mediocampista,0,0,0,3,0,0.00,0,0,0,0,0,9
Francesco Toldo,Italia,1998,1,Arquero,0,0,0,5,0,0.00,0,0,0,0,0,5
Francesco Toldo,Italia,2002,22,Arquero,0,0,0,4,0,0.00,0,0,0,0,0,15
Francesco Totti,Italia,2002,10,Delantero,4,4,0,0,0,0.00,1,1,1,1,2,15
Francesco Totti,Italia,2006,10,Mediocampista,7,6,0,0,1,0.14,1,0,5,2,0,1
Francis Lee,Inglaterra,1970,7,Delantero,3,3,0,1,0,0.00,2,0,1,0,2,8
Francis Ryan,Estados Unidos,1934,-,Delantero,1,1,0,0,0,0.00,0,0,0,0,1,16
Francis Uzoho,Nigeria,2018,23,Arquero,3,3,0,0,0,0.00,0,0,1,0,2,21
Francisco,España,1986,17,Mediocampista,4,3,0,1,0,0.00,0,0,3,0,1,7
Francisco Aguirre,Paraguay,1930,-,Mediocampista,1,1,0,1,0,0.00,0,0,0,0,1,9
Francisco Alcaraz,Paraguay,1986,17,Mediocampista,0,0,0,4,0,0.00,0,0,0,0,0,13
Francisco Arce,Paraguay,1998,2,Defensor,3,3,0,1,0,0.00,2,0,1,1,1,14
