jugador,seleccion_nacionalidad,altura,fecha_nac,posicion,num_camiseta,mundiales
Driss Bamous,Marruecos,,15 de diciembre de 1942,Mediocampista,8,1970
Driss Ben Zekri,Marruecos,,31 de diciembre de 1970,Arquero,12,1998
Driss Kanoussi,Marruecos,,1 de enero de 1939,Defensor,4,1970
Du Ri Cha,Corea del Sur,1.81 m,25 de julio de 1980,"Defensor, Delantero","16, 22","2002, 2010"
Duberty Araoz,Bolivia,,21 de diciembre de 1920,Mediocampista,-,1950
Duda,Portugal,1.75 m,27 de junio de 1980,Defensor,5,2010
Duilio Davino,México,1.79 m,21 de marzo de 1976,Defensor,5,1998
Duje Ćaleta-Car,Croacia,1.92 m,17 de septiembre de 1996,Defensor,15,2018
Dumitru Pavlovici,Rumania,,26 de abril de 1912,Arquero,-,1938
Dumitru Stangaciu,Rumania,,9 de agosto de 1964,Arquero,1,1998
Duncan Cole,Nueva Zelanda,,12 de julio de 1958,Mediocampista,8,1982
Dunga,Brasil,,31 de octubre de 1963,Mediocampista,"4, 8","1990, 1994, 1998"
Durrent Brown,Jamaica,,7 de agosto de 1964,Defensor,21,1998
Dusan Bajevic,Yugoslavia,,10 de diciembre de 1948,Delantero,19,1974
Dusan Basta,Serbia y Montenegro,1.83 m,18 de agosto de 1984,Defensor,13,2006
Dusan Kuciak,Eslovaquia,1.95 m,21 de mayo de 1985,Arquero,23,2010
Dusan Pernis,Eslovaquia,1.90 m,28 de noviembre de 1984,Arquero,12,2010
Dusan Petkovic,Serbia y Montenegro,1.88 m,13 de junio de 1974,Defensor,16,2006
Dušan Tadić,Serbia,1.81 m,20 de noviembre de 1988,Mediocampista,10,"2018, 2022"
Dusan Vlahovic,Serbia,1.90 m,28 de enero de 2000,Delantero,18,2022
Duško Tošić,Serbia,1.84 m,19 de enero de 1985,Defensor,3,2018
Dwight Yorke,Trinidad y Tobago,1.82 m,3 de noviembre de 1971,Delantero,19,2006
Dylan Bronn,Túnez,1.86 m,19 de junio de 1995,Defensor,"11, 6","2018, 2022"
Dylan Levitt,Gales,1.80 m,17 de noviembre de 2000,Mediocampista,23,2022
Eamonn Bannon,Escocia,,18 de abril de 1958,Mediocampista,9,1986
Earnie Stewart,Estados Unidos,1.75 m,28 de marzo de 1969,"Delantero, Mediocampista",8,"1994, 1998, 2002"
Ebbe Sand,Dinamarca,1.83 m,19 de julio de 1972,Delantero,"19, 11","1998, 2002"
Eberardo Villalobos,Chile,,1 de abril de 1908,Delantero,-,1930
Eberhard Vogel,Alemania Oriental,,8 de abril de 1943,Delantero,15,1974
Ebi Smolarek,Polonia,1.76 m,9 de enero de 1981,Mediocampista,15,2006
Ebrahim Kassempoor,Irán,,24 de agosto de 1956,Mediocampista,8,1978
Ebrahim Mirzapour,Irán,1.92 m,16 de septiembre de 1978,Arquero,1,2006
Echeberria,España,,24 de marzo de 1940,Defensor,7,1962
Ed Czerkiewicz,Estados Unidos,,8 de julio de 1912,Defensor,-,1934
Ed De Goey,Paises Bajos,,20 de diciembre de 1966,Arquero,"1, 18","1994, 1998"
Ed Mcilvenny,Estados Unidos,,21 de octubre de 1924,Mediocampista,-,1950
Ed Souza,Estados Unidos,,22 de septiembre de 1921,Delantero,-,1950
Edder Delgado,Honduras,1.76 m,20 de noviembre de 1986,Mediocampista,12,2014
Eddie Baily,Inglaterra,,6 de agosto de 1925,Delantero,-,1950
Eddie Clamp,Inglaterra,,14 de septiembre de 1934,Defensor,4,1958
Eddie Ditchburn,Inglaterra,,24 de octubre de 1921,Arquero,-,1950
Eddie Hopkinson,Inglaterra,,29 de octubre de 1935,Arquero,12,1958
Eddie Johnson,Estados Unidos,1.87 m,31 de marzo de 1984,Delantero,9,2006
Eddie Lewis,Estados Unidos,1.78 m,17 de mayo de 1974,"Defensor, Mediocampista",7,"2002, 2006"
Eddie Mcgoldrick,Irlanda,,30 de abril de 1965,Mediocampista,17,1994
Eddie Pope,Estados Unidos,1.83 m,24 de diciembre de 1973,Defensor,"3, 23","1998, 2002, 2006"
Eddie Turnbull,Escocia,,12 de abril de 1923,Delantero,8,1958
Eddy Antoine,Haití,,27 de agosto de 1949,Mediocampista,9,1974
Eddy Treijtel,Paises Bajos,,28 de mayo de 1946,Arquero,21,1974
Edelmiro Arevalo,Paraguay,,7 de enero de 1929,Defensor,2,1958
Eden Hazard,Bélgica,1.73 m,7 de enero de 1991,"Delantero, Mediocampista",10,"2014, 2018, 2022"
Eder,Brasil,,25 de mayo de 1957,Mediocampista,11,1982
Eder,Portugal,1.88 m,22 de diciembre de 1987,Delantero,11,2014
Eder Alvarez Balanta,Colombia,1.81 m,28 de febrero de 1993,Defensor,16,2014
Eder Militao,Brasil,1.86 m,18 de enero de 1998,Defensor,14,2022
Ederson,Brasil,1.88 m,17 de agosto de 1993,Arquero,23,"2018, 2022"
Edevaldo,Brasil,,28 de enero de 1958,Defensor,13,1982
Edgar Aguilera,Paraguay,,28 de julio de 1975,Mediocampista,6,1998
Edgar Alvarez,Honduras,1.70 m,18 de enero de 1980,Mediocampista,17,2010
Edgar Barreto,Paraguay,1.78 m,15 de julio de 1984,Mediocampista,8,"2006, 2010"
Edgar Benitez,Paraguay,1.76 m,8 de noviembre de 1987,Delantero,10,2010
Edgar Davids,Paises Bajos,1.68 m,13 de marzo de 1973,Mediocampista,16,1998
Édgar Joel Bárcenas,Panamá,,23 de octubre de 1993,Mediocampista,8,2018
Edgar Salli,Camerún,1.63 m,17 de agosto de 1992,Delantero,20,2014
Edgardo Bauza,Argentina,,26 de enero de 1958,Defensor,5,1990
Edgardo Gonzalez,Uruguay,,30 de septiembre de 1936,Mediocampista,16,1962
Edhem Sljivo,Yugoslavia,,16 de marzo de 1950,Mediocampista,8,1982
Edilson,Brasil,1.68 m,17 de septiembre de 1970,Delantero,20,2002
Edimilson Fernandes,Suiza,1.90 m,15 de abril de 1996,Mediocampista,2,2022
Edin Dzeko,Bosnia-Herzegovina,1.93 m,17 de marzo de 1986,Delantero,11,2014
Edin Visca,Bosnia-Herzegovina,1.72 m,17 de febrero de 1990,Delantero,19,2014
Edinho,Brasil,,5 de junio de 1955,Defensor,"6, 16, 4","1978, 1982, 1986"
Edinson Cavani,Uruguay,1.84 m,14 de febrero de 1987,Delantero,"7, 21","2010, 2014, 2018, 2022"
Edison Flores,Perú,1.67 m,14 de mayo de 1994,Mediocampista,20,2018
Edison Mendez,Ecuador,1.75 m,16 de marzo de 1979,Mediocampista,"19, 8","2002, 2006, 2014"
Edivaldo,Brasil,,13 de abril de 1962,Delantero,11,1986
Edmilson,Brasil,1.86 m,10 de julio de 1976,Defensor,5,2002
Edmond Baraffe,Francia,,19 de octubre de 1942,Delantero,3,1966
Edmond Delfour,Francia,,1 de noviembre de 1907,"Delantero, Mediocampista",-,"1930, 1934, 1938"
Edmond Enoka,Camerún,,17 de diciembre de 1955,Defensor,3,1982
Edmond Loichot,Suiza,,,Mediocampista,-,1934
Edmund Conen,Alemania,,10 de noviembre de 1914,Delantero,-,1934
Edmund Giemsa,Polonia,,16 de octubre de 1912,Defensor,-,1938
Edmund Tworz,Polonia,,1 de enero de 1914,Defensor,-,1938
Edmundo,Brasil,,2 de abril de 1971,Delantero,21,1998
Edmundo Piaggio,Argentina,,3 de octubre de 1910,Mediocampista,-,1930
Edouard Mendy,Senegal,1.94 m,1 de marzo de 1992,Arquero,16,2022
Edson,Angola,1.75 m,2 de marzo de 1980,Mediocampista,13,2006
Edson,Brasil,,3 de julio de 1959,Defensor,2,1986
Edson Álvarez,México,1.80 m,24 de octubre de 1997,Defensor,"21, 4","2018, 2022"
Edson Braafheid,Paises Bajos,1.74 m,8 de abril de 1983,Defensor,15,2010
Edson Buddle,Estados Unidos,1.85 m,21 de mayo de 1981,Delantero,14,2010
Edu,Brasil,,6 de agosto de 1949,Delantero,"22, 19, 20","1966, 1970, 1974"
Eduard Dubinski,URSS,,6 de abril de 1935,Defensor,4,1962
Eduard Krieger,Austria,,16 de diciembre de 1946,Mediocampista,12,1978
Eduard Malofeyev,URSS,,2 de junio de 1942,Delantero,19,1966
Eduard Markarov,URSS,,20 de junio de 1942,Delantero,20,1966
Eduardo,Portugal,1.87 m,19 de septiembre de 1982,Arquero,1,"2010, 2014"
Eduardo,Croacia,1.78 m,25 de febrero de 1983,Delantero,22,2014
Eduardo Acevedo,Uruguay,,25 de septiembre de 1959,Defensor,3,1986
Eduardo Astengo,Perú,,,Mediocampista,-,1930
Eduardo Bonvallet,Chile,,13 de enero de 1955,Mediocampista,7,1982
Eduardo Camavinga,Francia,1.82 m,10 de noviembre de 2002,Mediocampista,25,2022
Eduardo Espinoza,México,,12 de abril de 1965,Mediocampista,15,1994
Eduardo Gutierrez,Bolivia,,17 de enero de 1925,Arquero,-,1950
Eduardo Laing,Honduras,,27 de diciembre de 1958,Delantero,7,1982
Eduardo Malasquez,Perú,,13 de octubre de 1957,Mediocampista,18,1982
Eduardo Nino,Colombia,,8 de agosto de 1967,Arquero,12,1990
Eduardo Pereira,Uruguay,,21 de marzo de 1954,Arquero,12,1990
Eduardo Ramos,México,,8 de noviembre de 1949,Defensor,4,1978
Eduardo Reyes Ortiz,Bolivia,,1 de enero de 1907,Delantero,-,1930
Eduardo Salvio,Argentina,1.72 m,13 de julio de 1990,Mediocampista,18,2018
Eduardo Vargas,Chile,1.75 m,20 de noviembre de 1989,Delantero,11,2014
Edward Madejski,Polonia,,11 de agosto de 1914,Arquero,-,1938
Edwin Tenorio,Ecuador,1.72 m,16 de junio de 1976,Mediocampista,20,"2002, 2006"
Edwin Van Der Sar,Paises Bajos,1.95 m,29 de octubre de 1970,Arquero,"13, 1","1994, 1998, 2006"
Edwin Villafuerte,Ecuador,1.86 m,12 de marzo de 1979,Arquero,1,2006
Efan Ekoku,Nigeria,1.85 m,8 de junio de 1967,Delantero,18,1994
Efe Ambrose,Nigeria,1.90 m,18 de octubre de 1988,Defensor,5,2014
Efetobore Sodje,Nigeria,1.85 m,5 de octubre de 1972,Defensor,16,2002
Efrain Amezcua,México,,3 de agosto de 1907,Mediocampista,-,1930
Efrain Juarez,México,1.75 m,22 de febrero de 1988,Defensor,16,2010
Efrain Sanchez,Colombia,,26 de febrero de 1926,Arquero,1,1962
Egidio Arevalo,Uruguay,1.68 m,1 de enero de 1982,Mediocampista,17,"2010, 2014"
Egil Ostenstad,Noruega,,2 de enero de 1972,Delantero,18,1998
Egisto Pandolfini,Italia,,19 de febrero de 1926,Delantero,8,"1950, 1954"
Egon Jonsson,Suecia,,8 de octubre de 1921,Delantero,-,1950
Egor Titov,Rusia,1.82 m,29 de mayo de 1976,Mediocampista,9,2002
Ehsan Hajsafi,Irán,1.78 m,25 de febrero de 1990,Mediocampista,3,"2014, 2018, 2022"
Eiji Kawashima,Japón,1.85 m,20 de marzo de 1983,Arquero,"21, 1","2010, 2014, 2018, 2022"
Eike Immel,Alemania Occidental,,27 de noviembre de 1960,Arquero,22,"1982, 1986"
Eissa Meer,Emiratos Arabes,,16 de julio de 1967,Defensor,19,1990
Eisuke Nakanishi,Japón,,23 de junio de 1973,Defensor,19,1998
Eivar Widlund,Suecia,,1 de enero de 1906,Arquero,-,1934
Ejike Uzoenyi,Nigeria,1.68 m,23 de marzo de 1988,Mediocampista,3,2014
Eken Bulent,Turquía,,26 de octubre de 1923,Defensor,13,1954
El Hadji Diouf,Senegal,1.80 m,15 de enero de 1981,Delantero,11,2002
El-Winsh,Egipto,,1 de junio de 1995,Defensor,15,2018
Eladio,España,,18 de noviembre de 1940,Defensor,3,1966
Eladio Reyes,Perú,,8 de enero de 1948,Mediocampista,19,1970
Eladio Rojas,Chile,,8 de noviembre de 1934,Mediocampista,6,1962
Elano,Brasil,1.74 m,14 de junio de 1981,Mediocampista,7,2010
Elderson Echiéjilé,Nigeria,1.84 m,20 de enero de 1988,Defensor,3,2018
Eli Ben Rimoz,Israel,,1 de enero de 1947,Delantero,17,1970
Eliaquim Mangala,Francia,1.87 m,13 de febrero de 1991,Defensor,13,2014
Elias Atmatzidis,Grecia,,24 de abril de 1969,Arquero,20,1994
Elias Figueroa,Chile,,25 de octubre de 1946,Defensor,"7, 5","1966, 1974, 1982"
Elias Munoz,México,,3 de noviembre de 1941,Delantero,18,1966
Eligio Antonio Insfran,Paraguay,,,Delantero,22,1958
Eligio Echague,Paraguay,,1 de enero de 1931,Defensor,6,1958
Elioro Paredes,Paraguay,,,Defensor,-,1950
Eliseo Alvarez,Uruguay,,9 de agosto de 1940,"Defensor, Mediocampista","18, 16","1962, 1966"
Eliseo Insfran,Paraguay,,,Delantero,19,1958
Eliseo Mourino,Argentina,,2 de junio de 1927,Mediocampista,16,1958
Eliseo Prado,Argentina,,17 de septiembre de 1929,Delantero,8,1958
Eliseo Rivero,Uruguay,,27 de diciembre de 1957,Defensor,15,1986
Elisha Owusu,Ghana,1.82 m,7 de noviembre de 1997,Mediocampista,6,2022
Eljero Elia,Paises Bajos,1.77 m,13 de febrero de 1987,Delantero,17,2010
Ellyes Skhiri,Túnez,1.85 m,10 de mayo de 1995,Mediocampista,17,"2018, 2022"
Elmer Angel Acevedo,El Salvador,,24 de febrero de 1946,Delantero,21,1970
Eloy,España,,10 de julio de 1964,Delantero,20,1986
Eloy Campos,Perú,,31 de mayo de 1942,Defensor,2,1970
Elvedin Dzinic,Eslovenia,1.89 m,25 de agosto de 1985,Defensor,3,2010
Ely Do Amparo,Brasil,,14 de mayo de 1921,"Defensor, Mediocampista",14,"1950, 1954"
Ely Tacchella,Suiza,,25 de mayo de 1936,Defensor,"8, 20","1962, 1966"
Elzo,Brasil,,22 de enero de 1961,Mediocampista,19,1986
Emeka Ezeugo,Nigeria,,16 de diciembre de 1965,Defensor,13,1994
Emerich Dembrovschi,Rumania,,6 de octubre de 1945,Mediocampista,7,1970
Emerich Vogl,Rumania,,12 de agosto de 1905,"Defensor, Mediocampista",-,"1930, 1934"
Emerse Fae,Costa de Marfil,1.73 m,24 de enero de 1984,Mediocampista,7,2006
Emerson,Brasil,1.82 m,4 de abril de 1976,Mediocampista,"11, 5","1998, 2006"
Emil Forsberg,Suecia,1.79 m,23 de octubre de 1991,Mediocampista,10,2018
Emil Hallfredsson,Islandia,1.85 m,19 de julio de 1984,Mediocampista,20,2018
Emil Kostadinov,Bulgaria,,12 de agosto de 1967,Delantero,7,"1994, 1998"
Emil Krafth,Suecia,1.81 m,2 de agosto de 1994,Defensor,16,2018
Emil Kremenliev,Bulgaria,,13 de agosto de 1969,Defensor,2,1994
Emil Pazicky,Checoslovaquia,,14 de octubre de 1927,Delantero,10,1954
Emil Sandoi,Rumania,,1 de marzo de 1965,Defensor,19,1990
Emile Heskey,Inglaterra,1.88 m,11 de enero de 1978,Delantero,"11, 21","2002, 2010"
Emile Mbouh,Camerún,,30 de mayo de 1966,Mediocampista,8,"1990, 1994"
Emile Mpenza,Bélgica,1.77 m,4 de julio de 1978,Delantero,20,1998
Emile Stynen,Bélgica,,2 de noviembre de 1907,Mediocampista,-,1938
Emile Veinante,Francia,,12 de junio de 1907,"Delantero, Mediocampista",-,"1930, 1934, 1938"
Emiliano Martinez,Argentina,1.95 m,1 de septiembre de 1992,Arquero,23,2022
Emilio Alvarez,Uruguay,,10 de febrero de 1939,"Defensor, Mediocampista","3, 14","1962, 1966"
Emilio Butragueño,España,,22 de julio de 1963,Delantero,9,"1986, 1990"
Emilio Caprile,Italia,,30 de septiembre de 1928,Delantero,-,1950
Emilio Izaguirre,Honduras,1.78 m,10 de mayo de 1986,Defensor,"21, 7","2010, 2014"
Emilio Recoba,Uruguay,,3 de noviembre de 1904,Defensor,-,1930
Emir Mkademi,Túnez,1.78 m,20 de agosto de 1978,Defensor,19,2002
Emir Spahic,Bosnia-Herzegovina,1.83 m,18 de agosto de 1980,Defensor,4,2014
Emlyn Hughes,Inglaterra,,28 de agosto de 1947,Mediocampista,16,1970
Emmanuel Adebayor,Togo,1.90 m,26 de febrero de 1984,Delantero,4,2006
Emmanuel Agyemang-Badu,Ghana,1.73 m,2 de diciembre de 1990,Defensor,8,2014
Emmanuel Amunike,Nigeria,,25 de diciembre de 1970,Mediocampista,11,1994
Emmanuel Eboue,Costa de Marfil,1.78 m,4 de junio de 1983,Defensor,21,"2006, 2010"
Emmanuel Emenike,Nigeria,1.82 m,10 de mayo de 1987,Delantero,9,2014
Emmanuel Kone,Costa de Marfil,1.77 m,31 de diciembre de 1986,Mediocampista,14,2010
Emmanuel Kunde,Camerún,,15 de julio de 1956,Defensor,6,"1982, 1990"
Emmanuel Maboang,Camerún,,27 de noviembre de 1968,Mediocampista,"21, 11","1990, 1994"
Emmanuel Olisadebe,Polonia,1.80 m,22 de diciembre de 1978,Delantero,11,2002
Emmanuel Pappoe,Ghana,1.77 m,3 de marzo de 1981,Defensor,6,2006
Emmanuel Petit,Francia,1.85 m,22 de septiembre de 1970,Mediocampista,17,"1998, 2002"
Emmanuel Sanon,Haití,,25 de junio de 1951,Delantero,20,1974
Emre Asik,Turquía,1.85 m,13 de diciembre de 1973,Defensor,2,2002
Emre Belozoglu,Turquía,1.71 m,7 de septiembre de 1980,Mediocampista,21,2002
Engelbert Kraus,Alemania Occidental,,30 de julio de 1934,Delantero,17,1962
Enhua Zhang,China,1.83 m,11 de mayo de 1974,Defensor,2,2002
Enner Valencia,Ecuador,1.77 m,4 de noviembre de 1989,Delantero,13,"2014, 2022"
Enrico Albertosi,Italia,,2 de noviembre de 1939,Arquero,"13, 1, 12","1962, 1966, 1970, 1974"
Enrico Chiesa,Italia,,29 de diciembre de 1970,Delantero,20,1998
Enrique Avalos,Paraguay,,1 de enero de 1922,Delantero,-,1950
Enrique Ballestrero,Uruguay,,18 de enero de 1905,Arquero,-,1930
Enrique Borja,México,,30 de diciembre de 1945,Delantero,"20, 9","1966, 1970"
Enrique Chazarreta,Argentina,,29 de julio de 1947,Mediocampista,8,1974
Enrique Chimento,Argentina,,,Defensor,-,1934
Enrique Collar,España,,2 de noviembre de 1934,Delantero,4,1962
Enrique Guaita,Italia,,15 de julio de 1910,Delantero,-,1934
Enrique Lopez Zarza,México,,25 de octubre de 1958,Delantero,8,1978
Enrique Romero,España,1.83 m,23 de junio de 1971,Defensor,15,2002
Enrique Saura,España,,2 de agosto de 1954,Mediocampista,15,1982
Enrique Sesma,México,,22 de abril de 1927,Delantero,11,1958
Enrique Vera,Paraguay,1.78 m,10 de marzo de 1979,Mediocampista,13,2010
Enrique Wolff,Argentina,,21 de febrero de 1949,Defensor,20,1974
Enver Hadziabdic,Yugoslavia,,6 de noviembre de 1945,Defensor,3,1974
Enver Maric,Yugoslavia,,23 de abril de 1948,Arquero,1,1974
Enzo Ebosse,Camerún,1.85 m,11 de marzo de 1999,Defensor,24,2022
Enzo Escobar,Chile,,10 de noviembre de 1951,Defensor,19,1982
Enzo Fernandez,Argentina,1.78 m,17 de enero de 2001,Mediocampista,24,2022
Enzo Francescoli,Uruguay,1.81 m,12 de noviembre de 1961,Mediocampista,"10, 9","1986, 1990"
Enzo Pérez,Argentina,1.77 m,21 de febrero de 1986,Mediocampista,"8, 15","2014, 2018"
Enzo Robotti,Italia,,15 de junio de 1935,Defensor,16,1962
Enzo Scifo,Bélgica,,19 de febrero de 1966,Mediocampista,"8, 10, 14","1986, 1990, 1994, 1998"
Enzo Trossero,Argentina,,23 de mayo de 1953,Defensor,19,1982
Ephrem Mbom,Camerún,,18 de julio de 1954,Defensor,7,1982
Eraldo Monzeglio,Italia,,5 de mayo de 1906,Defensor,-,"1934, 1938"
Eraldo Pecci,Italia,,12 de abril de 1955,Mediocampista,11,1978
Eray Cömert,Suiza,1.83 m,4 de febrero de 1998,Defensor,18,2022
Erdem Naci,Turquía,,28 de enero de 1931,Defensor,17,1954
Eren Derdiyok,Suiza,1.90 m,12 de junio de 1988,Delantero,19,2010
Ergun Penbe,Turquía,1.78 m,17 de mayo de 1972,Mediocampista,18,2002
Eric Abidal,Francia,1.80 m,11 de septiembre de 1979,Defensor,3,"2006, 2010"
Eric Addo,Ghana,1.82 m,12 de noviembre de 1978,Mediocampista,18,2006
Eric Akoto,Togo,1.92 m,20 de julio de 1980,Defensor,12,2006
Eric Caldow,Escocia,,14 de mayo de 1934,Defensor,4,1958
Eric Maxim Choupo Moting,Camerún,1.91 m,23 de marzo de 1989,Delantero,13,"2010, 2014, 2022"
Eric Deflandre,Bélgica,1.79 m,2 de agosto de 1973,Defensor,"22, 2","1998, 2002"
Eric Dier,Inglaterra,1.88 m,15 de enero de 1994,Mediocampista,"4, 15","2018, 2022"
Eric Djemba Djemba,Camerún,1.74 m,4 de mayo de 1981,Delantero,19,2002
Eric Eichmann,Estados Unidos,,7 de mayo de 1965,Delantero,13,1990
Eric Ejiofor,Nigeria,1.85 m,21 de julio de 1979,Defensor,19,2002
Eric García,España,1.82 m,9 de enero de 2001,Defensor,3,2022
Eric Gerets,Bélgica,,18 de mayo de 1954,Defensor,2,"1982, 1986, 1990"
Eric Van Meir,Bélgica,1.86 m,28 de febrero de 1968,Defensor,"19, 4","1994, 1998, 2002"
Eric Wynalda,Estados Unidos,,9 de junio de 1969,Delantero,11,"1990, 1994, 1998"
Erich Beer,Alemania Occidental,,9 de diciembre de 1946,Mediocampista,15,1978
Erich Hamann,Alemania Oriental,,27 de noviembre de 1944,Mediocampista,17,1974
Erich Juskowiak,Alemania Occidental,,7 de septiembre de 1926,Defensor,3,1958
Erich Obermayer,Austria,,23 de enero de 1953,Defensor,3,"1978, 1982"
Erich Probst,Austria,,5 de diciembre de 1927,Delantero,10,1954
Erich Schaedler,Escocia,,6 de agosto de 1949,Defensor,22,1974
Erick Davis,Panamá,1.79 m,31 de marzo de 1991,Defensor,15,2018
Érick Gutiérrez,México,1.76 m,15 de junio de 1995,Mediocampista,"5, 14","2018, 2022"
Erick Lonnis,Costa Rica,1.82 m,9 de septiembre de 1965,Arquero,1,2002
Erik Almgren,Suecia,,28 de enero de 1908,Mediocampista,-,1938
Erik Durm,Alemania,1.83 m,12 de mayo de 1992,Defensor,15,2014
Erik Edman,Suecia,1.79 m,11 de noviembre de 1978,Defensor,"14, 5","2002, 2006"
Erik Granath,Suecia,,,Defensor,-,1934
Erik Hoftun,Noruega,,3 de marzo de 1969,Defensor,19,1998
Erik Jendrisek,Eslovaquia,1.76 m,26 de octubre de 1986,Delantero,18,2010
Erik Mykland,Noruega,,21 de julio de 1971,Mediocampista,7,"1994, 1998"
Erik Nilsson,Suecia,,6 de agosto de 1916,Defensor,-,"1938, 1950"
Erik Persson,Suecia,,19 de noviembre de 1909,Delantero,-,1938
Erik Thorstvedt,Noruega,,28 de octubre de 1962,Arquero,1,1994
Erland Johnsen,Noruega,,5 de abril de 1967,Defensor,3,1994
Ermes Muccinelli,Italia,,28 de julio de 1927,Delantero,7,"1950, 1954"
Ermin Bicakcic,Bosnia-Herzegovina,1.85 m,24 de enero de 1990,Defensor,3,2014
Ermindo Onega,Argentina,,4 de abril de 1939,Delantero,20,1966
Ernest Ebongue,Camerún,,15 de mayo de 1962,Delantero,21,1982
Ernest Lehner,Alemania,,7 de noviembre de 1912,Delantero,-,"1934, 1938"
Ernest Liberati,Francia,,22 de marzo de 1908,Delantero,-,1930
Ernest Schultz,Francia,,29 de enero de 1931,Delantero,20,1954
Ernest Wilimowski,Polonia,,23 de junio de 1916,Delantero,-,1938
Ernesto,Portugal,,6 de julio de 1937,Delantero,7,1966
Ernesto Albarracin,Argentina,,,Mediocampista,-,1934
Ernesto Aparicio,El Salvador,,28 de diciembre de 1948,Delantero,11,1970
Ernesto Belis,Argentina,,1 de febrero de 1909,Defensor,-,1934
Ernesto Chaparro,Chile,,4 de enero de 1901,Defensor,-,1930
Ernesto Cisneros,México,,26 de octubre de 1940,Mediocampista,9,1966
Ernesto Labarthe,Perú,,2 de junio de 1956,Mediocampista,18,1978
Ernesto Mascheroni,Uruguay,,21 de noviembre de 1907,Defensor,-,1930
Ernesto Vidal,Uruguay,,15 de noviembre de 1921,Delantero,-,1950
Ernie Brandts,Paises Bajos,,3 de febrero de 1956,Defensor,22,1978
Ernie Campbell,Australia,,20 de octubre de 1949,Delantero,19,1974
Ernie Copland,Escocia,,,Delantero,21,1954
Erno Solymosi,Hungría,,21 de septiembre de 1940,Defensor,5,1962
Ernst Aigner,Austria,,31 de octubre de 1966,Defensor,2,1990
Ernst Albrecht,Alemania,,12 de noviembre de 1907,Mediocampista,-,1934
Ernst Andersson,Suecia,,26 de marzo de 1909,Mediocampista,-,1934
Ernst Baumeister,Austria,,22 de enero de 1957,Mediocampista,"20, 14","1978, 1982"
Ernst Frick,Suiza,,,Mediocampista,-,1934
Ernst Happel,Austria,,29 de noviembre de 1925,Defensor,3,"1954, 1958"
Ernst Hufschmid,Suiza,,4 de febrero de 1913,Mediocampista,-,1934
Ernst Jean-Joseph,Haití,,11 de junio de 1948,Defensor,12,1974
Ernst Kozlicek,Austria,,27 de enero de 1931,Mediocampista,17,1958
Ernst Loertscher,Suiza,,15 de marzo de 1913,Mediocampista,-,1938
Ernst Ocwirk,Austria,,7 de marzo de 1926,Mediocampista,5,1954
Ernst Stojaspal,Austria,,14 de enero de 1925,Delantero,21,1954
Erol Keskin,Turquía,,2 de marzo de 1927,Delantero,7,1954
Ersoy Sukru,Turquía,,14 de enero de 1934,Arquero,12,1954
Ervin Katnic,Yugoslavia,,,Mediocampista,-,1950
Erwin Ballabio,Suiza,,20 de octubre de 1918,Arquero,-,1938
Erwin Fuchsbichler,Austria,,27 de marzo de 1952,Arquero,21,1978
Erwin Hochstrasser,Suiza,,,Delantero,-,1934
Erwin Koeman,Paises Bajos,,20 de septiembre de 1961,Mediocampista,7,1990
Erwin Nyc,Polonia,,24 de mayo de 1914,Mediocampista,-,1938
Erwin Sanchez,Bolivia,,19 de octubre de 1969,Mediocampista,21,1994
Erwin Van Den Daele,Bélgica,,5 de marzo de 1945,Mediocampista,15,1970
Erwin Vandenbergh,Bélgica,,26 de enero de 1959,Delantero,9,"1982, 1986"
Espen Baardsen,Noruega,,7 de diciembre de 1977,Arquero,13,1998
Essaïd Belkalem,Argelia,1.90 m,1 de enero de 1989,Defensor,4,2014
Essam El-Hadary,Egipto,1.88 m,15 de enero de 1973,Arquero,1,2018
Estanislao Basora,España,,18 de noviembre de 1926,Delantero,-,1950
Estanislao Struway,Paraguay,1.76 m,25 de junio de 1968,Mediocampista,6,2002
Esteban Alvarado,Costa Rica,1.93 m,28 de abril de 1989,Arquero,18,2022
Esteban Cambiasso,Argentina,1.78 m,18 de agosto de 1980,Mediocampista,5,2006
Esteban Granados,Costa Rica,1.83 m,25 de octubre de 1985,Mediocampista,13,2014
Esteban Paredes,Chile,1.79 m,1 de agosto de 1980,Delantero,22,"2010, 2014"
Ethan Ampadu,Gales,1.83 m,14 de septiembre de 2000,Defensor,15,2022
Ethan Horvath,Estados Unidos,1.93 m,9 de junio de 1995,Arquero,12,2022
Etienne Mattler,Francia,,25 de diciembre de 1905,Defensor,-,"1930, 1934, 1938"
Eufemio Cabral,Paraguay,,21 de marzo de 1955,Defensor,15,1986
Eugen Meier,Suiza,,30 de abril de 1930,"Delantero, Mediocampista","20, 11","1954, 1962"
Eugen Rupf,Suiza,,,Delantero,-,1938
Eugen Walachek,Suiza,,20 de junio de 1916,Delantero,-,1938
Eugene Ekeke,Camerún,,30 de mayo de 1960,Delantero,11,1990
Eugene Galekovic,Australia,1.86 m,12 de junio de 1981,Arquero,18,2014
Eugene Parlier,Suiza,,13 de febrero de 1929,Arquero,2,1954
Eugenio Corrodi,Suiza,,2 de julio de 1922,Arquero,-,1950
Eugenio Leal,España,,13 de mayo de 1953,Mediocampista,14,1978
Eugenio Mena,Chile,1.78 m,18 de julio de 1988,Defensor,2,2014
