jugador,seleccion_nacionalidad,altura,fecha_nac,posicion,num_camiseta,mundiales
Abdulmalek Al-Khaibri,Arabia Saudita,1.75 m,13 de marzo de 1986,Mediocampista,11,2018
Abdulrahman Al-Aboud,Arabia Saudita,1.74 m,1 de junio de 1995,Mediocampista,20,2022
Abdulrahman Al Haddad,Emiratos Arabes,,23 de septiembre de 1966,Defensor,21,1990
Abdulrahman Fawzi,Egipto,,11 de agosto de 1909,Delantero,-,1934
Abel,Brasil,,1 de septiembre de 1952,Defensor,14,1978
Abel Aguilar,Colombia,1.86 m,6 de enero de 1985,Mediocampista,8,"2014, 2018"
Abel Balbo,Argentina,,1 de junio de 1966,Delantero,"3, 19, 18","1990, 1994, 1998"
Abel Hernández,Uruguay,1.86 m,8 de agosto de 1990,Delantero,8,2014
Abel Xavier,Portugal,1.89 m,30 de noviembre de 1972,Defensor,3,2002
Abelardo,España,1.80 m,19 de abril de 1970,Defensor,5,"1994, 1998"
Abiodun Baruwa,Nigeria,,16 de noviembre de 1974,Arquero,22,1998
Abolfazl Jalali,Irán,1.77 m,26 de junio de 1998,Defensor,25,2022
Abou Diaby,Francia,1.88 m,11 de mayo de 1986,Mediocampista,19,2010
Acacio,Brasil,,20 de enero de 1959,Arquero,12,1990
Achille Emana,Camerún,1.80 m,5 de junio de 1982,Delantero,10,2010
Achmad Nawir,Indias Orientales Holand.,,1 de enero de 1911,Mediocampista,-,1938
Achraf Dari,Marruecos,1.90 m,6 de mayo de 1999,Defensor,20,2022
Achraf Hakimi,Marruecos,1.81 m,4 de noviembre de 1998,Defensor,2,"2018, 2022"
Adalbert Desu,Rumania,,24 de marzo de 1909,Delantero,-,1930
Adalbert Pullock,Rumania,,6 de abril de 1907,Arquero,-,1934
Adalbert Steiner,Rumania,,24 de enero de 1907,Defensor,-,1930
Adalbert Zafirov,Bulgaria,,29 de septiembre de 1969,Defensor,15,1998
Adam Adam,Kuwait,,23 de septiembre de 1957,Arquero,21,1982
Adam Davies,Gales,1.85 m,17 de julio de 1992,Arquero,21,2022
Adam Federici,Australia,1.88 m,31 de enero de 1985,Arquero,12,2010
Adam Kwarasey,Ghana,1.90 m,12 de diciembre de 1987,Arquero,12,2014
Adam Lallana,Inglaterra,1.72 m,10 de mayo de 1988,Mediocampista,20,2014
Adam Matysek,Polonia,1.91 m,19 de julio de 1968,Arquero,22,2002
Adam Musial,Polonia,,18 de diciembre de 1948,Defensor,10,1974
Adam Nawalka,Polonia,,23 de octubre de 1957,Mediocampista,5,1978
Adam Taggart,Australia,1.83 m,2 de junio de 1993,Delantero,9,2014
Adam Wolanin,Estados Unidos,,13 de noviembre de 1919,Delantero,-,1950
Adama Mbengué,Senegal,1.78 m,1 de diciembre de 1993,Defensor,2,2018
Adan Godoy,Chile,,26 de noviembre de 1936,Arquero,"12, 9","1962, 1966"
Adaozinho,Brasil,,2 de abril de 1923,Delantero,-,1950
Adekanmi Olufade,Togo,1.70 m,7 de enero de 1980,Delantero,14,2006
Adel Abdelrahman,Egipto,,11 de diciembre de 1967,Delantero,19,1990
Adel Chedli,Túnez,1.76 m,16 de septiembre de 1976,Mediocampista,14,2006
Adel El Sellimi,Túnez,1.76 m,16 de noviembre de 1972,Delantero,11,"1998, 2002"
Adel Nefzi,Túnez,1.83 m,16 de marzo de 1974,Arquero,16,2006
Adelardo,España,,26 de noviembre de 1939,"Defensor, Delantero","18, 21","1962, 1966"
Adelmo Vivas,Colombia,,,Arquero,2,1962
Adem Ljajić,Serbia,1.81 m,29 de septiembre de 1991,Mediocampista,22,2018
Ademir,Brasil,,8 de noviembre de 1922,Delantero,-,1950
Ademir Da Guia,Brasil,,3 de abril de 1942,Mediocampista,18,1974
Adil Rami,Francia,1.90 m,27 de diciembre de 1985,Defensor,17,2018
Adlane Guedioura,Argelia,1.83 m,12 de noviembre de 1985,Mediocampista,17,2010
Admir Mehmedi,Suiza,1.78 m,16 de marzo de 1991,Delantero,18,2014
Adnan Al Talyani,Emiratos Arabes,,1 de octubre de 1964,Delantero,10,1990
