anio,id_grupo,seleccion,pts,pj,pg,pe,pp,gf,gc,diferencia,clasificado
1958,1,Alemania Occidental,4,3,1,2,0,7,5,2,Si
1958,1,Irlanda del Norte,3,3,1,1,1,4,5,-1,Si
1958,1,Checoslovaquia,3,3,1,1,1,8,4,4,No
1958,1,Argentina,2,3,1,0,2,5,10,-5,No
1958,2,Francia,4,3,2,0,1,11,7,4,Si
1958,2,Yugoslavia,4,3,1,2,0,7,6,1,Si
1958,2,Paraguay,3,3,1,1,1,9,12,-3,No
1958,2,Escocia,1,3,0,1,2,4,6,-2,No
1958,3,Suecia,5,3,2,1,0,5,1,4,Si
1958,3,Gales,3,3,0,3,0,2,2,0,Si
1958,3,Hungría,3,3,1,1,1,6,3,3,No
1958,3,México,1,3,0,1,2,1,8,-7,No
1958,4,Brasil,5,3,2,1,0,5,0,5,Si
1958,4,URSS,3,3,1,1,1,4,4,0,Si
1958,4,Inglaterra,3,3,0,3,0,4,4,0,No
1958,4,Austria,1,3,0,1,2,2,7,-5,No
