anio,id_partido_str,num_partido,num_partido_seq,fuente,fecha,etapa,local,visitante,goles_local,goles_visitante,tiempo_extra,penales,penales_local,penales_visitante
1958,1958_g1_1,1,1,grupo_1,08-Jun-1958,Grupo 1,Argentina,Alemania Occidental,1,3,NO,NO,,
1958,1958_g1_2,2,2,grupo_1,08-Jun-1958,Grupo 1,Irlanda del Norte,Checoslovaquia,1,0,NO,NO,,
1958,1958_g1_3,3,3,grupo_1,11-Jun-1958,Grupo 1,Alemania Occidental,Checoslovaquia,2,2,NO,NO,,
1958,1958_g1_4,4,4,grupo_1,11-Jun-1958,Grupo 1,Argentina,Irlanda del Norte,3,1,NO,NO,,
1958,1958_g1_5,5,5,grupo_1,15-Jun-1958,Grupo 1,Alemania Occidental,Irlanda del Norte,2,2,NO,NO,,
1958,1958_g1_6,6,6,grupo_1,15-Jun-1958,Grupo 1,Checoslovaquia,Argentina,6,1,NO,NO,,
1958,1958_g1_7,7,7,grupo_1,17-Jun-1958,Grupo 1,Irlanda del Norte,Checoslovaquia,2,1,NO,NO,,
1958,1958_g2_1,1,8,grupo_2,08-Jun-1958,Grupo 2,Francia,Paraguay,7,3,NO,NO,,
1958,1958_g2_2,2,9,grupo_2,08-Jun-1958,Grupo 2,Yugoslavia,Escocia,1,1,NO,NO,,
1958,1958_g2_3,3,10,grupo_2,11-Jun-1958,Grupo 2,Paraguay,Escocia,3,2,NO,NO,,
1958,1958_g2_4,4,11,grupo_2,11-Jun-1958,Grupo 2,Yugoslavia,Francia,3,2,NO,NO,,
1958,1958_g2_5,5,12,grupo_2,15-Jun-1958,Grupo 2,Francia,Escocia,2,1,NO,NO,,
1958,1958_g2_6,6,13,grupo_2,15-Jun-1958,Grupo 2,Paraguay,Yugoslavia,3,3,NO,NO,,
1958,1958_g3_1,1,14,grupo_3,08-Jun-1958,Grupo 3,Hungría,Gales,1,1,NO,NO,,
1958,1958_g3_2,2,15,grupo_3,08-Jun-1958,Grupo 3,Suecia,México,3,0,NO,NO,,
1958,1958_g3_3,3,16,grupo_3,11-Jun-1958,Grupo 3,México,Gales,1,1,NO,NO,,
1958,1958_g3_4,4,17,grupo_3,12-Jun-1958,Grupo 3,Suecia,Hungría,2,1,NO,NO,,
1958,1958_g3_5,5,18,grupo_3,15-Jun-1958,Grupo 3,Hungría,México,4,0,NO,NO,,
1958,1958_g3_6,6,19,grupo_3,15-Jun-1958,Grupo 3,Suecia,Gales,0,0,NO,NO,,
1958,1958_g3_7,7,20,grupo_3,17-Jun-1958,Grupo 3,Gales,Hungría,2,1,NO,NO,,
1958,1958_g4_1,1,21,grupo_4,08-Jun-1958,Grupo 4,Brasil,Austria,3,0,NO,NO,,
1958,1958_g4_2,2,22,grupo_4,08-Jun-1958,Grupo 4,URSS,Inglaterra,2,2,NO,NO,,
1958,1958_g4_3,3,23,grupo_4,11-Jun-1958,Grupo 4,Brasil,Inglaterra,0,0,NO,NO,,
1958,1958_g4_4,4,24,grupo_4,11-Jun-1958,Grupo 4,URSS,Austria,2,0,NO,NO,,
1958,1958_g4_5,5,25,grupo_4,15-Jun-1958,Grupo 4,Brasil,URSS,2,0,NO,NO,,
1958,1958_g4_6,6,26,grupo_4,15-Jun-1958,Grupo 4,Inglaterra,Austria,2,2,NO,NO,,
1958,1958_g4_7,7,27,grupo_4,17-Jun-1958,Grupo 4,URSS,Inglaterra,1,0,NO,NO,,
1958,1958_r_1,1,28,resultados,08-Jun-1958,"1ra Ronda, Grupo 3",Hungría,Gales,1,1,NO,NO,,
1958,1958_r_2,2,29,resultados,08-Jun-1958,"1ra Ronda, Grupo 1",Irlanda del Norte,Checoslovaquia,1,0,NO,NO,,
1958,1958_r_3,3,30,resultados,08-Jun-1958,"1ra Ronda, Grupo 4",Brasil,Austria,3,0,NO,NO,,
1958,1958_r_4,4,31,resultados,08-Jun-1958,"1ra Ronda, Grupo 2",Francia,Paraguay,7,3,NO,NO,,
1958,1958_r_5,5,32,resultados,08-Jun-1958,"1ra Ronda, Grupo 1",Argentina,Alemania Occidental,1,3,NO,NO,,
1958,1958_r_6,6,33,resultados,08-Jun-1958,"1ra Ronda, Grupo 4",URSS,Inglaterra,2,2,NO,NO,,
1958,1958_r_7,7,34,resultados,08-Jun-1958,"1ra Ronda, Grupo 2",Yugoslavia,Escocia,1,1,NO,NO,,
1958,1958_r_8,8,35,resultados,08-Jun-1958,"1ra Ronda, Grupo 3",Suecia,México,3,0,NO,NO,,
1958,1958_r_9,9,36,resultados,11-Jun-1958,"1ra Ronda, Grupo 2",Yugoslavia,Francia,3,2,NO,NO,,
1958,1958_r_10,10,37,resultados,11-Jun-1958,"1ra Ronda, Grupo 2",Paraguay,Escocia,3,2,NO,NO,,
1958,1958_r_11,11,38,resultados,11-Jun-1958,"1ra Ronda, Grupo 3",México,Gales,1,1,NO,NO,,
1958,1958_r_12,12,39,resultados,11-Jun-1958,"1ra Ronda, Grupo 1",Alemania Occidental,Checoslovaquia,2,2,NO,NO,,
1958,1958_r_13,13,40,resultados,11-Jun-1958,"1ra Ronda, Grupo 4",URSS,Austria,2,0,NO,NO,,
1958,1958_r_14,14,41,resultados,11-Jun-1958,"1ra Ronda, Grupo 1",Argentina,Irlanda del Norte,3,1,NO,NO,,
1958,1958_r_15,15,42,resultados,11-Jun-1958,"1ra Ronda, Grupo 4",Brasil,Inglaterra,0,0,NO,NO,,
1958,1958_r_16,16,43,resultados,12-Jun-1958,"1ra Ronda, Grupo 3",Suecia,Hungría,2,1,NO,NO,,
1958,1958_r_17,17,44,resultados,15-Jun-1958,"1ra Ronda, Grupo 2",Francia,Escocia,2,1,NO,NO,,
1958,1958_r_18,18,45,resultados,15-Jun-1958,"1ra Ronda, Grupo 3",Suecia,Gales,0,0,NO,NO,,
1958,1958_r_19,19,46,resultados,15-Jun-1958,"1ra Ronda, Grupo 1",Alemania Occidental,Irlanda del Norte,2,2,NO,NO,,
1958,1958_r_20,20,47,resultados,15-Jun-1958,"1ra Ronda, Grupo 2",Paraguay,Yugoslavia,3,3,NO,NO,,
1958,1958_r_21,21,48,resultados,15-Jun-1958,"1ra Ronda, Grupo 4",Brasil,URSS,2,0,NO,NO,,
1958,1958_r_22,22,49,resultados,15-Jun-1958,"1ra Ronda, Grupo 4",Inglaterra,Austria,2,2,NO,NO,,
1958,1958_r_23,23,50,resultados,15-Jun-1958,"1ra Ronda, Grupo 3",Hungría,México,4,0,NO,NO,,
1958,1958_r_24,24,51,resultados,15-Jun-1958,"1ra Ronda, Grupo 1",Checoslovaquia,Argentina,6,1,NO,NO,,
1958,1958_r_25,25,52,resultados,17-Jun-1958,"1ra Ronda, Grupo 1",Irlanda del Norte,Checoslovaquia,2,1,SI,NO,,
1958,1958_r_26,26,53,resultados,17-Jun-1958,"1ra Ronda, Grupo 3",Gales,Hungría,2,1,NO,NO,,
1958,1958_r_27,27,54,resultados,17-Jun-1958,"1ra Ronda, Grupo 4",URSS,Inglaterra,1,0,NO,NO,,
1958,1958_r_28,28,55,resultados,19-Jun-1958,Cuartos,Francia,Irlanda del Norte,4,0,NO,NO,,
1958,1958_r_29,29,56,resultados,19-Jun-1958,Cuartos,Alemania Occidental,Yugoslavia,1,0,NO,NO,,
1958,1958_r_30,30,57,resultados,19-Jun-1958,Cuartos,Brasil,Gales,1,0,NO,NO,,
1958,1958_r_31,31,58,resultados,19-Jun-1958,Cuartos,Suecia,URSS,2,0,NO,NO,,
1958,1958_r_32,32,59,resultados,24-Jun-1958,Semis,Alemania Occidental,Suecia,1,3,NO,NO,,
1958,1958_r_33,33,60,resultados,24-Jun-1958,Semis,Francia,Brasil,2,5,NO,NO,,
1958,1958_r_34,34,61,resultados,28-Jun-1958,3er Puesto,Alemania Occidental,Francia,3,6,NO,NO,,
1958,1958_r_35,35,62,resultados,29-Jun-1958,Final,Suecia,Brasil,2,5,NO,NO,,
1958,1958_r_,,63,resultados,19-Jun-1958,,Alemania Occidental,Yugoslavia,1,0,NO,NO,,
