anio,jugador,seleccion,goles,partidos,promedio
1958,Just Fontaine,Francia,13,6,2.17
1958,Pelé,Brasil,6,4,1.50
1958,Helmut Rahn,Alemania Occidental,6,6,1.00
1958,Peter Mcparland,Irlanda del Norte,5,5,1.00
1958,Vava,Brasil,5,4,1.25
1958,Kurt Hamrin,Suecia,4,5,0.80
1958,Agne Simonsson,Suecia,4,5,0.80
1958,Lajos Tichy,Hungría,4,4,1.00
1958,Zdenek Zikan,Checoslovaquia,4,3,1.33
1958,Omar Oreste Corbatta,Argentina,3,3,1.00
1958,Raymond Kopa,Francia,3,6,0.50
1958,Roger Piantoni,Francia,3,5,0.60
1958,Hans Schaefer,Alemania Occidental,3,6,0.50
1958,Toza Veselinovic,Yugoslavia,3,4,0.75
1958,Juan Aguero,Paraguay,2,3,0.67
1958,Ivor Allchurch,Gales,2,5,0.40
1958,Jose Altafini,Brasil,2,3,0.67
1958,Florencio Amarilla,Paraguay,2,3,0.67
1958,Milan Dvorak,Checoslovaquia,2,4,0.50
1958,Vaclav Hovorka,Checoslovaquia,2,3,0.67
1958,Anatoli Ilyin,URSS,2,5,0.40
1958,Derek Kevan,Inglaterra,2,4,0.50
1958,Nils Liedholm,Suecia,2,5,0.40
1958,Jose Parodi,Paraguay,2,3,0.67
1958,Aleksandar Petakovic,Yugoslavia,2,4,0.50
1958,Jorge Romero,Paraguay,2,3,0.67
1958,Uwe Seeler,Alemania Occidental,2,5,0.40
1958,Maryan Wisnieski,Francia,2,6,0.33
1958,Ludovico Avio,Argentina,1,2,0.50
1958,Sammy Baird,Escocia,1,1,1.00
1958,Jaime Belmonte,México,1,2,0.50
1958,Jozsef Bencsis,Hungría,1,2,0.50
1958,Jozsef Bozsik,Hungría,1,3,0.33
1958,John Charles,Gales,1,4,0.25
1958,Hans Ciesclarczyk,Alemania Occidental,1,2,0.50
1958,Bobby Collins,Escocia,1,3,0.33
1958,Wilbur Cush,Irlanda del Norte,1,5,0.20
1958,Didi,Brasil,1,6,0.17
1958,Yvon Douis,Francia,1,1,1.00
1958,Jiri Feureisl,Checoslovaquia,1,3,0.33
1958,Tom Finney,Inglaterra,1,1,1.00
1958,Gunnar Gren,Suecia,1,5,0.20
1958,John Haynes,Inglaterra,1,4,0.25
1958,Valentin Ivanov,URSS,1,5,0.20
1958,Aleksandr Ivanov,URSS,1,4,0.25
1958,Alfred Koerner,Austria,1,3,0.33
1958,Karl Koller,Austria,1,3,0.33
1958,Terry Medwin,Gales,1,4,0.25
1958,Norberto Menendez,Argentina,1,3,0.33
1958,Jackie Mudie,Escocia,1,3,0.33
1958,Jimmy Murray,Escocia,1,2,0.50
1958,Nilton Santos,Brasil,1,6,0.17
1958,Radivoje Ognjanovic,Yugoslavia,1,2,0.50
1958,Zdravko Rajkov,Yugoslavia,1,4,0.25
1958,Cayetano Re,Paraguay,1,3,0.33
1958,Karoly Sandor,Hungría,1,3,0.33
1958,Nikita Simonyan,URSS,1,5,0.20
1958,Lennart Skoglund,Suecia,1,6,0.17
1958,Jean Vincent,Francia,1,6,0.17
1958,Zagallo,Brasil,1,6,0.17
