anio,posicion,seleccion
1958,1,Brasil
1958,2,Suecia
1958,3,Francia
1958,4,Alemania Occidental
1958,5,Gales
1958,6,URSS
1958,7,Irlanda del Norte
1958,8,Yugoslavia
1958,9,Checoslovaquia
1958,10,Hungría
1958,11,Inglaterra
1958,12,Paraguay
1958,13,Argentina
1958,14,Escocia
1958,15,Austria
1958,16,México
