anio,posicion,seleccion
1934,1,Italia
1934,2,Checoslovaquia
1934,3,Alemania
1934,4,Austria
1934,5,España
1934,6,Hungría
1934,7,Suiza
1934,8,Suecia
1934,9,Argentina
1934,9,Francia
1934,9,Paises Bajos
1934,12,Rumania
1934,13,Egipto
1934,14,Brasil
1934,15,Bélgica
1934,16,Estados Unidos
