anio,posicion,seleccion
1998,1,Francia
1998,2,Brasil
1998,3,Croacia
1998,4,Paises Bajos
1998,5,Italia
1998,6,Argentina
1998,7,Alemania
1998,8,Dinamarca
1998,9,Inglaterra
1998,10,RF de Yugoslavia
1998,11,Rumania
1998,12,Nigeria
1998,13,México
1998,14,Paraguay
1998,15,Noruega
1998,16,Chile
1998,17,España
1998,18,Marruecos
1998,19,Bélgica
1998,20,Irán
1998,21,Colombia
1998,22,Jamaica
1998,23,Austria
1998,24,Sudáfrica
1998,25,Camerún
1998,26,Túnez
1998,27,Escocia
1998,28,Arabia Saudita
1998,29,Bulgaria
1998,30,Corea del Sur
1998,31,Japón
1998,32,Estados Unidos
