anio,posicion,jugador,seleccion
1998,Arquero,Fabien Barthez,Francia
1998,Arquero,Jose Luis Chilavert,Paraguay
1998,Defensores,Frank De Boer,Paises Bajos
1998,Defensores,Marcel Desailly,Francia
1998,Defensores,Carlos Gamarra,Paraguay
1998,Defensores,Roberto Carlos,Brasil
1998,Defensores,Lilian Thuram,Francia
1998,Mediocampistas,Edgar Davids,Paises Bajos
1998,Mediocampistas,Dunga,Brasil
1998,Mediocampistas,Michael Laudrup,Dinamarca
1998,Mediocampistas,Rivaldo,Brasil
1998,Mediocampistas,Zinedine Zidane,Francia
1998,Delanteros,Dennis Bergkamp,Paises Bajos
1998,Delanteros,Brian Laudrup,Dinamarca
1998,Delanteros,Ronaldo,Brasil
1998,Delanteros,Davor Suker,Croacia
