anio,seleccion,dorsal,jugador,posicion
1998,Alemania,,,
1998,Arabia Saudita,,,
1998,Argentina,,,
1998,Austria,,,
1998,Bélgica,,,
1998,Brasil,,,
1998,Bulgaria,,,
1998,Camerún,,,
1998,Chile,,,
1998,Colombia,,,
1998,Corea del Sur,,,
1998,Croacia,,,
1998,Dinamarca,,,
1998,Escocia,,,
1998,España,,,
1998,Estados Unidos,,,
1998,Francia,,,
1998,Inglaterra,,,
1998,Irán,,,
1998,Italia,,,
1998,Jamaica,,,
1998,Japón,,,
1998,Marruecos,,,
1998,México,,,
1998,Nigeria,,,
1998,Noruega,,,
1998,Paises Bajos,,,
1998,Paraguay,,,
1998,RF de Yugoslavia,,,
1998,Rumania,,,
1998,Sudáfrica,,,
1998,Túnez,,,
