anio,id_partido_str,num_partido,num_partido_seq,fuente,fecha,etapa,local,visitante,goles_local,goles_visitante,tiempo_extra,penales,penales_local,penales_visitante
1970,1970_g1_1,1,1,grupo_1,31-May-1970,Grupo 1,México,URSS,0,0,NO,NO,,
1970,1970_g1_2,2,2,grupo_1,03-Jun-1970,Grupo 1,Bélgica,El Salvador,3,0,NO,NO,,
1970,1970_g1_3,3,3,grupo_1,06-Jun-1970,Grupo 1,URSS,Bélgica,4,1,NO,NO,,
1970,1970_g1_4,4,4,grupo_1,07-Jun-1970,Grupo 1,México,El Salvador,4,0,NO,NO,,
1970,1970_g1_5,5,5,grupo_1,10-Jun-1970,Grupo 1,URSS,El Salvador,2,0,NO,NO,,
1970,1970_g1_6,6,6,grupo_1,11-Jun-1970,Grupo 1,México,Bélgica,1,0,NO,NO,,
1970,1970_g2_1,1,7,grupo_2,02-Jun-1970,Grupo 2,Uruguay,Israel,2,0,NO,NO,,
1970,1970_g2_2,2,8,grupo_2,03-Jun-1970,Grupo 2,Italia,Suecia,1,0,NO,NO,,
1970,1970_g2_3,3,9,grupo_2,06-Jun-1970,Grupo 2,Uruguay,Italia,0,0,NO,NO,,
1970,1970_g2_4,4,10,grupo_2,07-Jun-1970,Grupo 2,Suecia,Israel,1,1,NO,NO,,
1970,1970_g2_5,5,11,grupo_2,10-Jun-1970,Grupo 2,Suecia,Uruguay,1,0,NO,NO,,
1970,1970_g2_6,6,12,grupo_2,11-Jun-1970,Grupo 2,Italia,Israel,0,0,NO,NO,,
1970,1970_g3_1,1,13,grupo_3,02-Jun-1970,Grupo 3,Inglaterra,Rumania,1,0,NO,NO,,
1970,1970_g3_2,2,14,grupo_3,03-Jun-1970,Grupo 3,Brasil,Checoslovaquia,4,1,NO,NO,,
1970,1970_g3_3,3,15,grupo_3,06-Jun-1970,Grupo 3,Rumania,Checoslovaquia,2,1,NO,NO,,
1970,1970_g3_4,4,16,grupo_3,07-Jun-1970,Grupo 3,Brasil,Inglaterra,1,0,NO,NO,,
1970,1970_g3_5,5,17,grupo_3,10-Jun-1970,Grupo 3,Brasil,Rumania,3,2,NO,NO,,
1970,1970_g3_6,6,18,grupo_3,11-Jun-1970,Grupo 3,Inglaterra,Checoslovaquia,1,0,NO,NO,,
1970,1970_g4_1,1,19,grupo_4,02-Jun-1970,Grupo 4,Perú,Bulgaria,3,2,NO,NO,,
1970,1970_g4_2,2,20,grupo_4,03-Jun-1970,Grupo 4,Alemania Occidental,Marruecos,2,1,NO,NO,,
1970,1970_g4_3,3,21,grupo_4,06-Jun-1970,Grupo 4,Perú,Marruecos,3,0,NO,NO,,
1970,1970_g4_4,4,22,grupo_4,07-Jun-1970,Grupo 4,Alemania Occidental,Bulgaria,5,2,NO,NO,,
1970,1970_g4_5,5,23,grupo_4,10-Jun-1970,Grupo 4,Alemania Occidental,Perú,3,1,NO,NO,,
1970,1970_g4_6,6,24,grupo_4,11-Jun-1970,Grupo 4,Bulgaria,Marruecos,1,1,NO,NO,,
1970,1970_r_1,1,25,resultados,31-May-1970,"1ra Ronda, Grupo 1",México,URSS,0,0,NO,NO,,
1970,1970_r_2,2,26,resultados,02-Jun-1970,"1ra Ronda, Grupo 3",Inglaterra,Rumania,1,0,NO,NO,,
1970,1970_r_3,3,27,resultados,02-Jun-1970,"1ra Ronda, Grupo 2",Uruguay,Israel,2,0,NO,NO,,
1970,1970_r_4,4,28,resultados,02-Jun-1970,"1ra Ronda, Grupo 4",Perú,Bulgaria,3,2,NO,NO,,
1970,1970_r_5,5,29,resultados,03-Jun-1970,"1ra Ronda, Grupo 2",Italia,Suecia,1,0,NO,NO,,
1970,1970_r_6,6,30,resultados,03-Jun-1970,"1ra Ronda, Grupo 4",Alemania Occidental,Marruecos,2,1,NO,NO,,
1970,1970_r_7,7,31,resultados,03-Jun-1970,"1ra Ronda, Grupo 1",Bélgica,El Salvador,3,0,NO,NO,,
1970,1970_r_8,8,32,resultados,03-Jun-1970,"1ra Ronda, Grupo 3",Brasil,Checoslovaquia,4,1,NO,NO,,
1970,1970_r_9,9,33,resultados,06-Jun-1970,"1ra Ronda, Grupo 4",Perú,Marruecos,3,0,NO,NO,,
1970,1970_r_10,10,34,resultados,06-Jun-1970,"1ra Ronda, Grupo 3",Rumania,Checoslovaquia,2,1,NO,NO,,
1970,1970_r_11,11,35,resultados,06-Jun-1970,"1ra Ronda, Grupo 1",URSS,Bélgica,4,1,NO,NO,,
1970,1970_r_12,12,36,resultados,06-Jun-1970,"1ra Ronda, Grupo 2",Uruguay,Italia,0,0,NO,NO,,
1970,1970_r_13,13,37,resultados,07-Jun-1970,"1ra Ronda, Grupo 2",Suecia,Israel,1,1,NO,NO,,
1970,1970_r_14,14,38,resultados,07-Jun-1970,"1ra Ronda, Grupo 1",México,El Salvador,4,0,NO,NO,,
1970,1970_r_15,15,39,resultados,07-Jun-1970,"1ra Ronda, Grupo 4",Alemania Occidental,Bulgaria,5,2,NO,NO,,
1970,1970_r_16,16,40,resultados,07-Jun-1970,"1ra Ronda, Grupo 3",Brasil,Inglaterra,1,0,NO,NO,,
1970,1970_r_17,17,41,resultados,10-Jun-1970,"1ra Ronda, Grupo 1",URSS,El Salvador,2,0,NO,NO,,
1970,1970_r_18,18,42,resultados,10-Jun-1970,"1ra Ronda, Grupo 2",Suecia,Uruguay,1,0,NO,NO,,
1970,1970_r_19,19,43,resultados,10-Jun-1970,"1ra Ronda, Grupo 4",Alemania Occidental,Perú,3,1,NO,NO,,
1970,1970_r_20,20,44,resultados,10-Jun-1970,"1ra Ronda, Grupo 3",Brasil,Rumania,3,2,NO,NO,,
1970,1970_r_21,21,45,resultados,11-Jun-1970,"1ra Ronda, Grupo 4",Bulgaria,Marruecos,1,1,NO,NO,,
1970,1970_r_22,22,46,resultados,11-Jun-1970,"1ra Ronda, Grupo 3",Inglaterra,Checoslovaquia,1,0,NO,NO,,
1970,1970_r_23,23,47,resultados,11-Jun-1970,"1ra Ronda, Grupo 1",México,Bélgica,1,0,NO,NO,,
1970,1970_r_24,24,48,resultados,11-Jun-1970,"1ra Ronda, Grupo 2",Italia,Israel,0,0,NO,NO,,
1970,1970_r_25,25,49,resultados,14-Jun-1970,Cuartos,Alemania Occidental,Inglaterra,3,2,SI,NO,,
1970,1970_r_26,26,50,resultados,14-Jun-1970,Cuartos,Italia,México,4,1,NO,NO,,
1970,1970_r_27,27,51,resultados,14-Jun-1970,Cuartos,Uruguay,URSS,1,0,SI,NO,,
1970,1970_r_28,28,52,resultados,14-Jun-1970,Cuartos,Brasil,Perú,4,2,NO,NO,,
1970,1970_r_29,29,53,resultados,17-Jun-1970,Semis,Uruguay,Brasil,1,3,NO,NO,,
1970,1970_r_30,30,54,resultados,17-Jun-1970,Semis,Italia,Alemania Occidental,4,3,SI,NO,,
1970,1970_r_31,31,55,resultados,20-Jun-1970,3er Puesto,Uruguay,Alemania Occidental,0,1,NO,NO,,
1970,1970_r_32,32,56,resultados,21-Jun-1970,Final,Brasil,Italia,4,1,NO,NO,,
1970,1970_r_,,57,resultados,14-Jun-1970,,Alemania Occidental,Inglaterra,3,2,SI,NO,,
