anio,jugador,seleccion,goles,partidos,promedio
1970,Gerd Mueller,Alemania Occidental,10,6,1.67
1970,Jairzinho,Brasil,7,6,1.17
1970,Teofilo Cubillas,Perú,5,4,1.25
1970,Anatoly Bishovets,URSS,4,4,1.00
1970,Pelé,Brasil,4,6,0.67
1970,Gigi Riva,Italia,3,6,0.50
1970,Rivelino,Brasil,3,5,0.60
1970,Uwe Seeler,Alemania Occidental,3,6,0.50
1970,Roberto Boninsegna,Italia,2,6,0.33
1970,Florea Dumitrache,Rumania,2,3,0.67
1970,Alberto Gallardo,Perú,2,4,0.50
1970,Raoul Lambert,Bélgica,2,2,1.00
1970,Ladislav Petras,Checoslovaquia,2,3,0.67
1970,Gianni Rivera,Italia,2,4,0.50
1970,Tostao,Brasil,2,6,0.33
1970,Javier Valdivia,México,2,4,0.50
1970,Wilfried Van Moer,Bélgica,2,3,0.67
1970,Kakhi Asatiani,URSS,1,4,0.25
1970,Juan Ignacio Basaguren,México,1,2,0.50
1970,Franz Beckenbauer,Alemania Occidental,1,5,0.20
1970,Hristo Bonev,Bulgaria,1,3,0.33
1970,Tarcisio Burgnich,Italia,1,6,0.17
1970,Carlos Alberto,Brasil,1,6,0.17
1970,Roberto Challe,Perú,1,4,0.25
1970,Hector Chumpitaz,Perú,1,4,0.25
1970,Allan Clarke,Inglaterra,1,1,1.00
1970,Clodoaldo,Brasil,1,6,0.17
1970,Luis Cubilla,Uruguay,1,5,0.20
1970,Emerich Dembrovschi,Rumania,1,3,0.33
1970,Dinko Dermendzhiev,Bulgaria,1,2,0.50
1970,Angelo Domenghini,Italia,1,6,0.17
1970,Victor Esparrago,Uruguay,1,6,0.17
1970,Javier Fragoso,México,1,4,0.25
1970,Gerson,Brasil,1,4,0.25
1970,Mahjoub Ghazouani,Marruecos,1,3,0.33
1970,Jose Gonzalez,México,1,3,0.33
1970,Ove Grahn,Suecia,1,2,0.50
1970,Geoff Hurst,Inglaterra,1,3,0.33
1970,Houmane Jarir,Marruecos,1,2,0.50
1970,Vitali Khmelnitski,URSS,1,4,0.25
1970,Todor Kolev,Bulgaria,1,2,0.50
1970,Stan Libuda,Alemania Occidental,1,5,0.20
1970,Ildo Maneiro,Uruguay,1,6,0.17
1970,Juan Mujica,Uruguay,1,6,0.17
1970,Alan Mullery,Inglaterra,1,4,0.25
1970,Alexandru Neagu,Rumania,1,3,0.33
1970,Asparukh Nikodimov,Bulgaria,1,2,0.50
1970,Wolfgang Overath,Alemania Occidental,1,6,0.17
1970,Gustavo Pena,México,1,4,0.25
1970,Martin Peters,Inglaterra,1,4,0.25
1970,Karl-Heinz Schnellinger,Alemania Occidental,1,5,0.20
1970,Mordechai Spiegler,Israel,1,3,0.33
1970,Tom Turesson,Suecia,1,2,0.50
1970,Dobromir Zhechev,Bulgaria,1,2,0.50
