anio,posicion,seleccion
1970,1,Brasil
1970,2,Italia
1970,3,Alemania Occidental
1970,4,Uruguay
1970,5,URSS
1970,6,México
1970,7,Perú
1970,8,Inglaterra
1970,9,Suecia
1970,10,Bélgica
1970,10,Rumania
1970,12,Israel
1970,13,Bulgaria
1970,14,Marruecos
1970,15,Checoslovaquia
1970,16,El Salvador
