anio,tipo_premio,jugador,seleccion
1986,Balón de Oro,Diego Maradona,Argentina
1986,Balón de Plata,Harald Schumacher,Alemania Occidental
1986,Balón de Bronce,Preben Elkjaer Larsen,Dinamarca
1986,Botín de Oro,Gary Lineker,Inglaterra
1986,Mejor Jugador Joven,Enzo Scifo,Bélgica
1986,FIFA Fair Play,Brasil,Brasil
