anio,id_partido_str,equipo,jugador,minuto,es_penal,es_autogol
1986,1986_gA_1,Bulgaria,Nasko Sirakov,85,NO,NO
1986,1986_gA_1,Italia,Alessandro Altobelli,43,NO,NO
1986,1986_gA_2,Argentina,Jorge Valdano,6,NO,NO
1986,1986_gA_2,Argentina,Oscar Ruggeri,18,NO,NO
1986,1986_gA_2,Argentina,Jorge Valdano,46,NO,NO
1986,1986_gA_2,Corea del Sur,Chang Sun Park,73,NO,NO
1986,1986_gA_3,Corea del Sur,Jong Boo Kim,70,NO,NO
1986,1986_gA_3,Bulgaria,Plamen Getov,11,NO,NO
1986,1986_gA_4,Italia,Alessandro Altobelli,6,SI,NO
1986,1986_gA_4,Argentina,Diego Maradona,34,NO,NO
1986,1986_gA_5,Argentina,Jorge Valdano,3,NO,NO
1986,1986_gA_5,Argentina,Jorge Burruchaga,76,NO,NO
1986,1986_gA_6,Corea del Sur,Soon Ho Choi,62,NO,NO
1986,1986_gA_6,Corea del Sur,Jung Moo Huh,83,NO,NO
1986,1986_gA_6,Italia,Alessandro Altobelli,17,NO,NO
1986,1986_gA_6,Italia,Alessandro Altobelli,73,NO,NO
1986,1986_gA_6,Italia,Kwang Rae Cho,82,NO,SI
1986,1986_gB_1,Bélgica,Erwin Vandenbergh,45,NO,NO
1986,1986_gB_1,México,Fernando Quirarte,23,NO,NO
1986,1986_gB_1,México,Hugo Sánchez,39,NO,NO
1986,1986_gB_2,Paraguay,Julio Cesar Romero,35,NO,NO
1986,1986_gB_3,México,Luis Flores,3,NO,NO
1986,1986_gB_3,Paraguay,Julio Cesar Romero,85,NO,NO
1986,1986_gB_4,Iraq,Ahmed Radhi,59,NO,NO
1986,1986_gB_4,Bélgica,Enzo Scifo,16,NO,NO
1986,1986_gB_4,Bélgica,Nico Claesen,21,SI,NO
1986,1986_gB_5,México,Fernando Quirarte,54,NO,NO
1986,1986_gB_6,Paraguay,Roberto Cabañas,50,NO,NO
1986,1986_gB_6,Paraguay,Roberto Cabañas,76,NO,NO
1986,1986_gB_6,Bélgica,Frank Vercauteren,30,NO,NO
1986,1986_gB_6,Bélgica,Daniel Veyt,59,NO,NO
1986,1986_gC_1,Francia,Jean-Pierre Papin,79,NO,NO
1986,1986_gC_2,URSS,Pavel Yakovenko,2,NO,NO
1986,1986_gC_2,URSS,Sergei Aleinikov,4,NO,NO
1986,1986_gC_2,URSS,Igor Belanov,24,SI,NO
1986,1986_gC_2,URSS,Ivan Yaremchuk,66,NO,NO
1986,1986_gC_2,URSS,Laszlo Dajka,73,NO,SI
1986,1986_gC_2,URSS,Sergei Rodionov,80,NO,NO
1986,1986_gC_3,Francia,Luis Fernandez,62,NO,NO
1986,1986_gC_3,URSS,Vasili Rats,53,NO,NO
1986,1986_gC_4,Hungría,Marton Esterhazy,2,NO,NO
1986,1986_gC_4,Hungría,Lajos Detari,75,NO,NO
1986,1986_gC_5,Francia,Yannick Stopyra,29,NO,NO
1986,1986_gC_5,Francia,Jean Tigana,62,NO,NO
1986,1986_gC_5,Francia,Dominique Rocheteau,84,NO,NO
1986,1986_gC_6,URSS,Oleg Blokhin,58,NO,NO
1986,1986_gC_6,URSS,Aleksandr Zavarov,74,NO,NO
1986,1986_gD_1,Brasil,Socrates,62,NO,NO
1986,1986_gD_2,Argelia,Djamel Zidane,59,NO,NO
1986,1986_gD_2,Irlanda del Norte,Norman Whiteside,6,NO,NO
1986,1986_gD_3,Brasil,Careca,66,NO,NO
1986,1986_gD_4,Irlanda del Norte,Colin Clarke,47,NO,NO
1986,1986_gD_4,España,Emilio Butragueño,2,NO,NO
1986,1986_gD_4,España,Julio Salinas,18,NO,NO
1986,1986_gD_5,España,Ramon Maria Caldere,15,NO,NO
1986,1986_gD_5,España,Ramon Maria Caldere,68,NO,NO
1986,1986_gD_5,España,Eloy,70,NO,NO
