anio,posicion,jugador,seleccion
1986,Arquero,Jean-Marie Pfaff,Bélgica
1986,Defensores,Manuel Amoros,Francia
1986,Defensores,Josimar,Brasil
1986,Defensores,Julio Cesar,Brasil
1986,Mediocampistas,Jan Ceulemans,Bélgica
1986,Mediocampistas,Diego Maradona,Argentina
1986,Mediocampistas,Michel Platini,Francia
1986,Mediocampistas,Jean Tigana,Francia
1986,Delanteros,Emilio Butragueño,España
1986,Delanteros,Preben Elkjaer Larsen,Dinamarca
1986,Delanteros,Gary Lineker,Inglaterra
