anio,posicion,seleccion
1966,1,Inglaterra
1966,2,Alemania Occidental
1966,3,Portugal
1966,4,URSS
1966,5,Argentina
1966,6,Hungría
1966,7,Uruguay
1966,8,Corea del Norte
1966,9,Italia
1966,10,España
1966,11,Brasil
1966,12,México
1966,13,Chile
1966,13,Francia
1966,15,Bulgaria
1966,16,Suiza
