anio,posicion,jugador,seleccion
1966,Arquero,Gordon Banks,Inglaterra
1966,Defensores,George Cohen,Inglaterra
1966,Defensores,Silvio Marzolini,Argentina
1966,Defensores,Bobby Moore,Inglaterra
1966,Defensores,Vicente,Portugal
1966,Mediocampistas,Franz Beckenbauer,Alemania Occidental
1966,Mediocampistas,Bobby Charlton,Inglaterra
1966,Mediocampistas,Coluna,Portugal
1966,Delanteros,Florian Albert,Hungría
1966,Delanteros,Eusebio,Portugal
1966,Delanteros,Uwe Seeler,Alemania Occidental
