anio,posicion,seleccion
1986,1,Argentina
1986,2,Alemania Occidental
1986,3,Francia
1986,4,Bélgica
1986,5,Brasil
1986,6,México
1986,7,España
1986,8,Inglaterra
1986,9,Dinamarca
1986,10,URSS
1986,11,Marruecos
1986,12,Italia
1986,13,Paraguay
1986,14,Polonia
1986,15,Bulgaria
1986,16,Uruguay
1986,17,Portugal
1986,18,Hungría
1986,19,Escocia
1986,20,Corea del Sur
1986,21,Irlanda del Norte
1986,22,Argelia
1986,23,Iraq
1986,24,Canadá
