anio,posicion,seleccion
1974,1,Alemania Occidental
1974,2,Paises Bajos
1974,3,Polonia
1974,4,Brasil
1974,5,Suecia
1974,6,Alemania Oriental
1974,7,Yugoslavia
1974,8,Argentina
1974,9,Escocia
1974,10,Italia
1974,11,Chile
1974,12,Bulgaria
1974,13,Uruguay
1974,14,Australia
1974,15,Haití
1974,16,Zaire
