anio,id_partido_str,num_partido,num_partido_seq,fuente,fecha,etapa,local,visitante,goles_local,goles_visitante,tiempo_extra,penales,penales_local,penales_visitante
1994,1994_gA_1,1,1,grupo_A,18-Jun-1994,Grupo A,Estados Unidos,Suiza,1,1,NO,NO,,
1994,1994_gA_2,2,2,grupo_A,18-Jun-1994,Grupo A,Colombia,Rumania,1,3,NO,NO,,
1994,1994_gA_3,3,3,grupo_A,22-Jun-1994,Grupo A,Rumania,Suiza,1,4,NO,NO,,
1994,1994_gA_4,4,4,grupo_A,22-Jun-1994,Grupo A,Estados Unidos,Colombia,2,1,NO,NO,,
1994,1994_gA_5,5,5,grupo_A,26-Jun-1994,Grupo A,Estados Unidos,Rumania,0,1,NO,NO,,
1994,1994_gA_6,6,6,grupo_A,26-Jun-1994,Grupo A,Suiza,Colombia,0,2,NO,NO,,
1994,1994_gB_1,1,7,grupo_B,19-Jun-1994,Grupo B,Camerún,Suecia,2,2,NO,NO,,
1994,1994_gB_2,2,8,grupo_B,20-Jun-1994,Grupo B,Brasil,Rusia,2,0,NO,NO,,
1994,1994_gB_3,3,9,grupo_B,24-Jun-1994,Grupo B,Brasil,Camerún,3,0,NO,NO,,
1994,1994_gB_4,4,10,grupo_B,24-Jun-1994,Grupo B,Suecia,Rusia,3,1,NO,NO,,
1994,1994_gB_5,5,11,grupo_B,28-Jun-1994,Grupo B,Rusia,Camerún,6,1,NO,NO,,
1994,1994_gB_6,6,12,grupo_B,28-Jun-1994,Grupo B,Brasil,Suecia,1,1,NO,NO,,
1994,1994_gC_1,1,13,grupo_C,17-Jun-1994,Grupo C,Alemania,Bolivia,1,0,NO,NO,,
1994,1994_gC_2,2,14,grupo_C,17-Jun-1994,Grupo C,España,Corea del Sur,2,2,NO,NO,,
1994,1994_gC_3,3,15,grupo_C,21-Jun-1994,Grupo C,Alemania,España,1,1,NO,NO,,
1994,1994_gC_4,4,16,grupo_C,23-Jun-1994,Grupo C,Corea del Sur,Bolivia,0,0,NO,NO,,
1994,1994_gC_5,5,17,grupo_C,27-Jun-1994,Grupo C,Bolivia,España,1,3,NO,NO,,
1994,1994_gC_6,6,18,grupo_C,27-Jun-1994,Grupo C,Alemania,Corea del Sur,3,2,NO,NO,,
1994,1994_gD_1,1,19,grupo_D,21-Jun-1994,Grupo D,Argentina,Grecia,4,0,NO,NO,,
1994,1994_gD_2,2,20,grupo_D,21-Jun-1994,Grupo D,Nigeria,Bulgaria,3,0,NO,NO,,
1994,1994_gD_3,3,21,grupo_D,25-Jun-1994,Grupo D,Argentina,Nigeria,2,1,NO,NO,,
1994,1994_gD_4,4,22,grupo_D,26-Jun-1994,Grupo D,Bulgaria,Grecia,4,0,NO,NO,,
1994,1994_gD_5,5,23,grupo_D,30-Jun-1994,Grupo D,Grecia,Nigeria,0,2,NO,NO,,
1994,1994_gD_6,6,24,grupo_D,30-Jun-1994,Grupo D,Argentina,Bulgaria,0,2,NO,NO,,
1994,1994_gE_1,1,25,grupo_E,18-Jun-1994,Grupo E,Italia,Irlanda,0,1,NO,NO,,
1994,1994_gE_2,2,26,grupo_E,19-Jun-1994,Grupo E,Noruega,México,1,0,NO,NO,,
1994,1994_gE_3,3,27,grupo_E,23-Jun-1994,Grupo E,Italia,Noruega,1,0,NO,NO,,
1994,1994_gE_4,4,28,grupo_E,24-Jun-1994,Grupo E,México,Irlanda,2,1,NO,NO,,
1994,1994_gE_5,5,29,grupo_E,28-Jun-1994,Grupo E,Irlanda,Noruega,0,0,NO,NO,,
1994,1994_gE_6,6,30,grupo_E,28-Jun-1994,Grupo E,Italia,México,1,1,NO,NO,,
1994,1994_gF_1,1,31,grupo_F,19-Jun-1994,Grupo F,Bélgica,Marruecos,1,0,NO,NO,,
1994,1994_gF_2,2,32,grupo_F,20-Jun-1994,Grupo F,Paises Bajos,Arabia Saudita,2,1,NO,NO,,
1994,1994_gF_3,3,33,grupo_F,25-Jun-1994,Grupo F,Bélgica,Paises Bajos,1,0,NO,NO,,
1994,1994_gF_4,4,34,grupo_F,25-Jun-1994,Grupo F,Arabia Saudita,Marruecos,2,1,NO,NO,,
1994,1994_gF_5,5,35,grupo_F,29-Jun-1994,Grupo F,Marruecos,Paises Bajos,1,2,NO,NO,,
1994,1994_gF_6,6,36,grupo_F,29-Jun-1994,Grupo F,Bélgica,Arabia Saudita,0,1,NO,NO,,
1994,1994_r_1,1,37,resultados,17-Jun-1994,"1ra Ronda, Grupo C",Alemania,Bolivia,1,0,NO,NO,,
1994,1994_r_2,2,38,resultados,17-Jun-1994,"1ra Ronda, Grupo C",España,Corea del Sur,2,2,NO,NO,,
1994,1994_r_3,3,39,resultados,18-Jun-1994,"1ra Ronda, Grupo A",Estados Unidos,Suiza,1,1,NO,NO,,
1994,1994_r_4,4,40,resultados,18-Jun-1994,"1ra Ronda, Grupo E",Italia,Irlanda,0,1,NO,NO,,
1994,1994_r_5,5,41,resultados,18-Jun-1994,"1ra Ronda, Grupo A",Colombia,Rumania,1,3,NO,NO,,
1994,1994_r_6,6,42,resultados,19-Jun-1994,"1ra Ronda, Grupo F",Bélgica,Marruecos,1,0,NO,NO,,
1994,1994_r_7,7,43,resultados,19-Jun-1994,"1ra Ronda, Grupo E",Noruega,México,1,0,NO,NO,,
1994,1994_r_8,8,44,resultados,19-Jun-1994,"1ra Ronda, Grupo B",Camerún,Suecia,2,2,NO,NO,,
1994,1994_r_9,9,45,resultados,20-Jun-1994,"1ra Ronda, Grupo B",Brasil,Rusia,2,0,NO,NO,,
1994,1994_r_10,10,46,resultados,20-Jun-1994,"1ra Ronda, Grupo F",Paises Bajos,Arabia Saudita,2,1,NO,NO,,
1994,1994_r_11,11,47,resultados,21-Jun-1994,"1ra Ronda, Grupo D",Argentina,Grecia,4,0,NO,NO,,
1994,1994_r_12,12,48,resultados,21-Jun-1994,"1ra Ronda, Grupo C",Alemania,España,1,1,NO,NO,,
1994,1994_r_13,13,49,resultados,21-Jun-1994,"1ra Ronda, Grupo D",Nigeria,Bulgaria,3,0,NO,NO,,
1994,1994_r_14,14,50,resultados,22-Jun-1994,"1ra Ronda, Grupo A",Rumania,Suiza,1,4,NO,NO,,
1994,1994_r_15,15,51,resultados,22-Jun-1994,"1ra Ronda, Grupo A",Estados Unidos,Colombia,2,1,NO,NO,,
1994,1994_r_16,16,52,resultados,23-Jun-1994,"1ra Ronda, Grupo E",Italia,Noruega,1,0,NO,NO,,
1994,1994_r_17,17,53,resultados,23-Jun-1994,"1ra Ronda, Grupo C",Corea del Sur,Bolivia,0,0,NO,NO,,
1994,1994_r_18,18,54,resultados,24-Jun-1994,"1ra Ronda, Grupo E",México,Irlanda,2,1,NO,NO,,
1994,1994_r_19,19,55,resultados,24-Jun-1994,"1ra Ronda, Grupo B",Brasil,Camerún,3,0,NO,NO,,
1994,1994_r_20,20,56,resultados,24-Jun-1994,"1ra Ronda, Grupo B",Suecia,Rusia,3,1,NO,NO,,
1994,1994_r_21,21,57,resultados,25-Jun-1994,"1ra Ronda, Grupo F",Bélgica,Paises Bajos,1,0,NO,NO,,
1994,1994_r_22,22,58,resultados,25-Jun-1994,"1ra Ronda, Grupo F",Arabia Saudita,Marruecos,2,1,NO,NO,,
1994,1994_r_23,23,59,resultados,25-Jun-1994,"1ra Ronda, Grupo D",Argentina,Nigeria,2,1,NO,NO,,
1994,1994_r_24,24,60,resultados,26-Jun-1994,"1ra Ronda, Grupo D",Bulgaria,Grecia,4,0,NO,NO,,
1994,1994_r_25,25,61,resultados,26-Jun-1994,"1ra Ronda, Grupo A",Estados Unidos,Rumania,0,1,NO,NO,,
1994,1994_r_26,26,62,resultados,26-Jun-1994,"1ra Ronda, Grupo A",Suiza,Colombia,0,2,NO,NO,,
1994,1994_r_27,27,63,resultados,27-Jun-1994,"1ra Ronda, Grupo C",Bolivia,España,1,3,NO,NO,,
1994,1994_r_28,28,64,resultados,27-Jun-1994,"1ra Ronda, Grupo C",Alemania,Corea del Sur,3,2,NO,NO,,
1994,1994_r_29,29,65,resultados,28-Jun-1994,"1ra Ronda, Grupo E",Irlanda,Noruega,0,0,NO,NO,,
1994,1994_r_30,30,66,resultados,28-Jun-1994,"1ra Ronda, Grupo E",Italia,México,1,1,NO,NO,,
1994,1994_r_31,31,67,resultados,28-Jun-1994,"1ra Ronda, Grupo B",Rusia,Camerún,6,1,NO,NO,,
1994,1994_r_32,32,68,resultados,28-Jun-1994,"1ra Ronda, Grupo B",Brasil,Suecia,1,1,NO,NO,,
1994,1994_r_33,33,69,resultados,29-Jun-1994,"1ra Ronda, Grupo F",Marruecos,Paises Bajos,1,2,NO,NO,,
1994,1994_r_34,34,70,resultados,29-Jun-1994,"1ra Ronda, Grupo F",Bélgica,Arabia Saudita,0,1,NO,NO,,
1994,1994_r_35,35,71,resultados,30-Jun-1994,"1ra Ronda, Grupo D",Grecia,Nigeria,0,2,NO,NO,,
1994,1994_r_36,36,72,resultados,30-Jun-1994,"1ra Ronda, Grupo D",Argentina,Bulgaria,0,2,NO,NO,,
1994,1994_r_37,37,73,resultados,02-Jul-1994,Octavos,Alemania,Bélgica,3,2,NO,NO,,
1994,1994_r_38,38,74,resultados,02-Jul-1994,Octavos,España,Suiza,3,0,NO,NO,,
1994,1994_r_39,39,75,resultados,03-Jul-1994,Octavos,Arabia Saudita,Suecia,1,3,NO,NO,,
1994,1994_r_40,40,76,resultados,03-Jul-1994,Octavos,Rumania,Argentina,3,2,NO,NO,,
1994,1994_r_41,41,77,resultados,04-Jul-1994,Octavos,Paises Bajos,Irlanda,2,0,NO,NO,,
1994,1994_r_42,42,78,resultados,04-Jul-1994,Octavos,Brasil,Estados Unidos,1,0,NO,NO,,
1994,1994_r_43,43,79,resultados,05-Jul-1994,Octavos,Nigeria,Italia,1,2,SI,NO,,
1994,1994_r_44,44,80,resultados,05-Jul-1994,Octavos,México,Bulgaria,1,1,SI,SI,1,3
1994,1994_r_45,45,81,resultados,09-Jul-1994,Cuartos,Italia,España,2,1,NO,NO,,
1994,1994_r_46,46,82,resultados,09-Jul-1994,Cuartos,Paises Bajos,Brasil,2,3,NO,NO,,
1994,1994_r_47,47,83,resultados,10-Jul-1994,Cuartos,Bulgaria,Alemania,2,1,NO,NO,,
1994,1994_r_48,48,84,resultados,10-Jul-1994,Cuartos,Rumania,Suecia,2,2,SI,SI,4,5
1994,1994_r_49,49,85,resultados,13-Jul-1994,Semis,Bulgaria,Italia,1,2,NO,NO,,
1994,1994_r_50,50,86,resultados,13-Jul-1994,Semis,Suecia,Brasil,0,1,NO,NO,,
1994,1994_r_51,51,87,resultados,16-Jul-1994,3er Puesto,Suecia,Bulgaria,4,0,NO,NO,,
1994,1994_r_52,52,88,resultados,17-Jul-1994,Final,Brasil,Italia,0,0,SI,SI,3,2
