anio,tipo_premio,jugador,seleccion
1994,Balón de Oro,Romario,Brasil
1994,Balón de Plata,Roberto Baggio,Italia
1994,Balón de Bronce,Hristo Stoichkov,Bulgaria
1994,Botín de Oro,Oleg Salenko,Rusia
1994,Guante de Oro,Michel Preudhomme,Bélgica
1994,Mejor Jugador Joven,Marc Overmars,Paises Bajos
1994,FIFA Fair Play,Brasil,Brasil
