anio,posicion,seleccion
1994,1,Brasil
1994,2,Italia
1994,3,Suecia
1994,4,Bulgaria
1994,5,Alemania
1994,6,Rumania
1994,7,Paises Bajos
1994,8,España
1994,9,Nigeria
1994,10,Argentina
1994,11,Bélgica
1994,12,Arabia Saudita
1994,13,México
1994,14,Estados Unidos
1994,15,Suiza
1994,16,Irlanda
1994,17,Noruega
1994,18,Rusia
1994,19,Colombia
1994,20,Corea del Sur
1994,21,Bolivia
1994,22,Camerún
1994,23,Marruecos
1994,24,Grecia
