anio,tipo_premio,jugador,seleccion
1990,Balón de Oro,Salvatore Schillaci,Italia
1990,Balón de Plata,Lothar Matthaeus,Alemania Occidental
1990,Balón de Bronce,Diego Maradona,Argentina
1990,Botín de Oro,Salvatore Schillaci,Italia
1990,Mejor Jugador Joven,Robert Prosinecki,Yugoslavia
1990,FIFA Fair Play,Inglaterra,Inglaterra
