anio,id_grupo,seleccion,pts,pj,pg,pe,pp,gf,gc,diferencia,clasificado
2006,A,Alemania,9,3,3,0,0,8,2,6,Si
2006,A,Ecuador,6,3,2,0,1,5,3,2,Si
2006,A,Polonia,3,3,1,0,2,2,4,-2,No
2006,A,Costa Rica,0,3,0,0,3,3,9,-6,No
2006,B,Inglaterra,7,3,2,1,0,5,2,3,Si
2006,B,Suecia,5,3,1,2,0,3,2,1,Si
2006,B,Paraguay,3,3,1,0,2,2,2,0,No
2006,B,Trinidad y Tobago,1,3,0,1,2,0,4,-4,No
2006,C,Argentina,7,3,2,1,0,8,1,7,Si
2006,C,Paises Bajos,7,3,2,1,0,3,1,2,Si
2006,C,Costa de Marfil,3,3,1,0,2,5,6,-1,No
2006,C,Serbia y Montenegro,0,3,0,0,3,2,10,-8,No
2006,D,Portugal,9,3,3,0,0,5,1,4,Si
2006,D,México,4,3,1,1,1,4,3,1,Si
2006,D,Angola,2,3,0,2,1,1,2,-1,No
2006,D,Irán,1,3,0,1,2,2,6,-4,No
2006,E,Italia,7,3,2,1,0,5,1,4,Si
2006,E,Ghana,6,3,2,0,1,4,3,1,Si
2006,E,República Checa,3,3,1,0,2,3,4,-1,No
2006,E,Estados Unidos,1,3,0,1,2,2,6,-4,No
2006,F,Brasil,9,3,3,0,0,7,1,6,Si
2006,F,Australia,4,3,1,1,1,5,5,0,Si
2006,F,Croacia,2,3,0,2,1,2,3,-1,No
2006,F,Japón,1,3,0,1,2,2,7,-5,No
2006,G,Suiza,7,3,2,1,0,4,0,4,Si
2006,G,Francia,5,3,1,2,0,3,1,2,Si
2006,G,Corea del Sur,4,3,1,1,1,3,4,-1,No
2006,G,Togo,0,3,0,0,3,1,6,-5,No
2006,H,España,9,3,3,0,0,8,1,7,Si
2006,H,Ucrania,6,3,2,0,1,5,4,1,Si
2006,H,Túnez,1,3,0,1,2,3,6,-3,No
2006,H,Arabia Saudita,1,3,0,1,2,2,7,-5,No
