anio,jugador,seleccion,amarillas,rojas
2006,Zinedine Zidane,Francia,3,1
2006,Costinha,Portugal,2,1
2006,Asamoah Gyan,Ghana,2,1
2006,Andre,Angola,1,1
2006,Khalid Boulahrouz,Paises Bajos,1,1
2006,Daniele De Rossi,Italia,1,1
2006,Deco,Portugal,1,1
2006,Brett Emerton,Australia,1,1
2006,Zied Jaziri,Túnez,1,1
2006,Teddy Lucic,Suecia,1,1
2006,Albert Nadj,Serbia y Montenegro,1,1
2006,Giovanni Van Bronckhorst,Paises Bajos,1,1
2006,Jean-Paul Abalo,Togo,0,1
2006,Leandro Cufre,Argentina,0,1
2006,Cyrille Domoraud,Costa de Marfil,0,1
2006,Avery John,Trinidad y Tobago,0,1
2006,Mateja Kezman,Serbia y Montenegro,0,1
2006,Pablo Mastroeni,Estados Unidos,0,1
2006,Marco Materazzi,Italia,0,1
2006,Luis Perez,México,0,1
2006,Jan Polak,República Checa,0,1
2006,Eddie Pope,Estados Unidos,0,1
2006,Wayne Rooney,Inglaterra,0,1
2006,Dario Simic,Croacia,0,1
2006,Josip Simunic,Croacia,0,1
2006,Radoslaw Sobolewski,Polonia,0,1
2006,Tomas Ujfalusi,República Checa,0,1
2006,Vladyslav Vashchuk,Ucrania,0,1
2006,Sulley Muntari,Ghana,3,0
2006,Willy Sagnol,Francia,3,0
2006,Gianluca Zambrotta,Italia,3,0
2006,Eric Abidal,Francia,2,0
2006,Marcus Allback,Suecia,2,0
2006,Stephen Appiah,Ghana,2,0
2006,Tim Borowski,Alemania,2,0
2006,Artur Boruc,Polonia,2,0
2006,Riadh Bouazizi,Túnez,2,0
2006,Cafu,Brasil,2,0
2006,Tim Cahill,Australia,2,0
2006,Mauro Camoranesi,Italia,2,0
2006,Ulises De La Cruz,Ecuador,2,0
2006,Didier Drogba,Costa de Marfil,2,0
2006,Michael Essien,Ghana,2,0
2006,Torsten Frings,Alemania,2,0
2006,Gennaro Gattuso,Italia,2,0
2006,Goran Gavrancic,Serbia y Montenegro,2,0
2006,Vince Grella,Australia,2,0
2006,Owen Hargreaves,Inglaterra,2,0
2006,Gabriel Heinze,Argentina,2,0
2006,Radhi Jaidi,Túnez,2,0
2006,Juan,Brasil,2,0
2006,Ognjen Koroman,Serbia y Montenegro,2,0
2006,Robert Kovac,Croacia,2,0
2006,Chun Soo Lee,Corea del Sur,2,0
2006,Loco,Angola,2,0
2006,Vratislav Lokvenc,República Checa,2,0
2006,Mehrzad Madanchi,Irán,2,0
2006,Claude Makelele,Francia,2,0
2006,Maniche,Portugal,2,0
2006,Luis Marin,Costa Rica,2,0
2006,Rafael Marquez,México,2,0
2006,Javier Mascherano,Argentina,2,0
2006,Christoph Metzelder,Alemania,2,0
2006,Tsuneyasu Miyamoto,Japón,2,0
2006,Javad Nekounam,Irán,2,0
2006,Nuno Valente,Portugal,2,0
2006,David Odonkor,Alemania,2,0
2006,Carlos Paredes,Paraguay,2,0
2006,Petit,Portugal,2,0
2006,Carles Puyol,España,2,0
2006,Ricardo Carvalho,Portugal,2,0
