anio,posicion,jugador,seleccion
2006,Arquero,Gianluigi Buffon,Italia
2006,Arquero,Jens Lehmann,Alemania
2006,Arquero,Ricardo,Portugal
2006,Defensores,Roberto Ayala,Argentina
2006,Defensores,Fabio Cannavaro,Italia
2006,Defensores,Philipp Lahm,Alemania
2006,Defensores,Ricardo Carvalho,Portugal
2006,Defensores,John Terry,Inglaterra
2006,Defensores,Lilian Thuram,Francia
2006,Defensores,Gianluca Zambrotta,Italia
2006,Mediocampistas,Michael Ballack,Alemania
2006,Mediocampistas,Gennaro Gattuso,Italia
2006,Mediocampistas,Maniche,Portugal
2006,Mediocampistas,Andrea Pirlo,Italia
2006,Mediocampistas,Francesco Totti,Italia
2006,Mediocampistas,Patrick Vieira,Francia
2006,Mediocampistas,Ze Roberto,Brasil
2006,Mediocampistas,Zinedine Zidane,Francia
2006,Delanteros,Hernan Crespo,Argentina
2006,Delanteros,Luis Figo,Portugal
2006,Delanteros,Thierry Henry,Francia
2006,Delanteros,Miroslav Klose,Alemania
2006,Delanteros,Luca Toni,Italia
