anio,id_grupo,seleccion,pts,pj,pg,pe,pp,gf,gc,diferencia,clasificado
2010,A,Uruguay,7,3,2,1,0,4,0,4,Si
2010,A,México,4,3,1,1,1,3,2,1,Si
2010,A,Sudáfrica,4,3,1,1,1,3,5,-2,No
2010,A,Francia,1,3,0,1,2,1,4,-3,No
2010,B,Argentina,9,3,3,0,0,7,1,6,Si
2010,B,Corea del Sur,4,3,1,1,1,5,6,-1,Si
2010,B,Grecia,3,3,1,0,2,2,5,-3,No
2010,B,Nigeria,1,3,0,1,2,3,5,-2,No
2010,C,Estados Unidos,5,3,1,2,0,4,3,1,Si
2010,C,Inglaterra,5,3,1,2,0,2,1,1,Si
2010,C,Eslovenia,4,3,1,1,1,3,3,0,No
2010,C,Argelia,1,3,0,1,2,0,2,-2,No
2010,D,Alemania,6,3,2,0,1,5,1,4,Si
2010,D,Ghana,4,3,1,1,1,2,2,0,Si
2010,D,Australia,4,3,1,1,1,3,6,-3,No
2010,D,Serbia,3,3,1,0,2,2,3,-1,No
2010,E,Paises Bajos,9,3,3,0,0,5,1,4,Si
2010,E,Japón,6,3,2,0,1,4,2,2,Si
2010,E,Dinamarca,3,3,1,0,2,3,6,-3,No
2010,E,Camerún,0,3,0,0,3,2,5,-3,No
2010,F,Paraguay,5,3,1,2,0,3,1,2,Si
2010,F,Eslovaquia,4,3,1,1,1,4,5,-1,Si
2010,F,Nueva Zelanda,3,3,0,3,0,2,2,0,No
2010,F,Italia,2,3,0,2,1,4,5,-1,No
2010,G,Brasil,7,3,2,1,0,5,2,3,Si
2010,G,Portugal,5,3,1,2,0,7,0,7,Si
2010,G,Costa de Marfil,4,3,1,1,1,4,3,1,No
2010,G,Corea del Norte,0,3,0,0,3,1,12,-11,No
2010,H,España,6,3,2,0,1,4,2,2,Si
2010,H,Chile,6,3,2,0,1,3,2,1,Si
2010,H,Suiza,4,3,1,1,1,1,1,0,No
2010,H,Honduras,1,3,0,1,2,0,3,-3,No
