anio,id_grupo,seleccion,pts,pj,pg,pe,pp,gf,gc,diferencia,clasificado
1962,1,URSS,5,3,2,1,0,8,5,3,Si
1962,1,Yugoslavia,4,3,2,0,1,8,3,5,Si
1962,1,Uruguay,2,3,1,0,2,4,6,-2,No
1962,1,Colombia,1,3,0,1,2,5,11,-6,No
1962,2,Alemania Occidental,5,3,2,1,0,4,1,3,Si
1962,2,Chile,4,3,2,0,1,5,3,2,Si
1962,2,Italia,3,3,1,1,1,3,2,1,No
1962,2,Suiza,0,3,0,0,3,2,8,-6,No
1962,3,Brasil,5,3,2,1,0,4,1,3,Si
1962,3,Checoslovaquia,3,3,1,1,1,2,3,-1,Si
1962,3,México,2,3,1,0,2,3,4,-1,No
1962,3,España,2,3,1,0,2,2,3,-1,No
1962,4,Hungría,5,3,2,1,0,8,2,6,Si
1962,4,Inglaterra,3,3,1,1,1,4,3,1,Si
1962,4,Argentina,3,3,1,1,1,2,3,-1,No
1962,4,Bulgaria,1,3,0,1,2,1,7,-6,No
