anio,posicion,seleccion
1962,1,Brasil
1962,2,Checoslovaquia
1962,3,Chile
1962,4,Yugoslavia
1962,5,Hungría
1962,6,URSS
1962,7,Alemania Occidental
1962,8,Inglaterra
1962,9,Italia
1962,10,Argentina
1962,11,México
1962,12,España
1962,13,Uruguay
1962,14,Colombia
1962,15,Bulgaria
1962,16,Suiza
