anio,tipo_premio,jugador,seleccion
2006,Balón de Oro,Zinedine Zidane,Francia
2006,Balón de Plata,Fabio Cannavaro,Italia
2006,Balón de Bronce,Andrea Pirlo,Italia
2006,Botín de Oro,Miroslav Klose,Alemania
2006,Botín de Plata,Hernan Crespo,Argentina
2006,Botín de Bronce,Ronaldo,Brasil
2006,Guante de Oro,Gianluigi Buffon,Italia
2006,Mejor Jugador Joven,Lukas Podolski,Alemania
2006,FIFA Fair Play,Brasil,Brasil
