anio,jugador,seleccion,goles,partidos,promedio
2006,Miroslav Klose,Alemania,5,7,0.71
2006,Hernan Crespo,Argentina,3,4,0.75
2006,Thierry Henry,Francia,3,7,0.43
2006,Lukas Podolski,Alemania,3,7,0.43
2006,Maxi Rodriguez,Argentina,3,5,0.60
2006,Ronaldo,Brasil,3,5,0.60
2006,Fernando Torres,España,3,4,0.75
2006,David Villa,España,3,4,0.75
2006,Zinedine Zidane,Francia,3,6,0.50
2006,Adriano,Brasil,2,4,0.50
2006,Bartosz Bosacki,Polonia,2,2,1.00
2006,Omar Bravo,México,2,3,0.67
2006,Tim Cahill,Australia,2,4,0.50
2006,Agustin Delgado,Ecuador,2,3,0.67
2006,Aruna Dindane,Costa de Marfil,2,3,0.67
2006,Alexander Frei,Suiza,2,4,0.50
2006,Steven Gerrard,Inglaterra,2,5,0.40
2006,Maniche,Portugal,2,7,0.29
2006,Marco Materazzi,Italia,2,4,0.50
2006,Tomas Rosicky,República Checa,2,3,0.67
2006,Bastian Schweinsteiger,Alemania,2,7,0.29
2006,Andriy Shevchenko,Ucrania,2,5,0.40
2006,Carlos Tenorio,Ecuador,2,3,0.67
2006,Luca Toni,Italia,2,6,0.33
2006,Patrick Vieira,Francia,2,7,0.29
2006,Paulo Wanchope,Costa Rica,2,3,0.67
2006,Jung Hwan Ahn,Corea del Sur,1,3,0.33
2006,Sami Al Jaber,Arabia Saudita,1,3,0.33
2006,Yasser Al Kahtani,Arabia Saudita,1,2,0.50
2006,Marcus Allback,Suecia,1,4,0.25
2006,John Aloisi,Australia,1,4,0.25
2006,Xabi Alonso,España,1,3,0.33
2006,Stephen Appiah,Ghana,1,4,0.25
2006,Roberto Ayala,Argentina,1,5,0.20
2006,Sohrab Bakhtiarizadeh,Irán,1,2,0.50
2006,Tranquillo Barnetta,Suiza,1,4,0.25
2006,David Beckham,Inglaterra,1,5,0.20
2006,Esteban Cambiasso,Argentina,1,5,0.20
2006,Joe Cole,Inglaterra,1,5,0.20
2006,Peter Crouch,Inglaterra,1,4,0.25
2006,Nelson Cuevas,Paraguay,1,2,0.50
2006,Deco,Portugal,1,4,0.25
2006,Alessandro Del Piero,Italia,1,5,0.20
2006,Clint Dempsey,Estados Unidos,1,2,0.50
2006,Haminu Draman,Ghana,1,2,0.50
2006,Didier Drogba,Costa de Marfil,1,2,0.50
2006,Flavio,Angola,1,1,1.00
2006,Jose Fonseca,México,1,4,0.25
2006,Fred,Brasil,1,1,1.00
2006,Torsten Frings,Alemania,1,6,0.17
2006,Alberto Gilardino,Italia,1,5,0.20
2006,Gilberto Melo,Brasil,1,1,1.00
2006,Yahya Golmohammadi,Irán,1,2,0.50
2006,Ronald Gomez,Costa Rica,1,3,0.33
2006,Fabio Grosso,Italia,1,6,0.17
2006,Asamoah Gyan,Ghana,1,3,0.33
2006,Vincenzo Iaquinta,Italia,1,5,0.20
2006,Sasa Ilic,Serbia y Montenegro,1,1,1.00
2006,Filippo Inzaghi,Italia,1,1,1.00
2006,Radhi Jaidi,Túnez,1,3,0.33
2006,Zied Jaziri,Túnez,1,3,0.33
2006,Juanito,España,1,1,1.00
2006,Juninho Pernambucano,Brasil,1,3,0.33
2006,Kaká,Brasil,1,5,0.20
2006,Maksym Kalinichenko,Ucrania,1,4,0.25
2006,Bonaventure Kalou,Costa de Marfil,1,2,0.50
2006,Ivan Kaviedes,Ecuador,1,4,0.25
2006,Harry Kewell,Australia,1,3,0.33
2006,Jan Koller,República Checa,1,1,1.00
2006,Bakary Kone,Costa de Marfil,1,3,0.33
2006,Niko Kovac,Croacia,1,3,0.33
2006,Philipp Lahm,Alemania,1,7,0.14
2006,Henrik Larsson,Suecia,1,4,0.25
2006,Chun Soo Lee,Corea del Sur,1,3,0.33
2006,Fredrik Ljungberg,Suecia,1,4,0.25
2006,Rafael Marquez,México,1,4,0.25
2006,Lionel Messi,Argentina,1,3,0.33
2006,Jaouhar Mnari,Túnez,1,3,0.33
2006,Mohamed Kader,Togo,1,3,0.33
2006,Craig Moore,Australia,1,4,0.25
2006,Sulley Muntari,Ghana,1,3,0.33
2006,Shunsuke Nakamura,Japón,1,3,0.33
2006,Oliver Neuville,Alemania,1,7,0.14
2006,Nuno Gomes,Portugal,1,2,0.50
2006,Ji Sung Park,Corea del Sur,1,3,0.33
2006,Pauleta,Portugal,1,6,0.17
2006,Andrea Pirlo,Italia,1,7,0.14
2006,Raul,España,1,4,0.25
2006,Serhiy Rebrov,Ucrania,1,4,0.25
2006,Franck Ribery,Francia,1,7,0.14
2006,Arjen Robben,Paises Bajos,1,3,0.33
2006,Cristiano Ronaldo,Portugal,1,6,0.17
2006,Andriy Rusol,Ucrania,1,4,0.25
2006,Javier Saviola,Argentina,1,3,0.33
2006,Philippe Senderos,Suiza,1,3,0.33
2006,Simao,Portugal,1,7,0.14
2006,Darijo Srna,Croacia,1,3,0.33
2006,Keiji Tamada,Japón,1,2,0.50
2006,Carlos Tevez,Argentina,1,4,0.25
2006,Francesco Totti,Italia,1,7,0.14
2006,Ruud Van Nistelrooij,Paises Bajos,1,3,0.33
2006,Robin Van Persie,Paises Bajos,1,4,0.25
2006,Gianluca Zambrotta,Italia,1,6,0.17
2006,Ze Roberto,Brasil,1,5,0.20
2006,Nikola Zigic,Serbia y Montenegro,1,2,0.50
2006,Zinha,México,1,4,0.25
