anio,id_grupo,seleccion,pts,pj,pg,pe,pp,gf,gc,diferencia,clasificado
2014,A,Brasil,7,3,2,1,0,7,2,5,Si
2014,A,México,7,3,2,1,0,4,1,3,Si
2014,A,Croacia,3,3,1,0,2,6,6,0,No
2014,A,Camerún,0,3,0,0,3,1,9,-8,No
2014,B,Paises Bajos,9,3,3,0,0,10,3,7,Si
2014,B,Chile,6,3,2,0,1,5,3,2,Si
2014,B,España,3,3,1,0,2,4,7,-3,No
2014,B,Australia,0,3,0,0,3,3,9,-6,No
2014,C,Colombia,9,3,3,0,0,9,2,7,Si
2014,C,Grecia,4,3,1,1,1,2,4,-2,Si
2014,C,Costa de Marfil,3,3,1,0,2,4,5,-1,No
2014,C,Japón,1,3,0,1,2,2,6,-4,No
2014,D,Costa Rica,7,3,2,1,0,4,1,3,Si
2014,D,Uruguay,6,3,2,0,1,4,4,0,Si
2014,D,Italia,3,3,1,0,2,2,3,-1,No
2014,D,Inglaterra,1,3,0,1,2,2,4,-2,No
2014,E,Francia,7,3,2,1,0,8,2,6,Si
2014,E,Suiza,6,3,2,0,1,7,6,1,Si
2014,E,Ecuador,4,3,1,1,1,3,3,0,No
2014,E,Honduras,0,3,0,0,3,1,8,-7,No
2014,F,Argentina,9,3,3,0,0,6,3,3,Si
2014,F,Nigeria,4,3,1,1,1,3,3,0,Si
2014,F,Bosnia-Herzegovina,3,3,1,0,2,4,4,0,No
2014,F,Irán,1,3,0,1,2,1,4,-3,No
2014,G,Alemania,7,3,2,1,0,7,2,5,Si
2014,G,Estados Unidos,4,3,1,1,1,4,4,0,Si
2014,G,Portugal,4,3,1,1,1,4,7,-3,No
2014,G,Ghana,1,3,0,1,2,4,6,-2,No
2014,H,Bélgica,9,3,3,0,0,4,1,3,Si
2014,H,Argelia,4,3,1,1,1,6,5,1,Si
2014,H,Rusia,2,3,0,2,1,2,3,-1,No
2014,H,Corea del Sur,1,3,0,1,2,3,6,-3,No
