anio,tipo_premio,jugador,seleccion
2014,Balón de Oro,Lionel Messi,Argentina
2014,Balón de Plata,Thomas Müller,Alemania
2014,Balón de Bronce,Arjen Robben,Paises Bajos
2014,Botín de Oro,James Rodríguez,Colombia
2014,Botín de Plata,Thomas Müller,Alemania
2014,Botín de Bronce,Neymar Jr.,Brasil
2014,Guante de Oro,Manuel Neuer,Alemania
2014,Mejor Jugador Joven,Paul Pogba,Francia
2014,FIFA Fair Play,Colombia,Colombia
