anio,posicion,seleccion
1978,1,Argentina
1978,2,Paises Bajos
1978,3,Brasil
1978,4,Italia
1978,5,Polonia
1978,6,Alemania Occidental
1978,7,Austria
1978,8,Perú
1978,9,Túnez
1978,10,España
1978,11,Escocia
1978,12,Francia
1978,13,Suecia
1978,14,Irán
1978,15,Hungría
1978,16,México
