anio,posicion,jugador,seleccion
1978,Arquero,Ubaldo Fillol,Argentina
1978,Defensores,Ruud Krol,Paises Bajos
1978,Defensores,Daniel Passarella,Argentina
1978,Defensores,Alberto Tarantini,Argentina
1978,Defensores,Berti Vogts,Alemania Occidental
1978,Mediocampistas,Dirceu,Brasil
1978,Mediocampistas,Rob Rensenbrink,Paises Bajos
1978,Delanteros,Roberto Bettega,Italia
1978,Delanteros,Teofilo Cubillas,Perú
1978,Delanteros,Mario Kempes,Argentina
1978,Delanteros,Paolo Rossi,Italia
