anio,seleccion,dorsal,jugador,posicion
2010,Alemania,,,
2010,Argelia,,,
2010,Argentina,,,
2010,Australia,,,
2010,Brasil,,,
2010,Camerún,,,
2010,Chile,,,
2010,Corea del Norte,,,
2010,Corea del Sur,,,
2010,Costa de Marfil,,,
2010,Dinamarca,,,
2010,Eslovaquia,,,
2010,Eslovenia,,,
2010,España,,,
2010,Estados Unidos,,,
2010,Francia,,,
2010,Ghana,,,
2010,Grecia,,,
2010,Honduras,,,
2010,Inglaterra,,,
2010,Italia,,,
2010,Japón,,,
2010,México,,,
2010,Nigeria,,,
2010,Nueva Zelanda,,,
2010,Paises Bajos,,,
2010,Paraguay,,,
2010,Portugal,,,
2010,Serbia,,,
2010,Sudáfrica,,,
2010,Suiza,,,
2010,Uruguay,,,
