anio,posicion,seleccion
1930,1,Uruguay
1930,2,Argentina
1930,3,Estados Unidos
1930,4,Yugoslavia
1930,5,Chile
1930,6,Brasil
1930,7,Francia
1930,8,Rumania
1930,9,Paraguay
1930,10,Perú
1930,11,Bélgica
1930,12,Bolivia
1930,13,México
