anio,posicion,jugador,seleccion
1938,Arquero,Frantisek Planicka,Checoslovaquia
1938,Defensores,Domingos Da Guia,Brasil
1938,Defensores,Alfredo Foni,Italia
1938,Defensores,Pietro Rava,Italia
1938,Mediocampistas,Michele Andreolo,Italia
1938,Mediocampistas,Ugo Locatelli,Italia
1938,Delanteros,Gino Colaussi,Italia
1938,Delanteros,Leonidas,Brasil
1938,Delanteros,Silvio Piola,Italia
1938,Delanteros,Gyorgy Sarosi,Hungría
1938,Delanteros,Gyula Zsengeller,Hungría
