anio,jugador,seleccion,goles,partidos,promedio
1938,Leonidas,Brasil,7,4,1.75
1938,Silvio Piola,Italia,5,4,1.25
1938,Gyorgy Sarosi,Hungría,5,4,1.25
1938,Gyula Zsengeller,Hungría,5,4,1.25
1938,Gino Colaussi,Italia,4,3,1.33
1938,Ernest Wilimowski,Polonia,4,1,4.00
1938,Andre Abegglen,Suiza,3,3,1.00
1938,Tore Keller,Suecia,3,2,1.50
1938,Arne Nyberg,Suecia,3,3,1.00
1938,Peracio,Brasil,3,4,0.75
1938,Romeu,Brasil,3,4,0.75
1938,Hector Socorro,Cuba,3,3,1.00
1938,Gustav Wetterstrom,Suecia,3,2,1.50
1938,Stefan Dobay,Rumania,2,2,1.00
1938,Oldrich Nejedly,Checoslovaquia,2,2,1.00
1938,Jean Nicolas,Francia,2,2,1.00
1938,Harry Andersson,Suecia,1,3,0.33
1938,Iuliu Baratky,Rumania,1,2,0.50
1938,Fredy Bickel,Suiza,1,3,0.33
1938,Silviu Bindea,Rumania,1,1,1.00
1938,Arne Brustad,Noruega,1,1,1.00
1938,Tomas Fernandez,Cuba,1,3,0.33
1938,Pietro Ferraris,Italia,1,1,1.00
1938,Josef Gauchel,Alemania,1,1,1.00
1938,Wilhelm Hahnemann,Alemania,1,2,0.50
1938,Oscar Heisserer,Francia,1,2,0.50
1938,Henri Isemborghs,Bélgica,1,1,1.00
1938,Sven Jonasson,Suecia,1,3,0.33
1938,Vilmos Kohut,Hungría,1,2,0.50
1938,Vlastimil Kopecky,Checoslovaquia,1,3,0.33
1938,Josef Kostalek,Checoslovaquia,1,3,0.33
1938,Jose Magrina,Cuba,1,2,0.50
1938,Giuseppe Meazza,Italia,1,4,0.25
1938,Roberto,Brasil,1,2,0.50
1938,Ferenc Sas,Hungría,1,4,0.25
1938,Fryedryk Szerfke,Polonia,1,1,1.00
1938,Pal Titkos,Hungría,1,2,0.50
1938,Geza Toldi,Hungría,1,2,0.50
1938,Emile Veinante,Francia,1,2,0.50
1938,Eugen Walachek,Suiza,1,3,0.33
1938,Josef Zeman,Checoslovaquia,1,1,1.00
