anio,jugador,seleccion,amarillas,rojas
1978,Dick Nanninga,Paises Bajos,1,1
1978,Tibor Nyilasi,Hungría,1,1
1978,Andras Torocsik,Hungría,1,1
1978,Jose Velasquez,Perú,3,0
1978,Romeo Benetti,Italia,2,0
1978,Andranik Eskandarian,Irán,2,0
1978,Marco Tardelli,Italia,2,0
1978,Ruediger Abramczik,Alemania Occidental,1,0
1978,Osvaldo Ardiles,Argentina,1,0
1978,Batista,Brasil,1,0
1978,Rainer Bonhof,Alemania Occidental,1,0
1978,Zbigniew Boniek,Polonia,1,0
1978,Hasse Borg,Suecia,1,0
1978,Antonio Cabrini,Italia,1,0
1978,Chicao,Brasil,1,0
1978,Tarek Dhiab,Túnez,1,0
1978,Edinho,Brasil,1,0
1978,Americo Gallego,Argentina,1,0
1978,Archie Gemmill,Escocia,1,0
1978,Claudio Gentile,Italia,1,0
1978,Jerzy Gorgon,Polonia,1,0
1978,Arie Haan,Paises Bajos,1,0
1978,Jorge Mendonca,Brasil,1,0
1978,Ruud Krol,Paises Bajos,1,0
1978,Omar Larrosa,Argentina,1,0
1978,Eugenio Leal,España,1,0
1978,Henryk Maculewicz,Polonia,1,0
1978,Sepp Maier,Alemania Occidental,1,0
1978,Rodolfo Manzo,Perú,1,0
1978,Gyozo Martos,Hungría,1,0
1978,Henri Michel,Francia,1,0
1978,Hansi Mueller,Alemania Occidental,1,0
1978,Juan Munante,Perú,1,0
1978,Hassan Nazari,Irán,1,0
1978,Johan Neeskens,Paises Bajos,1,0
1978,Nelinho,Brasil,1,0
1978,Oscar,Brasil,1,0
1978,Daniel Passarella,Argentina,1,0
1978,Michel Platini,Francia,1,0
1978,Herbert Prohaska,Austria,1,0
1978,Alfredo Quesada,Perú,1,0
1978,Ramon Quiroga,Perú,1,0
1978,Johnny Rep,Paises Bajos,1,0
1978,Roberto Dinamite,Brasil,1,0
1978,Robert Sara,Austria,1,0
1978,Didier Six,Francia,1,0
1978,Wim Suurbier,Paises Bajos,1,0
1978,Toninho Cerezo,Brasil,1,0
1978,Willy Van De Kerkhof,Paises Bajos,1,0
1978,Rene Van De Kerkhof,Paises Bajos,1,0
1978,Arturo Vasquez,México,1,0
1978,Ricardo Villa,Argentina,1,0
1978,Zico,Brasil,1,0
1978,Sandor Zombori,Hungría,1,0
