anio,id_grupo,seleccion,pts,pj,pg,pe,pp,gf,gc,diferencia,clasificado
1978,1,Italia,6,3,3,0,0,6,2,4,Si
1978,1,Argentina,4,3,2,0,1,4,3,1,Si
1978,1,Francia,2,3,1,0,2,5,5,0,No
1978,1,Hungría,0,3,0,0,3,3,8,-5,No
1978,2,Polonia,5,3,2,1,0,4,1,3,Si
1978,2,Alemania Occidental,4,3,1,2,0,6,0,6,Si
1978,2,Túnez,3,3,1,1,1,3,2,1,No
1978,2,México,0,3,0,0,3,2,12,-10,No
1978,3,Austria,4,3,2,0,1,3,2,1,Si
1978,3,Brasil,4,3,1,2,0,2,1,1,Si
1978,3,España,3,3,1,1,1,2,2,0,No
1978,3,Suecia,1,3,0,1,2,1,3,-2,No
1978,4,Perú,5,3,2,1,0,7,2,5,Si
1978,4,Paises Bajos,3,3,1,1,1,5,3,2,Si
1978,4,Escocia,3,3,1,1,1,5,6,-1,No
1978,4,Irán,1,3,0,1,2,2,8,-6,No
1978,A,Paises Bajos,5,3,2,1,0,9,4,5,Si
1978,A,Italia,3,3,1,1,1,2,2,0,Si
1978,A,Alemania Occidental,2,3,0,2,1,4,5,-1,No
1978,A,Austria,2,3,1,0,2,4,8,-4,No
1978,B,Argentina,5,3,2,1,0,8,0,8,Si
1978,B,Brasil,5,3,2,1,0,6,1,5,Si
1978,B,Polonia,2,3,1,0,2,2,5,-3,No
1978,B,Perú,0,3,0,0,3,0,10,-10,No
