anio,jugador,seleccion,goles,partidos,promedio
1978,Mario Kempes,Argentina,6,7,0.86
1978,Teofilo Cubillas,Perú,5,6,0.83
1978,Rob Rensenbrink,Paises Bajos,5,7,0.71
1978,Hans Krankl,Austria,4,6,0.67
1978,Leopoldo Luque,Argentina,4,5,0.80
1978,Dirceu,Brasil,3,7,0.43
1978,Johnny Rep,Paises Bajos,3,7,0.43
1978,Roberto Dinamite,Brasil,3,5,0.60
1978,Paolo Rossi,Italia,3,7,0.43
1978,Karl-Heinz Rummenigge,Alemania Occidental,3,5,0.60
1978,Daniel Bertoni,Argentina,2,6,0.33
1978,Roberto Bettega,Italia,2,7,0.29
1978,Zbigniew Boniek,Polonia,2,6,0.33
1978,Ernie Brandts,Paises Bajos,2,4,0.50
1978,Heinz Flohe,Alemania Occidental,2,4,0.50
1978,Archie Gemmill,Escocia,2,3,0.67
1978,Arie Haan,Paises Bajos,2,6,0.33
1978,Grzegorz Lato,Polonia,2,6,0.33
1978,Dieter Mueller,Alemania Occidental,2,4,0.50
1978,Nelinho,Brasil,2,4,0.50
1978,Ruediger Abramczik,Alemania Occidental,1,3,0.33
1978,Juan Manuel Asensi,España,1,3,0.33
1978,Romeo Benetti,Italia,1,6,0.17
1978,Marc Berdoll,Francia,1,2,0.50
1978,Franco Causio,Italia,1,7,0.14
1978,Karoly Csapo,Hungría,1,3,0.33
1978,Cesar Cueto,Perú,1,6,0.17
1978,Kenny Dalglish,Escocia,1,3,0.33
1978,Iraj Danayfar,Irán,1,2,0.50
1978,Dani,España,1,1,1.00
1978,Kazimierz Deyna,Polonia,1,6,0.17
1978,Mokhtar Douieb,Túnez,1,3,0.33
1978,Nejib Ghommidh,Túnez,1,3,0.33
1978,Bernd Hoelzenbein,Alemania Occidental,1,3,0.33
1978,Rene Houseman,Argentina,1,6,0.17
1978,Joe Jordan,Escocia,1,3,0.33
1978,Ali Kaabi,Túnez,1,3,0.33
1978,Bernard Lacombe,Francia,1,2,0.50
1978,Christian Lopez,Francia,1,2,0.50
1978,Hansi Mueller,Alemania Occidental,1,4,0.25
1978,Dick Nanninga,Paises Bajos,1,4,0.25
1978,Erich Obermayer,Austria,1,6,0.17
1978,Daniel Passarella,Argentina,1,7,0.14
1978,Michel Platini,Francia,1,3,0.33
1978,Victor Rangel,México,1,3,0.33
1978,Reinaldo,Brasil,1,3,0.33
1978,Dominique Rocheteau,Francia,1,2,0.50
1978,Hassan Rowshan,Irán,1,3,0.33
1978,Walter Schachner,Austria,1,3,0.33
1978,Thomas Sjoberg,Suecia,1,3,0.33
1978,Andrzej Szarmach,Polonia,1,5,0.20
1978,Alberto Tarantini,Argentina,1,7,0.14
1978,Andras Toth,Hungría,1,1,1.00
1978,Rene Van De Kerkhof,Paises Bajos,1,7,0.14
1978,Willy Van De Kerkhof,Paises Bajos,1,7,0.14
1978,Arturo Vasquez,México,1,3,0.33
1978,Jose Velasquez,Perú,1,5,0.20
1978,Renato Zaccarelli,Italia,1,5,0.20
1978,Zico,Brasil,1,6,0.17
1978,Sandor Zombori,Hungría,1,3,0.33
