anio,jugador,seleccion,amarillas,rojas
1966,Antonio Rattin,Argentina,1,1
1966,Hector Silva,Uruguay,1,1
1966,Rafael Albrecht,Argentina,0,1
1966,Igor Chislenko,URSS,0,1
1966,Horacio Troche,Uruguay,0,1
1966,Franz Beckenbauer,Alemania Occidental,2,0
1966,Luis Artime,Argentina,1,0
1966,Coluna,Portugal,1,0
1966,Denilson,Brasil,1,0
1966,Dinko Dermendzhiev,Bulgaria,1,0
1966,Eusebio,Portugal,1,0
1966,Jesus Glaria,España,1,0
1966,Galimzyan Khusainov,URSS,1,0
1966,Ivan Kolev,Bulgaria,1,0
1966,Ruben Marcos,Chile,1,0
1966,Wolfgang Overath,Alemania Occidental,1,0
1966,Martin Peters,Inglaterra,1,0
1966,Yozhef Sabo,URSS,1,0
1966,Jorge Solari,Argentina,1,0
1966,Nobby Stiles,Inglaterra,1,0
1966,Valeri Voronin,URSS,1,0
1966,Wolfgang Weber,Alemania Occidental,1,0
1966,Dobromir Zhechev,Bulgaria,1,0
