anio,posicion,seleccion
1938,1,Italia
1938,2,Hungría
1938,3,Brasil
1938,4,Suecia
1938,5,Checoslovaquia
1938,6,Suiza
1938,7,Cuba
1938,8,Francia
1938,9,Rumania
1938,10,Alemania
1938,11,Polonia
1938,12,Noruega
1938,13,Bélgica
1938,14,Paises Bajos
1938,15,Indias Orientales Holand.
1938,16,Austria
