anio,posicion,seleccion
1982,1,Italia
1982,2,Alemania Occidental
1982,3,Polonia
1982,4,Francia
1982,5,Brasil
1982,6,Inglaterra
1982,7,URSS
1982,8,Austria
1982,9,Irlanda del Norte
1982,10,Bélgica
1982,11,Argentina
1982,12,España
1982,13,Argelia
1982,14,Hungría
1982,15,Escocia
1982,16,Yugoslavia
1982,17,Camerún
1982,18,Honduras
1982,19,Checoslovaquia
1982,20,Perú
1982,21,Kuwait
1982,22,Chile
1982,23,Nueva Zelanda
1982,24,El Salvador
