anio,id_partido_str,num_partido,num_partido_seq,fuente,fecha,etapa,local,visitante,goles_local,goles_visitante,tiempo_extra,penales,penales_local,penales_visitante
2002,2002_gA_1,1,1,grupo_A,31-May-2002,Grupo A,Francia,Senegal,0,1,NO,NO,,
2002,2002_gA_2,2,2,grupo_A,01-Jun-2002,Grupo A,Uruguay,Dinamarca,1,2,NO,NO,,
2002,2002_gA_3,3,3,grupo_A,06-Jun-2002,Grupo A,Francia,Uruguay,0,0,NO,NO,,
2002,2002_gA_4,4,4,grupo_A,06-Jun-2002,Grupo A,Dinamarca,Senegal,1,1,NO,NO,,
2002,2002_gA_5,5,5,grupo_A,11-Jun-2002,Grupo A,Dinamarca,Francia,2,0,NO,NO,,
2002,2002_gA_6,6,6,grupo_A,11-Jun-2002,Grupo A,Senegal,Uruguay,3,3,NO,NO,,
2002,2002_gB_1,1,7,grupo_B,02-Jun-2002,Grupo B,Paraguay,Sudáfrica,2,2,NO,NO,,
2002,2002_gB_2,2,8,grupo_B,02-Jun-2002,Grupo B,España,Eslovenia,3,1,NO,NO,,
2002,2002_gB_3,3,9,grupo_B,07-Jun-2002,Grupo B,España,Paraguay,3,1,NO,NO,,
2002,2002_gB_4,4,10,grupo_B,08-Jun-2002,Grupo B,Sudáfrica,Eslovenia,1,0,NO,NO,,
2002,2002_gB_5,5,11,grupo_B,12-Jun-2002,Grupo B,Sudáfrica,España,2,3,NO,NO,,
2002,2002_gB_6,6,12,grupo_B,12-Jun-2002,Grupo B,Eslovenia,Paraguay,1,3,NO,NO,,
2002,2002_gC_1,1,13,grupo_C,03-Jun-2002,Grupo C,Brasil,Turquía,2,1,NO,NO,,
2002,2002_gC_2,2,14,grupo_C,04-Jun-2002,Grupo C,China,Costa Rica,0,2,NO,NO,,
2002,2002_gC_3,3,15,grupo_C,08-Jun-2002,Grupo C,Brasil,China,4,0,NO,NO,,
2002,2002_gC_4,4,16,grupo_C,09-Jun-2002,Grupo C,Costa Rica,Turquía,1,1,NO,NO,,
2002,2002_gC_5,5,17,grupo_C,13-Jun-2002,Grupo C,Costa Rica,Brasil,2,5,NO,NO,,
2002,2002_gC_6,6,18,grupo_C,13-Jun-2002,Grupo C,Turquía,China,3,0,NO,NO,,
2002,2002_gD_1,1,19,grupo_D,04-Jun-2002,Grupo D,Corea del Sur,Polonia,2,0,NO,NO,,
2002,2002_gD_2,2,20,grupo_D,05-Jun-2002,Grupo D,Estados Unidos,Portugal,3,2,NO,NO,,
2002,2002_gD_3,3,21,grupo_D,10-Jun-2002,Grupo D,Corea del Sur,Estados Unidos,1,1,NO,NO,,
2002,2002_gD_4,4,22,grupo_D,10-Jun-2002,Grupo D,Portugal,Polonia,4,0,NO,NO,,
2002,2002_gD_5,5,23,grupo_D,14-Jun-2002,Grupo D,Portugal,Corea del Sur,0,1,NO,NO,,
2002,2002_gD_6,6,24,grupo_D,14-Jun-2002,Grupo D,Polonia,Estados Unidos,3,1,NO,NO,,
2002,2002_gE_1,1,25,grupo_E,01-Jun-2002,Grupo E,Irlanda,Camerún,1,1,NO,NO,,
2002,2002_gE_2,2,26,grupo_E,01-Jun-2002,Grupo E,Alemania,Arabia Saudita,8,0,NO,NO,,
2002,2002_gE_3,3,27,grupo_E,05-Jun-2002,Grupo E,Alemania,Irlanda,1,1,NO,NO,,
2002,2002_gE_4,4,28,grupo_E,06-Jun-2002,Grupo E,Camerún,Arabia Saudita,1,0,NO,NO,,
2002,2002_gE_5,5,29,grupo_E,11-Jun-2002,Grupo E,Camerún,Alemania,0,2,NO,NO,,
2002,2002_gE_6,6,30,grupo_E,11-Jun-2002,Grupo E,Arabia Saudita,Irlanda,0,3,NO,NO,,
2002,2002_gF_1,1,31,grupo_F,02-Jun-2002,Grupo F,Inglaterra,Suecia,1,1,NO,NO,,
2002,2002_gF_2,2,32,grupo_F,02-Jun-2002,Grupo F,Argentina,Nigeria,1,0,NO,NO,,
2002,2002_gF_3,3,33,grupo_F,07-Jun-2002,Grupo F,Suecia,Nigeria,2,1,NO,NO,,
2002,2002_gF_4,4,34,grupo_F,07-Jun-2002,Grupo F,Argentina,Inglaterra,0,1,NO,NO,,
2002,2002_gF_5,5,35,grupo_F,12-Jun-2002,Grupo F,Suecia,Argentina,1,1,NO,NO,,
2002,2002_gF_6,6,36,grupo_F,12-Jun-2002,Grupo F,Nigeria,Inglaterra,0,0,NO,NO,,
2002,2002_gG_1,1,37,grupo_G,03-Jun-2002,Grupo G,Croacia,México,0,1,NO,NO,,
2002,2002_gG_2,2,38,grupo_G,03-Jun-2002,Grupo G,Italia,Ecuador,2,0,NO,NO,,
2002,2002_gG_3,3,39,grupo_G,08-Jun-2002,Grupo G,Italia,Croacia,1,2,NO,NO,,
2002,2002_gG_4,4,40,grupo_G,09-Jun-2002,Grupo G,México,Ecuador,2,1,NO,NO,,
2002,2002_gG_5,5,41,grupo_G,13-Jun-2002,Grupo G,México,Italia,1,1,NO,NO,,
2002,2002_gG_6,6,42,grupo_G,13-Jun-2002,Grupo G,Ecuador,Croacia,1,0,NO,NO,,
2002,2002_gH_1,1,43,grupo_H,04-Jun-2002,Grupo H,Japón,Bélgica,2,2,NO,NO,,
2002,2002_gH_2,2,44,grupo_H,05-Jun-2002,Grupo H,Rusia,Túnez,2,0,NO,NO,,
2002,2002_gH_3,3,45,grupo_H,09-Jun-2002,Grupo H,Japón,Rusia,1,0,NO,NO,,
2002,2002_gH_4,4,46,grupo_H,10-Jun-2002,Grupo H,Túnez,Bélgica,1,1,NO,NO,,
2002,2002_gH_5,5,47,grupo_H,14-Jun-2002,Grupo H,Túnez,Japón,0,2,NO,NO,,
2002,2002_gH_6,6,48,grupo_H,14-Jun-2002,Grupo H,Bélgica,Rusia,3,2,NO,NO,,
2002,2002_r_1,1,49,resultados,31-May-2002,"1ra Ronda, Grupo A",Francia,Senegal,0,1,NO,NO,,
2002,2002_r_2,2,50,resultados,01-Jun-2002,"1ra Ronda, Grupo E",Irlanda,Camerún,1,1,NO,NO,,
2002,2002_r_3,3,51,resultados,01-Jun-2002,"1ra Ronda, Grupo A",Uruguay,Dinamarca,1,2,NO,NO,,
2002,2002_r_4,4,52,resultados,01-Jun-2002,"1ra Ronda, Grupo E",Alemania,Arabia Saudita,8,0,NO,NO,,
2002,2002_r_5,5,53,resultados,02-Jun-2002,"1ra Ronda, Grupo F",Inglaterra,Suecia,1,1,NO,NO,,
2002,2002_r_6,6,54,resultados,02-Jun-2002,"1ra Ronda, Grupo B",Paraguay,Sudáfrica,2,2,NO,NO,,
2002,2002_r_7,7,55,resultados,02-Jun-2002,"1ra Ronda, Grupo F",Argentina,Nigeria,1,0,NO,NO,,
2002,2002_r_8,8,56,resultados,02-Jun-2002,"1ra Ronda, Grupo B",España,Eslovenia,3,1,NO,NO,,
2002,2002_r_9,9,57,resultados,03-Jun-2002,"1ra Ronda, Grupo G",Croacia,México,0,1,NO,NO,,
2002,2002_r_10,10,58,resultados,03-Jun-2002,"1ra Ronda, Grupo C",Brasil,Turquía,2,1,NO,NO,,
2002,2002_r_11,11,59,resultados,03-Jun-2002,"1ra Ronda, Grupo G",Italia,Ecuador,2,0,NO,NO,,
2002,2002_r_12,12,60,resultados,04-Jun-2002,"1ra Ronda, Grupo C",China,Costa Rica,0,2,NO,NO,,
2002,2002_r_13,13,61,resultados,04-Jun-2002,"1ra Ronda, Grupo H",Japón,Bélgica,2,2,NO,NO,,
2002,2002_r_14,14,62,resultados,04-Jun-2002,"1ra Ronda, Grupo D",Corea del Sur,Polonia,2,0,NO,NO,,
2002,2002_r_15,15,63,resultados,05-Jun-2002,"1ra Ronda, Grupo H",Rusia,Túnez,2,0,NO,NO,,
2002,2002_r_16,16,64,resultados,05-Jun-2002,"1ra Ronda, Grupo D",Estados Unidos,Portugal,3,2,NO,NO,,
2002,2002_r_17,17,65,resultados,05-Jun-2002,"1ra Ronda, Grupo E",Alemania,Irlanda,1,1,NO,NO,,
2002,2002_r_18,18,66,resultados,06-Jun-2002,"1ra Ronda, Grupo A",Francia,Uruguay,0,0,NO,NO,,
2002,2002_r_19,19,67,resultados,06-Jun-2002,"1ra Ronda, Grupo E",Camerún,Arabia Saudita,1,0,NO,NO,,
2002,2002_r_20,20,68,resultados,06-Jun-2002,"1ra Ronda, Grupo A",Dinamarca,Senegal,1,1,NO,NO,,
2002,2002_r_21,21,69,resultados,07-Jun-2002,"1ra Ronda, Grupo F",Suecia,Nigeria,2,1,NO,NO,,
2002,2002_r_22,22,70,resultados,07-Jun-2002,"1ra Ronda, Grupo B",España,Paraguay,3,1,NO,NO,,
2002,2002_r_23,23,71,resultados,07-Jun-2002,"1ra Ronda, Grupo F",Argentina,Inglaterra,0,1,NO,NO,,
2002,2002_r_24,24,72,resultados,08-Jun-2002,"1ra Ronda, Grupo B",Sudáfrica,Eslovenia,1,0,NO,NO,,
2002,2002_r_25,25,73,resultados,08-Jun-2002,"1ra Ronda, Grupo G",Italia,Croacia,1,2,NO,NO,,
2002,2002_r_26,26,74,resultados,08-Jun-2002,"1ra Ronda, Grupo C",Brasil,China,4,0,NO,NO,,
2002,2002_r_27,27,75,resultados,09-Jun-2002,"1ra Ronda, Grupo G",México,Ecuador,2,1,NO,NO,,
2002,2002_r_28,28,76,resultados,09-Jun-2002,"1ra Ronda, Grupo C",Costa Rica,Turquía,1,1,NO,NO,,
2002,2002_r_29,29,77,resultados,09-Jun-2002,"1ra Ronda, Grupo H",Japón,Rusia,1,0,NO,NO,,
2002,2002_r_30,30,78,resultados,10-Jun-2002,"1ra Ronda, Grupo D",Corea del Sur,Estados Unidos,1,1,NO,NO,,
2002,2002_r_31,31,79,resultados,10-Jun-2002,"1ra Ronda, Grupo H",Túnez,Bélgica,1,1,NO,NO,,
2002,2002_r_32,32,80,resultados,10-Jun-2002,"1ra Ronda, Grupo D",Portugal,Polonia,4,0,NO,NO,,
2002,2002_r_33,33,81,resultados,11-Jun-2002,"1ra Ronda, Grupo A",Dinamarca,Francia,2,0,NO,NO,,
2002,2002_r_34,34,82,resultados,11-Jun-2002,"1ra Ronda, Grupo A",Senegal,Uruguay,3,3,NO,NO,,
2002,2002_r_35,35,83,resultados,11-Jun-2002,"1ra Ronda, Grupo E",Camerún,Alemania,0,2,NO,NO,,
2002,2002_r_36,36,84,resultados,11-Jun-2002,"1ra Ronda, Grupo E",Arabia Saudita,Irlanda,0,3,NO,NO,,
2002,2002_r_37,37,85,resultados,12-Jun-2002,"1ra Ronda, Grupo F",Suecia,Argentina,1,1,NO,NO,,
2002,2002_r_38,38,86,resultados,12-Jun-2002,"1ra Ronda, Grupo F",Nigeria,Inglaterra,0,0,NO,NO,,
2002,2002_r_39,39,87,resultados,12-Jun-2002,"1ra Ronda, Grupo B",Sudáfrica,España,2,3,NO,NO,,
2002,2002_r_40,40,88,resultados,12-Jun-2002,"1ra Ronda, Grupo B",Eslovenia,Paraguay,1,3,NO,NO,,
