anio,seleccion,dorsal,jugador,posicion
2002,Alemania,,,
2002,Arabia Saudita,,,
2002,Argentina,,,
2002,Bélgica,,,
2002,Brasil,,,
2002,Camerún,,,
2002,China,,,
2002,Corea del Sur,,,
2002,Costa Rica,,,
2002,Croacia,,,
2002,Dinamarca,,,
2002,Ecuador,,,
2002,Eslovenia,,,
2002,España,,,
2002,Estados Unidos,,,
2002,Francia,,,
2002,Inglaterra,,,
2002,Irlanda,,,
2002,Italia,,,
2002,Japón,,,
2002,México,,,
2002,Nigeria,,,
2002,Paraguay,,,
2002,Polonia,,,
2002,Portugal,,,
2002,Rusia,,,
2002,Senegal,,,
2002,Sudáfrica,,,
2002,Suecia,,,
2002,Túnez,,,
2002,Turquía,,,
2002,Uruguay,,,
