anio,posicion,jugador,seleccion
1934,Arquero,Ricardo Zamora,España
1934,Defensores,Eraldo Monzeglio,Italia
1934,Defensores,Quincoces I,España
1934,Mediocampistas,Cilaurren,España
1934,Mediocampistas,Attilio Ferraris,Italia
1934,Mediocampistas,Luis Monti,Italia
1934,Delanteros,Enrique Guaita,Italia
1934,Delanteros,Giuseppe Meazza,Italia
1934,Delanteros,Oldrich Nejedly,Checoslovaquia
1934,Delanteros,Raimundo Orsi,Italia
1934,Delanteros,Matthias Sindelar,Austria
