anio,posicion,seleccion
1950,1,Uruguay
1950,2,Brasil
1950,3,Suecia
1950,4,España
1950,5,Yugoslavia
1950,6,Suiza
1950,7,Italia
1950,8,Inglaterra
1950,9,Chile
1950,10,Estados Unidos
1950,11,Paraguay
1950,12,México
1950,13,Bolivia
