anio,id_partido_str,equipo,jugador,minuto,es_penal,es_autogol
1982,1982_g1_1,Polonia,Zbigniew Boniek,4,NO,NO
1982,1982_g1_1,Polonia,Zbigniew Boniek,26,NO,NO
1982,1982_g1_1,Polonia,Zbigniew Boniek,53,NO,NO
1982,1982_g1_2,URSS,Khoren Oganesian,48,NO,NO
1982,1982_g2_2,Alemania Occidental,Pierre Littbarski,50,NO,NO
1982,1982_g2_2,Alemania Occidental,Klaus Fischer,75,NO,NO
1982,1982_g2_2,España,Jesus Zamora,82,NO,NO
1982,1982_g3_1,Italia,Marco Tardelli,57,NO,NO
1982,1982_g3_1,Italia,Antonio Cabrini,67,NO,NO
1982,1982_g3_1,Argentina,Daniel Passarella,83,NO,NO
1982,1982_g3_2,Argentina,Ramon Diaz,89,NO,NO
1982,1982_g3_2,Brasil,Zico,11,NO,NO
1982,1982_g3_2,Brasil,Serginho,66,NO,NO
1982,1982_g3_2,Brasil,Junior,75,NO,NO
1982,1982_g3_3,Italia,Paolo Rossi,5,NO,NO
1982,1982_g3_3,Italia,Paolo Rossi,25,NO,NO
1982,1982_g3_3,Italia,Paolo Rossi,74,NO,NO
1982,1982_g3_3,Brasil,Socrates,12,NO,NO
1982,1982_g3_3,Brasil,Falcao,68,NO,NO
1982,1982_g4_1,Francia,Bernard Genghini,39,NO,NO
1982,1982_g4_2,Austria,Bruno Pezzey,50,NO,NO
1982,1982_g4_2,Austria,Reinhold Hintermaier,68,NO,NO
1982,1982_g4_2,Irlanda del Norte,Billy Hamilton,27,NO,NO
1982,1982_g4_2,Irlanda del Norte,Billy Hamilton,75,NO,NO
1982,1982_g4_3,Francia,Alain Giresse,33,NO,NO
1982,1982_g4_3,Francia,Dominique Rocheteau,46,NO,NO
1982,1982_g4_3,Francia,Dominique Rocheteau,68,NO,NO
1982,1982_g4_3,Francia,Alain Giresse,80,NO,NO
1982,1982_g4_3,Irlanda del Norte,Gerry Armstrong,75,NO,NO
1982,1982_gA_3,Italia,Bruno Conti,18,NO,NO
1982,1982_gA_3,Perú,Ruben Diaz,83,NO,NO
1982,1982_gA_5,Polonia,Wlodimierz Smolarek,55,NO,NO
1982,1982_gA_5,Polonia,Grzegorz Lato,58,NO,NO
1982,1982_gA_5,Polonia,Zbigniew Boniek,61,NO,NO
1982,1982_gA_5,Polonia,Andrzej Buncol,68,NO,NO
1982,1982_gA_5,Polonia,Wlodzimierz Ciolek,76,NO,NO
1982,1982_gA_5,Perú,Guillermo La Rosa,83,NO,NO
1982,1982_gA_6,Italia,Francesco Graziani,60,NO,NO
1982,1982_gA_6,Camerún,Gregoire Mbida,61,NO,NO
1982,1982_gB_1,Alemania Occidental,Karl-Heinz Rummenigge,67,NO,NO
1982,1982_gB_1,Argelia,Rabah Madjer,54,NO,NO
1982,1982_gB_1,Argelia,Lakhdar Belloumi,68,NO,NO
1982,1982_gB_2,Austria,Walter Schachner,22,NO,NO
1982,1982_gB_3,Alemania Occidental,Karl-Heinz Rummenigge,9,NO,NO
