anio,tipo_premio,jugador,seleccion
1982,Balón de Oro,Paolo Rossi,Italia
1982,Balón de Plata,Falcao,Brasil
1982,Balón de Bronce,Karl-Heinz Rummenigge,Alemania Occidental
1982,Botín de Oro,Paolo Rossi,Italia
1982,Mejor Jugador Joven,Manuel Amoros,Francia
1982,FIFA Fair Play,Brasil,Brasil
