anio,jugador,seleccion,goles,partidos,promedio
1930,Guillermo Stabile,Argentina,8,4,2.00
1930,Pedro Cea,Uruguay,5,4,1.25
1930,Bert Patenaude,Estados Unidos,4,3,1.33
1930,Juan Anselmo,Uruguay,3,2,1.50
1930,Ivica Bek,Yugoslavia,3,3,1.00
1930,Carlos Peucelle,Argentina,3,4,0.75
1930,Preguinho,Brasil,3,2,1.50
1930,Hector Castro,Uruguay,2,2,1.00
1930,Pablo Dorado,Uruguay,2,3,0.67
1930,Victoriano Iriarte,Uruguay,2,4,0.50
1930,Andre Maschinot,Francia,2,2,1.00
1930,Moderato,Brasil,2,1,2.00
1930,Luis Monti,Argentina,2,4,0.50
1930,Manuel Rosas,México,2,3,0.67
1930,Guillermo Subiabre,Chile,2,3,0.67
1930,Carlos Vidal,Chile,2,3,0.67
1930,Adolfo Zumelzu,Argentina,2,1,2.00
1930,Jim Brown,Estados Unidos,1,3,0.33
1930,Juan Carreno,México,1,3,0.33
1930,Adalbert Desu,Rumania,1,2,0.50
1930,Mario Evaristo,Argentina,1,4,0.25
1930,Tom Florie,Estados Unidos,1,3,0.33
1930,Roberto Gayon,México,1,2,0.50
1930,Nicolae Kovacs,Rumania,1,2,0.50
1930,Marcel Langiller,Francia,1,3,0.33
1930,Lucien Laurent,Francia,1,2,0.50
1930,Blagoje Marjanovic,Yugoslavia,1,3,0.33
1930,Bart Mcghee,Estados Unidos,1,3,0.33
1930,Hector Scarone,Uruguay,1,3,0.33
1930,Alejandro Scopelli,Argentina,1,1,1.00
1930,Branislav Sekulic,Yugoslavia,1,2,0.50
1930,Luis Souza,Perú,1,2,0.50
1930,Constantin Stanciu,Rumania,1,1,1.00
1930,Aleksandar Tirnanic,Yugoslavia,1,3,0.33
1930,Francisco Varallo,Argentina,1,4,0.25
1930,Luis Vargas Pena,Paraguay,1,2,0.50
1930,Djordje Vujadinovic,Yugoslavia,1,3,0.33
