anio,posicion,seleccion
1954,1,Alemania Occidental
1954,2,Hungría
1954,3,Austria
1954,4,Uruguay
1954,5,Suiza
1954,6,Brasil
1954,7,Inglaterra
1954,8,Yugoslavia
1954,9,Francia
1954,10,Italia
1954,11,Turquía
1954,12,Bélgica
1954,13,México
1954,14,Checoslovaquia
1954,15,Escocia
1954,16,Corea del Sur
