anio,id_partido_str,num_partido,num_partido_seq,fuente,fecha,etapa,local,visitante,goles_local,goles_visitante,tiempo_extra,penales,penales_local,penales_visitante
1954,1954_g1_1,1,1,grupo_1,16-Jun-1954,Grupo 1,Brasil,México,5,0,NO,NO,,
1954,1954_g1_2,2,2,grupo_1,16-Jun-1954,Grupo 1,Yugoslavia,Francia,1,0,NO,NO,,
1954,1954_g1_3,3,3,grupo_1,19-Jun-1954,Grupo 1,Brasil,Yugoslavia,1,1,NO,NO,,
1954,1954_g1_4,4,4,grupo_1,19-Jun-1954,Grupo 1,Francia,México,3,2,NO,NO,,
1954,1954_g2_1,1,5,grupo_2,17-Jun-1954,Grupo 2,Alemania Occidental,Turquía,4,1,NO,NO,,
1954,1954_g2_2,2,6,grupo_2,17-Jun-1954,Grupo 2,Hungría,Corea del Sur,9,0,NO,NO,,
1954,1954_g2_3,3,7,grupo_2,20-Jun-1954,Grupo 2,Hungría,Alemania Occidental,8,3,NO,NO,,
1954,1954_g2_4,4,8,grupo_2,20-Jun-1954,Grupo 2,Turquía,Corea del Sur,7,0,NO,NO,,
1954,1954_g2_5,5,9,grupo_2,23-Jun-1954,Grupo 2,Alemania Occidental,Turquía,7,2,NO,NO,,
1954,1954_g3_1,1,10,grupo_3,16-Jun-1954,Grupo 3,Austria,Escocia,1,0,NO,NO,,
1954,1954_g3_2,2,11,grupo_3,16-Jun-1954,Grupo 3,Uruguay,Checoslovaquia,2,0,NO,NO,,
1954,1954_g3_3,3,12,grupo_3,19-Jun-1954,Grupo 3,Austria,Checoslovaquia,5,0,NO,NO,,
1954,1954_g3_4,4,13,grupo_3,19-Jun-1954,Grupo 3,Uruguay,Escocia,7,0,NO,NO,,
1954,1954_g4_1,1,14,grupo_4,17-Jun-1954,Grupo 4,Inglaterra,Bélgica,4,4,NO,NO,,
1954,1954_g4_2,2,15,grupo_4,17-Jun-1954,Grupo 4,Suiza,Italia,2,1,NO,NO,,
1954,1954_g4_3,3,16,grupo_4,20-Jun-1954,Grupo 4,Inglaterra,Suiza,2,0,NO,NO,,
1954,1954_g4_4,4,17,grupo_4,20-Jun-1954,Grupo 4,Italia,Bélgica,4,1,NO,NO,,
1954,1954_g4_5,5,18,grupo_4,23-Jun-1954,Grupo 4,Suiza,Italia,4,1,NO,NO,,
1954,1954_r_1,1,19,resultados,16-Jun-1954,"1ra Ronda, Grupo 1",Yugoslavia,Francia,1,0,NO,NO,,
1954,1954_r_2,2,20,resultados,16-Jun-1954,"1ra Ronda, Grupo 3",Austria,Escocia,1,0,NO,NO,,
1954,1954_r_3,3,21,resultados,16-Jun-1954,"1ra Ronda, Grupo 3",Uruguay,Checoslovaquia,2,0,NO,NO,,
1954,1954_r_4,4,22,resultados,16-Jun-1954,"1ra Ronda, Grupo 1",Brasil,México,5,0,NO,NO,,
1954,1954_r_5,5,23,resultados,17-Jun-1954,"1ra Ronda, Grupo 2",Hungría,Corea del Sur,9,0,NO,NO,,
1954,1954_r_6,6,24,resultados,17-Jun-1954,"1ra Ronda, Grupo 4",Inglaterra,Bélgica,4,4,SI,NO,,
1954,1954_r_7,7,25,resultados,17-Jun-1954,"1ra Ronda, Grupo 2",Alemania Occidental,Turquía,4,1,NO,NO,,
1954,1954_r_8,8,26,resultados,17-Jun-1954,"1ra Ronda, Grupo 4",Suiza,Italia,2,1,NO,NO,,
1954,1954_r_9,9,27,resultados,19-Jun-1954,"1ra Ronda, Grupo 1",Francia,México,3,2,NO,NO,,
1954,1954_r_10,10,28,resultados,19-Jun-1954,"1ra Ronda, Grupo 1",Brasil,Yugoslavia,1,1,SI,NO,,
1954,1954_r_11,11,29,resultados,19-Jun-1954,"1ra Ronda, Grupo 3",Austria,Checoslovaquia,5,0,NO,NO,,
1954,1954_r_12,12,30,resultados,19-Jun-1954,"1ra Ronda, Grupo 3",Uruguay,Escocia,7,0,NO,NO,,
1954,1954_r_13,13,31,resultados,20-Jun-1954,"1ra Ronda, Grupo 2",Hungría,Alemania Occidental,8,3,NO,NO,,
1954,1954_r_14,14,32,resultados,20-Jun-1954,"1ra Ronda, Grupo 2",Turquía,Corea del Sur,7,0,NO,NO,,
1954,1954_r_15,15,33,resultados,20-Jun-1954,"1ra Ronda, Grupo 4",Inglaterra,Suiza,2,0,NO,NO,,
1954,1954_r_16,16,34,resultados,20-Jun-1954,"1ra Ronda, Grupo 4",Italia,Bélgica,4,1,NO,NO,,
1954,1954_r_17,17,35,resultados,23-Jun-1954,"1ra Ronda, Grupo 4",Suiza,Italia,4,1,NO,NO,,
1954,1954_r_18,18,36,resultados,23-Jun-1954,"1ra Ronda, Grupo 2",Alemania Occidental,Turquía,7,2,NO,NO,,
1954,1954_r_19,19,37,resultados,26-Jun-1954,Cuartos,Uruguay,Inglaterra,4,2,NO,NO,,
1954,1954_r_20,20,38,resultados,26-Jun-1954,Cuartos,Austria,Suiza,7,5,NO,NO,,
1954,1954_r_21,21,39,resultados,27-Jun-1954,Cuartos,Hungría,Brasil,4,2,NO,NO,,
1954,1954_r_22,22,40,resultados,27-Jun-1954,Cuartos,Alemania Occidental,Yugoslavia,2,0,NO,NO,,
1954,1954_r_23,23,41,resultados,30-Jun-1954,Semis,Hungría,Uruguay,4,2,SI,NO,,
1954,1954_r_24,24,42,resultados,30-Jun-1954,Semis,Alemania Occidental,Austria,6,1,NO,NO,,
1954,1954_r_25,25,43,resultados,03-Jul-1954,3er Puesto,Uruguay,Austria,1,3,NO,NO,,
1954,1954_r_26,26,44,resultados,04-Jul-1954,Final,Hungría,Alemania Occidental,2,3,NO,NO,,
1954,1954_r_,,45,resultados,26-Jun-1954,,Austria,Suiza,7,5,NO,NO,,
