anio,jugador,seleccion,amarillas,rojas
2014,Antonio Valencia,Ecuador,1,1
2014,Steven Defour,Bélgica,0,1
2014,Óscar Duarte,Costa Rica,0,1
2014,Konstantinos Katsouranis,Grecia,0,1
2014,Claudio Marchisio,Italia,0,1
2014,Wilson Palacios,Honduras,0,1
2014,Pepe,Portugal,0,1
2014,Maximiliano Pereira,Uruguay,0,1
2014,Ante Rebic,Croacia,0,1
2014,Alexandre Song,Camerún,0,1
2014,Thiago Silva,Brasil,3,0
2014,Paul Aguilar,México,2,0
2014,Toby Alderweireld,Bélgica,2,0
2014,Mario Balotelli,Italia,2,0
2014,Yohan Cabaye,Francia,2,0
2014,Tim Cahill,Australia,2,0
2014,Jonathan de Guzmán,Paises Bajos,2,0
2014,Giancarlo Gonzalez,Costa Rica,2,0
2014,Benedikt Höwedes,Alemania,2,0
2014,Klaas Jan Huntelaar,Paises Bajos,2,0
2014,Mile Jedinak,Australia,2,0
2014,Diego Lugano,Uruguay,2,0
2014,Luiz Gustavo,Brasil,2,0
2014,Rafael Marquez,México,2,0
2014,Bruno Martins Indi,Paises Bajos,2,0
2014,Eugenio Mena,Chile,2,0
2014,Sulley Muntari,Ghana,2,0
2014,Marcos Rojo,Argentina,2,0
2014,Bastian Schweinsteiger,Alemania,2,0
2014,Francisco Silva,Chile,2,0
2014,Robin Van Persie,Paises Bajos,2,0
2014,José Juan Vázquez,México,2,0
2014,Didier Zokora,Costa de Marfil,2,0
2014,Johnny Acosta,Costa Rica,1,0
2014,Harrison Afful,Ghana,1,0
2014,Sergio Agüero,Argentina,1,0
2014,Xabi Alonso,España,1,0
2014,Dani Alves,Brasil,1,0
2014,Karim Ansarifard,Irán,1,0
2014,Charles Aránguiz,Chile,1,0
2014,Egidio Arevalo,Uruguay,1,0
2014,Pablo Armero,Colombia,1,0
2014,Jordan Ayew,Ghana,1,0
2014,Souleymane Bamba,Costa de Marfil,1,0
2014,Ross Barkley,Inglaterra,1,0
2014,Kyle Beckerman,Estados Unidos,1,0
2014,Jerry Bengtson,Honduras,1,0
2014,Nabil Bentaleb,Argelia,1,0
2014,Victor Bernardez,Honduras,1,0
2014,Muhamed Besic,Bosnia-Herzegovina,1,0
2014,Lucas Biglia,Argentina,1,0
2014,Daley Blind,Paises Bajos,1,0
2014,Madjid Bougherra,Argelia,1,0
2014,Martin Caceres,Uruguay,1,0
2014,Liassine Cadamuro,Argelia,1,0
2014,Geoff Cameron,Estados Unidos,1,0
2014,Iker Casillas,España,1,0
2014,Vedran Corluka,Croacia,1,0
2014,José Cubero,Costa Rica,1,0
2014,Dante,Brasil,1,0
2014,Mattia De Sciglio,Italia,1,0
2014,Stefan de Vrij,Paises Bajos,1,0
2014,Mousa Dembélé,Bélgica,1,0
2014,Martin Demichelis,Argentina,1,0
2014,Angel Di Maria,Argentina,1,0
2014,Júnior Díaz,Costa Rica,1,0
2014,Serey Die,Costa de Marfil,1,0
2014,Johan Djourou,Suiza,1,0
2014,Didier Drogba,Costa de Marfil,1,0
2014,Eduardo,Croacia,1,0
2014,Eyong Enoh,Camerún,1,0
2014,Frickson Erazo,Ecuador,1,0
2014,Patrice Evra,Francia,1,0
2014,Gelson Fernandes,Suiza,1,0
2014,Fernandinho,Brasil,1,0
2014,Ezequiel Garay,Argentina,1,0
2014,Oscar Boniek Garcia,Honduras,1,0
2014,Walter Gargano,Uruguay,1,0
2014,Luis Garrido,Honduras,1,0
2014,Steven Gerrard,Inglaterra,1,0
2014,Nabil Ghilas,Argelia,1,0
2014,José María Giménez,Uruguay,1,0
2014,Denis Glushakov,Rusia,1,0
2014,Diego Godin,Uruguay,1,0
2014,Omar González,Estados Unidos,1,0
2014,Esteban Granados,Costa Rica,1,0
2014,Andres Guardado,México,1,0
2014,Fredy Guarín,Colombia,1,0
2014,Rafik Halliche,Argelia,1,0
2014,Kook-Young Han,Corea del Sur,1,0
2014,Makoto Hasebe,Japón,1,0
2014,Eden Hazard,Bélgica,1,0
2014,Jeong-Ho Hong,Corea del Sur,1,0
2014,Hulk,Brasil,1,0
2014,Jo,Brasil,1,0
2014,Jermaine Jones,Estados Unidos,1,0
2014,Julio Cesar,Brasil,1,0
2014,Salomon Kalou,Costa de Marfil,1,0
2014,Sami Khedira,Alemania,1,0
2014,Sung-yueng Ki,Corea del Sur,1,0
2014,Dmitri Kombarov,Rusia,1,0
2014,Vincent Kompany,Bélgica,1,0
2014,Yasuyuki Konno,Japón,1,0
2014,Ja-Cheol Koo,Corea del Sur,1,0
2014,Aleksei Kozlov,Rusia,1,0
2014,Philipp Lahm,Alemania,1,0
2014,Adam Lallana,Inglaterra,1,0
2014,Yong Lee,Corea del Sur,1,0
2014,Dejan Lovren,Croacia,1,0
2014,Kostas Manolas,Grecia,1,0
2014,Javier Mascherano,Argentina,1,0
2014,Blaise Matuidi,Francia,1,0
2014,Stephane Mbia,Camerún,1,0
2014,Haris Medunjanin,Bosnia-Herzegovina,1,0
2014,Djamel Mesbah,Argelia,1,0
2014,Mark Milligan,Australia,1,0
2014,Jefferson Montero,Ecuador,1,0
2014,Hector Moreno,México,1,0
2014,Masato Morishige,Japón,1,0
2014,João Moutinho,Portugal,1,0
2014,Fernando Muslera,Uruguay,1,0
2014,Keylor Navas,Costa Rica,1,0
2014,Javad Nekounam,Irán,1,0
2014,Neymar Jr.,Brasil,1,0
2014,Dany Nounkeu,Camerún,1,0
2014,John Obi Mikel,Nigeria,1,0
2014,Kenneth Omeruo,Nigeria,1,0
2014,Oscar,Brasil,1,0
2014,Juwon Oshaniwa,Nigeria,1,0
2014,Jerry Palacios,Honduras,1,0
2014,Sokratis Papastathopoulos,Grecia,1,0
2014,Juan Carlos Paredes,Ecuador,1,0
2014,João Pereira,Portugal,1,0
2014,Mauricio Pinilla,Chile,1,0
2014,Paul Pogba,Francia,1,0
2014,Mohammed Rabiu,Ghana,1,0
2014,Ivan Rakitic,Croacia,1,0
2014,Ramires,Brasil,1,0
2014,Sergio Ramos,España,1,0
2014,Arjen Robben,Paises Bajos,1,0
2014,James Rodríguez,Colombia,1,0
2014,Bryan Ruiz,Costa Rica,1,0
2014,Edgar Salli,Camerún,1,0
2014,Dimitrios Salpingidis,Grecia,1,0
2014,Georgios Samaras,Grecia,1,0
2014,Andreas Samaris,Grecia,1,0
2014,Carlos Sánchez,Colombia,1,0
2014,Oleg Shatov,Rusia,1,0
2014,Masoud Shojaei,Irán,1,0
2014,Heung-Min Son,Corea del Sur,1,0
2014,Emir Spahic,Bosnia-Herzegovina,1,0
2014,Matthew Spiranovic,Australia,1,0
2014,Raheem Sterling,Inglaterra,1,0
2014,Yeltsin Tejeda,Costa Rica,1,0
2014,Andranik Teymourian,Irán,1,0
2014,Ismael Tiote,Costa de Marfil,1,0
2014,Vasileios Torosidis,Grecia,1,0
2014,Michael Umaña,Costa Rica,1,0
2014,Enner Valencia,Ecuador,1,0
2014,Jan Vertonghen,Bélgica,1,0
2014,Arturo Vidal,Chile,1,0
2014,Majeed Waris,Ghana,1,0
2014,Axel Witsel,Bélgica,1,0
2014,Granit Xhaka,Suiza,1,0
2014,Mario Yepes,Colombia,1,0
2014,Maya Yoshida,Japón,1,0
