anio,seleccion,dorsal,jugador,posicion
2014,Alemania,,,
2014,Argelia,,,
2014,Argentina,,,
2014,Australia,,,
2014,Bélgica,,,
2014,Bosnia-Herzegovina,,,
2014,Brasil,,,
2014,Camerún,,,
2014,Chile,,,
2014,Colombia,,,
2014,Corea del Sur,,,
2014,Costa de Marfil,,,
2014,Costa Rica,,,
2014,Croacia,,,
2014,Ecuador,,,
2014,España,,,
2014,Estados Unidos,,,
2014,Francia,,,
2014,Ghana,,,
2014,Grecia,,,
2014,Honduras,,,
2014,Inglaterra,,,
2014,Irán,,,
2014,Italia,,,
2014,Japón,,,
2014,México,,,
2014,Nigeria,,,
2014,Paises Bajos,,,
2014,Portugal,,,
2014,Rusia,,,
2014,Suiza,,,
2014,Uruguay,,,
